,username,following,followers,totaltweets,retweetcount,retweeters
0,LFnord,24,64,32058,2,"['ArseniKarp', 'WeenieLinguini']"
1,palmoiltruther,72,27,2353,2,"['ArseniKarp', 'WeenieLinguini']"
2,FlatOConspiracy,193,34,83,2,"['ArseniKarp', 'WeenieLinguini']"
3,BenPavey5,141,6,117,2,"['ArseniKarp', 'WeenieLinguini']"
4,BenPavey5,141,6,117,2,"['ArseniKarp', 'WeenieLinguini']"
5,FlatOConspiracy,193,34,83,2,"['ArseniKarp', 'WeenieLinguini']"
6,LFnord,24,64,32058,2,"['ArseniKarp', 'WeenieLinguini']"
7,palmoiltruther,72,27,2353,2,"['ArseniKarp', 'WeenieLinguini']"
8,FlatOConspiracy,193,34,83,2,"['ArseniKarp', 'WeenieLinguini']"
9,BenPavey5,141,6,117,2,"['ArseniKarp', 'WeenieLinguini']"
10,BenPavey5,141,6,117,2,"['ArseniKarp', 'WeenieLinguini']"
11,FlatOConspiracy,193,34,83,2,"['ArseniKarp', 'WeenieLinguini']"
12,LFnord,24,64,32058,2,"['ArseniKarp', 'WeenieLinguini']"
13,palmoiltruther,72,27,2353,2,"['ArseniKarp', 'WeenieLinguini']"
14,halfwayrod,750,447,12748,22,"['anniekim793', 'DanielaDobos9', 'dragonfly_37', 'DanielaDobos9', 'dragonfly_37', '9HUrne5nPVQ7p5h', 'cholyounghwan7', 'dragonfly_37', 'liamcixaga', '199six', 'GreatAugusto', 'Ultraman_______', 'z__zizel', 'marcel6013', 'HootusBootus', 'Qiiinn', 'cassiopediaa', 'nabiipalsu']"
15,FlatOConspiracy,193,34,83,2,"['ArseniKarp', 'WeenieLinguini']"
16,BenPavey5,141,6,117,2,"['ArseniKarp', 'WeenieLinguini']"
17,BenPavey5,141,6,117,2,"['ArseniKarp', 'WeenieLinguini']"
18,palmoiltruther,72,27,2353,0,[]
19,FlatOConspiracy,193,34,83,2,"['ArseniKarp', 'WeenieLinguini']"
20,FlatOConspiracy,193,34,83,1,['WeenieLinguini']
21,BenPavey5,141,6,117,1,['WeenieLinguini']
22,BenPavey5,141,6,117,1,['WeenieLinguini']
23,jaredvc,1112,1124,44629,0,[]
24,Spacehehehe,1422,13785,1811,19,"['LoiusVDemon', 'StevenW44946909', 'Frequen15309040', 'PaulW10499156', 'CarlHen10428180', 'robdogthetopdog', 'connollyjojo', 'taka19737557', 'AdamJoshDotCom', 'screwnasapunks', 'Nothing37849243', 'sanctuary7_', 'drewwood30', 'deVOLS98', 'seretideforwael', 'Jon_Murray', 'WeenieLinguini']"
25,FlatOConspiracy,193,34,83,1,['WeenieLinguini']
26,jaredvc,1112,1124,44629,0,[]
27,BenPavey5,141,6,117,1,['WeenieLinguini']
28,BenPavey5,141,6,117,1,['WeenieLinguini']
29,AenesidemusOZ,2355,2932,47561,119,"['CaraMia200', 'ConvictChick', 'favfavalore', 'LindaBronte5', 'StephanieKakos1', 'ElaineM11584892', 'MSikimeti', 'CaraMia200', 'digifellaCO', 'JohnLocker4', 'rputland', 'rmabennett', 'digifellaCO', 'CaraMia200', 'derrychristy', 'favfavalore', 'ABCfriendsWA', 'digifellaCO', 'PsychosisFuzz', 'peggymel2001']"
30,DNgercegi,347,355,426,3,"['dervish85823619', 'AbuDauiske', 'WeenieLinguini']"
31,Gr8Believer,1057,3861,32430,1,['WeenieLinguini']
32,Spacehehehe,1422,13785,1811,17,"['LoiusVDemon', 'drewwood30', 'GBob2020', 'chengmao10', 'TierraPlana11', 'baaaaayK', 'EFT_Seattle', 'SolarFedr8ON', 'Roberto00581560', 'FHenicke', 'jimmyroybloom', 'deadprogrammer', 'Pawzosrs', 'TheEarthIsFlat2', 'WeenieLinguini', 'bradical97', 'Jon_Murray']"
33,Gr8Believer,1057,3861,32430,1,['WeenieLinguini']
34,BraAzrsonReal,1,72,2033,2,"['AbuDauiske', 'WeenieLinguini']"
35,DNgercegi,347,355,426,3,"['dervish85823619', 'AbuDauiske', 'WeenieLinguini']"
36,TheDailyPlane,649,1173,7830,1,['WeenieLinguini']
37,LFnord,24,64,32058,1,['WeenieLinguini']
38,TheDailyPlane,649,1173,7830,1,['WeenieLinguini']
39,LFnord,24,64,32058,1,['WeenieLinguini']
40,IEAffiliate,4218,4294,156077,0,[]
41,RealGirltown,353,354,7039,1,['WeenieLinguini']
42,ExistenceViable,31,4,92,1,['WeenieLinguini']
43,RealGirltown,353,352,7039,1,['WeenieLinguini']
44,ExistenceViable,31,4,92,1,['WeenieLinguini']
45,FlatOConspiracy,193,34,83,0,['smadygo']
46,FlatOConspiracy,193,34,83,5,"['smadygo', 'TakeThatEarth', 'FEcourious', 'Captainswoop1', 'WeenieLinguini']"
47,Spacehehehe,1422,13785,1811,17,"['LoiusVDemon', 'drewwood30', 'GBob2020', 'chengmao10', 'TierraPlana11', 'baaaaayK', 'EFT_Seattle', 'SolarFedr8ON', 'Roberto00581560', 'FHenicke', 'jimmyroybloom', 'deadprogrammer', 'Pawzosrs', 'TheEarthIsFlat2', 'WeenieLinguini', 'bradical97', 'Jon_Murray']"
48,qbertblue,105,79,1889,1,['WeenieLinguini']
49,Frequen15309040,1523,1579,28481,1,['WeenieLinguini']
50,Frequen15309040,1523,1579,28481,1,['WeenieLinguini']
51,qbertblue,105,79,1889,1,['WeenieLinguini']
52,Frequen15309040,1523,1579,28481,1,['WeenieLinguini']
53,Frequen15309040,1523,1579,28481,1,['WeenieLinguini']
54,libertythotsmom,170,387,1592,0,[]
55,Frequen15309040,1523,1579,28481,1,['WeenieLinguini']
56,LFnord,24,64,32058,1,['WeenieLinguini']
57,qbertblue,105,79,1889,1,['WeenieLinguini']
58,Spacehehehe,1422,13785,1811,15,"['voltmanone', 'FGlowies', 'Faisal11930', '111hero1112', 'thfabledfascist', 'evercoss', 'TrevorW44847078', '22ClaytonCouto', 'alyssaesther77', 'priBUMI_DATAR', 'Jon_Murray', 'A__K__R__M', 'WeenieLinguini', 'ThankfulInFL']"
59,Frequen15309040,1523,1579,28481,1,['WeenieLinguini']
60,terriblerich,243,123,7288,0,[]
61,Frequen15309040,1523,1579,28481,5,"['RachelFreeland2', 'TakeThatDarwin', 'Moxystar2', 'MaryHofstette17', 'sang_alang']"
62,RachelFreeland2,312,105,5030,4,"['hollow_maven', 'Dm_deyo', 'NASolutions', 'Reborn_Castle']"
63,LFnord,24,64,32058,1,['WeenieLinguini']
64,qbertblue,105,79,1889,1,['WeenieLinguini']
65,Frequen15309040,1523,1579,28481,1,['WeenieLinguini']
66,DNgercegi,347,355,426,3,"['dervish85823619', 'AbuDauiske', 'WeenieLinguini']"
67,izzySanchzStarr,114,202,2160,1,['WeenieLinguini']
68,Frequen15309040,1523,1579,28481,1,['WeenieLinguini']
69,DNgercegi,347,355,426,3,"['dervish85823619', 'AbuDauiske', 'WeenieLinguini']"
70,Spacehehehe,1422,13785,1811,17,"['LoiusVDemon', 'drewwood30', 'GBob2020', 'chengmao10', 'TierraPlana11', 'baaaaayK', 'EFT_Seattle', 'SolarFedr8ON', 'Roberto00581560', 'FHenicke', 'jimmyroybloom', 'deadprogrammer', 'Pawzosrs', 'TheEarthIsFlat2', 'WeenieLinguini', 'bradical97', 'Jon_Murray']"
71,Spacehehehe,1422,13785,1811,17,"['LoiusVDemon', 'drewwood30', 'GBob2020', 'chengmao10', 'TierraPlana11', 'baaaaayK', 'EFT_Seattle', 'SolarFedr8ON', 'Roberto00581560', 'FHenicke', 'jimmyroybloom', 'deadprogrammer', 'Pawzosrs', 'TheEarthIsFlat2', 'WeenieLinguini', 'bradical97', 'Jon_Murray']"
72,RachelFreeland2,312,105,5030,4,"['hollow_maven', 'Dm_deyo', 'NASolutions', 'Reborn_Castle']"
73,izzySanchzStarr,114,202,2160,1,['WeenieLinguini']
74,Spacehehehe,1422,13785,1811,9,"['TierraPlana11', 'CorradoTheresa', 'Jon_Murray', 'hvflatearth', 'Stonejack87', 'N3XtLevel0', 'WeenieLinguini', 'Evelynl45958116', 'sanctuary7_']"
75,Spacehehehe,1422,13785,1811,17,"['LoiusVDemon', 'drewwood30', 'GBob2020', 'chengmao10', 'TierraPlana11', 'baaaaayK', 'EFT_Seattle', 'SolarFedr8ON', 'Roberto00581560', 'FHenicke', 'jimmyroybloom', 'deadprogrammer', 'Pawzosrs', 'TheEarthIsFlat2', 'WeenieLinguini', 'bradical97', 'Jon_Murray']"
76,LFnord,24,64,32058,1,['WeenieLinguini']
77,BraAzrsonReal,1,72,2033,2,"['AbuDauiske', 'WeenieLinguini']"
78,Frequen15309040,1523,1580,28481,0,[]
79,LFnord,24,64,32058,1,['WeenieLinguini']
80,AndrewDibble3,41,444,8592,2,"['cathyannwelsh', 'WeenieLinguini']"
81,BraAzrsonReal,1,72,2033,2,"['AbuDauiske', 'WeenieLinguini']"
82,libertythotsmom,170,387,1592,2,"['WeenieLinguini', 'sameerMohan2']"
83,Mr_Jones_1972,110,78,7514,1,['WeenieLinguini']
84,Spacehehehe,1422,13785,1811,17,"['LoiusVDemon', 'drewwood30', 'GBob2020', 'chengmao10', 'TierraPlana11', 'baaaaayK', 'EFT_Seattle', 'SolarFedr8ON', 'Roberto00581560', 'FHenicke', 'jimmyroybloom', 'deadprogrammer', 'Pawzosrs', 'TheEarthIsFlat2', 'WeenieLinguini', 'bradical97', 'Jon_Murray']"
85,libertythotsmom,170,387,1592,2,"['WeenieLinguini', 'sameerMohan2']"
86,libertythotsmom,170,387,1592,2,"['WeenieLinguini', 'sameerMohan2']"
87,Mr_Jones_1972,110,78,7514,1,['WeenieLinguini']
88,Spacehehehe,1422,13785,1811,17,"['LoiusVDemon', 'drewwood30', 'GBob2020', 'chengmao10', 'TierraPlana11', 'baaaaayK', 'EFT_Seattle', 'SolarFedr8ON', 'Roberto00581560', 'FHenicke', 'jimmyroybloom', 'deadprogrammer', 'Pawzosrs', 'TheEarthIsFlat2', 'WeenieLinguini', 'bradical97', 'Jon_Murray']"
89,thefepodcast,45,3875,1594,3,"['DoctorX2112', 'WeenieLinguini', 'evercoss']"
90,thefepodcast,45,3875,1594,3,"['DoctorX2112', 'WeenieLinguini', 'evercoss']"
91,RealTimOzman,1427,1250,32238,2,"['WeenieLinguini', 'LiarsInCharge']"
92,Spacehehehe,1422,13785,1811,17,"['LoiusVDemon', 'drewwood30', 'GBob2020', 'chengmao10', 'TierraPlana11', 'baaaaayK', 'EFT_Seattle', 'SolarFedr8ON', 'Roberto00581560', 'FHenicke', 'jimmyroybloom', 'deadprogrammer', 'Pawzosrs', 'TheEarthIsFlat2', 'WeenieLinguini', 'bradical97', 'Jon_Murray']"
93,Spacehehehe,1422,13785,1811,17,"['LoiusVDemon', 'drewwood30', 'GBob2020', 'chengmao10', 'TierraPlana11', 'baaaaayK', 'EFT_Seattle', 'SolarFedr8ON', 'Roberto00581560', 'FHenicke', 'jimmyroybloom', 'deadprogrammer', 'Pawzosrs', 'TheEarthIsFlat2', 'WeenieLinguini', 'bradical97', 'Jon_Murray']"
94,thefepodcast,45,3875,1594,3,"['DoctorX2112', 'WeenieLinguini', 'evercoss']"
95,thefepodcast,45,3875,1594,3,"['DoctorX2112', 'WeenieLinguini', 'evercoss']"
96,RealTimOzman,1427,1250,32238,2,"['WeenieLinguini', 'LiarsInCharge']"
97,RealTimOzman,1427,1250,32238,2,"['WeenieLinguini', 'LiarsInCharge']"
98,LFnord,24,64,32058,1,['WeenieLinguini']
99,BraAzrsonReal,1,72,2033,1,['WeenieLinguini']
100,AndrewDibble3,41,444,8592,1,['WeenieLinguini']
101,AndrewDibble3,41,444,8592,2,"['cathyannwelsh', 'WeenieLinguini']"
102,LFnord,24,64,32058,1,['WeenieLinguini']
103,BraAzrsonReal,1,72,2033,1,['WeenieLinguini']
