,or_id
0,1456154881652412421
1,1456151613484068867
2,1456149146872713219
3,1456148381328281608
4,1456143253862957061
5,1456142261008412673
6,1456154881652412421
7,1456151613484068867
8,1456149146872713219
9,1456148381328281608
10,1456143253862957061
11,1456142261008412673
12,1456154881652412421
13,1456151613484068867
14,1386965833298026497
15,1456149146872713219
16,1456148381328281608
17,1456143253862957061
18,1456142666748493825
19,1456142261008412673
20,1456138212469051392
21,1456136196136988675
22,1456133782726057987
23,1456139719092301828
24,1448636496446205954
25,1456138212469051392
26,1456137274165370881
27,1456136196136988675
28,1456133782726057987
29,1196772403679907841
30,1456045448809037827
31,1456119824984203269
32,1455872522348605443
33,1456119824984203269
34,1456006276429885441
35,1456045448809037827
36,1456109383692156931
37,1456098363183616000
38,1456109383692156931
39,1456098363183616000
40,1456097706653458433
41,1456092185732923395
42,1456088737964769283
43,1456092185732923395
44,1456088737964769283
45,1453712621887238151
46,1450381296363089920
47,1455872522348605443
48,1456076805991981068
49,1456074604162789378
50,1456072896883871747
51,1456076805991981068
52,1456074604162789378
53,1456072896883871747
54,1456066605356519426
55,1456063754395848707
56,1456056451420545030
57,1456053978903482379
58,1455173674462502914
59,1456063754395848707
60,1456062915254099969
61,1450950958335369217
62,1370360933269262336
63,1456056451420545030
64,1456053978903482379
65,1456048536978608129
66,1456045448809037827
67,1456033333134209027
68,1456048536978608129
69,1456045448809037827
70,1455872522348605443
71,1455872522348605443
72,1370360933269262336
73,1456033333134209027
74,1455513613704351745
75,1455872522348605443
76,1456011121085845508
77,1456006276429885441
78,1456015483212337157
79,1456011121085845508
80,1455961931832037390
81,1456006276429885441
82,1455998644591673348
83,1455997283460423689
84,1455872522348605443
85,1455998644591673348
86,1455998644591673348
87,1455997283460423689
88,1455872522348605443
89,1455985996554715138
90,1455985996554715138
91,1455984500417044484
92,1455872522348605443
93,1455872522348605443
94,1455985996554715138
95,1455985996554715138
96,1455984500417044484
97,1455984500417044484
98,1455969096420450314
99,1455963630902693894
100,1455963626053963778
101,1455961931832037390
102,1455969096420450314
103,1455963630902693894
104,1455963626053963778
105,1455961931832037390
106,1455950976507056137
107,1455953313648816131
108,1455952343602712577
109,1455951983974756354
110,1455951742252822530
111,1455950976507056137
112,1455940680774078475
113,1455932944833515531
114,1455931541880639491
115,1455940680774078475
116,1455931541880639491
117,1455940680774078475
118,1455932944833515531
119,1455931541880639491
120,1455928090262003715
121,1455916403597398016
122,1455928090262003715
