,username,following,followers,totaltweets,retweetcount,retweeters
0,johnpringdns,3841,22135,48913,13,"['Zebra_talks', 'Russell_E__', 'MDPAccessGroup', 'ScrimshawsFire', 'acagoldsmith', 'purrrmeowpurrr', 'lo_sunflower', 'Goonobody', 'EDalmayne', 'johnpringdns', 'DMLYONDER']"
1,Autist_Writer,622,688,4119,0,[]
2,johnpringdns,3841,22135,48913,13,"['Zebra_talks', 'Russell_E__', 'MDPAccessGroup', 'ScrimshawsFire', 'acagoldsmith', 'purrrmeowpurrr', 'lo_sunflower', 'Goonobody', 'EDalmayne', 'johnpringdns', 'DMLYONDER']"
3,autismage,238,6857,11805,8,"['Russell_E__', 'missiemill', 'BoycottSpect10k', 'johnpringdns', 'niwrowahanol', 'JaneCas65', 'ElizabethWorsl1']"
4,autismage,238,6857,11805,8,"['Russell_E__', 'missiemill', 'BoycottSpect10k', 'johnpringdns', 'niwrowahanol', 'JaneCas65', 'ElizabethWorsl1']"
5,johnpringdns,3841,22135,48913,10,"['PeerMindset', 'neuroschemas', 'dzaierneil', 'CeeChangeAGEnt', 'TripodFor', 'YorkDisability', 'manatrue', 'JAY367', 'Jennife05291170', 'aroomofmyown1']"
6,johnpringdns,3841,22135,48913,10,"['PeerMindset', 'neuroschemas', 'dzaierneil', 'CeeChangeAGEnt', 'TripodFor', 'YorkDisability', 'manatrue', 'JAY367', 'Jennife05291170', 'aroomofmyown1']"
7,autismage,238,6857,11805,8,"['Russell_E__', 'missiemill', 'BoycottSpect10k', 'johnpringdns', 'niwrowahanol', 'JaneCas65', 'ElizabethWorsl1']"
8,johnpringdns,3841,22135,48913,10,"['PeerMindset', 'neuroschemas', 'dzaierneil', 'CeeChangeAGEnt', 'TripodFor', 'YorkDisability', 'manatrue', 'JAY367', 'Jennife05291170', 'aroomofmyown1']"
9,johnpringdns,3841,22135,48913,10,"['PeerMindset', 'neuroschemas', 'dzaierneil', 'CeeChangeAGEnt', 'TripodFor', 'YorkDisability', 'manatrue', 'JAY367', 'Jennife05291170', 'aroomofmyown1']"
10,johnpringdns,3841,22135,48913,10,"['PeerMindset', 'neuroschemas', 'dzaierneil', 'CeeChangeAGEnt', 'TripodFor', 'YorkDisability', 'manatrue', 'JAY367', 'Jennife05291170', 'aroomofmyown1']"
