,or_id
0,1456327183706820611
1,1456604324633714691
2,1456327183706820611
3,1456399795795501064
4,1456399795795501064
5,1456509113563758592
6,1456509113563758592
7,1456399795795501064
8,1456509113563758592
9,1456509113563758592
10,1456509113563758592
11,1456509113563758592
12,1456509113563758592
13,1456509113563758592
14,1456509113563758592
15,1456509113563758592
16,1456509113563758592
17,1456327183706820611
18,1456399795795501064
19,1456399795795501064
20,1456399795795501064
21,1456399795795501064
22,1456327183706820611
23,1456327183706820611
24,1456327183706820611
25,1456327183706820611
26,1456327183706820611
27,1456238137072656389
28,1456238137072656389
29,1456238137072656389
30,1456185020201279494
31,1454390979855884292
32,1455865439846817792
33,1439864854165196801
34,1455618430271299586
35,1455618430271299586
36,1455618430271299586
37,1455618430271299586
38,1455618430271299586
39,1439864854165196801
40,1455689248833785859
41,1455618430271299586
42,1452371516163829765
43,1455618430271299586
44,1455618430271299586
45,1455618430271299586
46,1455618430271299586
47,1455618430271299586
48,1455618430271299586
49,1455618430271299586
50,1455618430271299586
51,1455618430271299586
52,1455618430271299586
53,1454139268293607431
54,1454139268293607431
55,1454139268293607431
56,1455618430271299586
57,1455615913865011201
58,1454092570146086922
59,1430457609581121540
60,1455503230063022092
61,1454688234299006980
62,1454688234299006980
63,1454688234299006980
64,1454688234299006980
65,1454183609150083081
66,1454017410319663107
67,1454183609150083081
68,1454759696108343297
69,1454080909620166656
70,1454688234299006980
71,1454722331193057280
72,1454722331193057280
73,1454183609150083081
74,1454688234299006980
75,1454686948660899842
76,1454183609150083081
77,1453751555547713539
78,1454183609150083081
79,1453984888290430983
80,1454183609150083081
81,1454183609150083081
82,1454183609150083081
83,1454183609150083081
84,1454549273832460289
85,1454549273832460289
86,1454017410319663107
87,1453883233767202821
88,1431940619786727426
89,1454266489670934529
90,1454139268293607431
91,1453741415171829764
92,1454041501093224454
93,1454406243452399621
94,1454390979855884292
95,1454077155973926915
96,1454300173543383043
97,1454381580479197194
98,1454063638424211456
99,1454370574818500610
100,1454183609150083081
101,1454266489670934529
102,1454183609150083081
103,1454183609150083081
104,1454266489670934529
105,1454077155973926915
106,1454077155973926915
107,1454266489670934529
108,1454017410319663107
109,1454139268293607431
110,1454300173543383043
111,1454300168837373954
112,1454183609150083081
113,1454017410319663107
114,1454266489670934529
115,1432357939617189893
116,1454183609150083081
117,1454192941161975813
118,1454266489670934529
119,1432357939617189893
120,1454266489670934529
121,1454183609150083081
122,1454017410319663107
123,1454092570146086922
124,1454077155973926915
125,1454043742818783238
126,1454017410319663107
127,1454139268293607431
128,1454183609150083081
129,1454183609150083081
130,1453869387983765509
131,1454183609150083081
132,1454192941161975813
133,1454192941161975813
134,1453979535465193473
135,1453988406166532099
136,1453988406166532099
137,1454077155973926915
138,1453979535465193473
139,1453889321963040769
140,1454139268293607431
141,1453869387983765509
142,1454139268293607431
143,1453869387983765509
144,1454183609150083081
145,1454129609499295747
146,1454017410319663107
147,1454139268293607431
148,1453869387983765509
149,1453780980074954759
150,1454043742818783238
151,1454139268293607431
152,1454139268293607431
153,1453766388905021442
154,1454063638424211456
155,1453882329982803969
156,1453074795826925571
157,1454078752988794880
158,1454139268293607431
159,1454043742818783238
160,1454078752988794880
161,1454078752988794880
162,1454139268293607431
163,1453841589130997771
164,1454040565700612102
165,1453889321963040769
166,1454077013283721216
167,1454103424082092032
168,1432844817256624128
169,1454129609499295747
170,1454043742818783238
171,1453782365382266894
172,1453780980074954759
173,1453869387983765509
174,1454129609499295747
175,1454139268293607431
176,1454077155973926915
177,1453841589130997771
178,1454129609499295747
179,1454129609499295747
180,1454129609499295747
181,1454043742818783238
182,1454139268293607431
183,1453592740252590081
184,1453869387983765509
185,1454139268293607431
186,1454139268293607431
187,1454139268293607431
188,1454139268293607431
189,1454103424082092032
190,1454139268293607431
191,1454139268293607431
192,1454139268293607431
193,1454139268293607431
194,1454139268293607431
195,1454139268293607431
196,1454129609499295747
197,1453074795826925571
198,1454139268293607431
199,1433846997673553927
200,1454092570146086922
201,1454139268293607431
202,1454077155973926915
203,1454139268293607431
204,1433757288154681347
205,1454129609499295747
206,1454077155973926915
207,1454040565700612102
208,1454129609499295747
209,1454017410319663107
210,1454035434158297088
211,1454035434158297088
212,1454078752988794880
213,1454017410319663107
214,1453889321963040769
215,1431936986361761794
216,1454077013283721216
217,1454077013283721216
218,1453869387983765509
219,1453780980074954759
220,1453869387983765509
221,1454077155973926915
222,1454092570146086922
223,1453829131007823875
224,1453794878907981826
225,1453263064669855744
226,1454017410319663107
227,1453988992932716546
228,1453981100557148162
229,1453989320432492546
230,1453074795826925571
231,1453741415171829764
232,1453889321963040769
233,1453780980074954759
234,1453074795826925571
235,1454077013283721216
236,1453869387983765509
237,1453780980074954759
238,1454041501093224454
239,1454077013283721216
240,1454078752988794880
241,1454080909620166656
242,1454092570146086922
243,1453074795826925571
244,1454092570146086922
245,1453883233767202821
246,1454092570146086922
247,1432251569152696320
248,1454077013283721216
249,1453869387983765509
250,1453780980074954759
251,1454077013283721216
252,1454094556346167299
253,1436328974146314248
254,1433846997673553927
255,1454062214109798408
256,1454103424082092032
257,1454078752988794880
258,1454017410319663107
259,1453869387983765509
260,1454017410319663107
261,1453882329982803969
262,1454040565700612102
263,1454077155973926915
264,1453780980074954759
265,1453780980074954759
266,1453869387983765509
267,1454040565700612102
268,1453869387983765509
269,1454077013283721216
270,1454099047103426569
271,1454017410319663107
272,1433846997673553927
273,1453974967863840768
274,1454040565700612102
275,1454061936937775117
276,1433846997673553927
277,1454017410319663107
278,1454077155973926915
279,1454077155973926915
280,1454077013283721216
281,1454017410319663107
282,1454077155973926915
283,1454077013283721216
284,1454094556346167299
285,1453889321963040769
286,1454017410319663107
287,1454017410319663107
288,1454092570146086922
289,1454017410319663107
290,1454092570146086922
291,1453984888290430983
292,1454077155973926915
293,1454092570146086922
294,1453902578345934849
295,1453882329982803969
296,1454017410319663107
297,1453882329982803969
298,1454017410319663107
299,1454040285084897280
300,1453074795826925571
301,1454061936937775117
302,1454077155973926915
303,1454077155973926915
304,1454077155973926915
305,1454089197816516615
306,1453782365382266894
307,1454017410319663107
308,1454017410319663107
309,1454040565700612102
310,1454040285084897280
311,1454077155973926915
312,1454041501093224454
313,1454040285084897280
314,1454040565700612102
315,1454054975588405254
316,1453074795826925571
317,1454077155973926915
318,1453782365382266894
319,1454054975588405254
320,1453988992932716546
321,1454077155973926915
322,1454061936937775117
323,1454077155973926915
324,1453988992932716546
325,1454077155973926915
326,1454040565700612102
327,1453074795826925571
328,1453074795826925571
329,1454078752988794880
330,1454078752988794880
331,1454077013283721216
332,1454082117239967744
333,1453741415171829764
334,1454082117239967744
335,1454017410319663107
336,1454082117239967744
337,1454017410319663107
338,1454057342899789827
339,1454041501093224454
340,1454017410319663107
341,1454043742818783238
342,1454080909620166656
343,1454077155973926915
344,1454077013283721216
345,1454077155973926915
346,1454077155973926915
347,1453889321963040769
348,1453842954003550208
349,1454077013283721216
350,1454077155973926915
351,1454043742818783238
352,1454078752988794880
353,1454077013283721216
354,1454078752988794880
355,1454043742818783238
356,1454040565700612102
357,1453889321963040769
358,1454040565700612102
359,1454077155973926915
360,1453841589130997771
361,1454043742818783238
362,1454061936937775117
363,1454077155973926915
364,1454040565700612102
365,1454077155973926915
366,1454077013283721216
367,1453796740268797959
368,1453869387983765509
369,1453592740252590081
370,1453869387983765509
371,1453882329982803969
372,1453842954003550208
373,1454040565700612102
374,1453989320432492546
375,1454017410319663107
376,1454057342899789827
377,1454035434158297088
378,1454035434158297088
379,1454041501093224454
