,username,following,followers,totaltweets,retweetcount,retweeters
0,InfoSecPeople,2640,2104,20842,1,"['andrewmorrisuk', 'reid24hrs']"
1,AutisticPb,1475,8806,28537,60,"['linksmonkey', 'RegalBeagle01', 'Azura_Shadow', 'FalSkyWolf', 'lovularlune', 'TMNTdjembe', 'MelobuniiP', 'vortexlb42', 'Brendan1617', 'biihfreire_', 'tomoe_hotaru45', 'dcbrooks68', 'itstyfy', 'andrewmorrisuk', 'Princessat221B', 'rainb0w0tter', 'KrisJTalksAlot']"
2,AnnaKennedy1,32926,73470,125408,2,"['MEEKSVS', 'andrewmorrisuk']"
3,drwrein,810,1487,4974,3,"['andrewmorrisuk', 'FightTheCovid', 'LauraFMcConnell']"
4,SedgewickF,1360,3293,11952,9,"['omcgilius', 'andrewmorrisuk', 'OHooleyandTidow', 'SueReviews', 'laithdruim', 'engteachmrsg', 'StephensEvol78', 'LucyBray9']"
5,TartarusRespawn,7765,10728,7495,206,"['GretchenGorup', 'Boabbysam', 'AZWS', 'andrewmorrisuk', 'jaimelynn5116', 'PhaedraXTeddy', 'skipmav', 'MtMcKinley1', 'DianaTurner14', 'JackIsMyName75', 'TartarusRespawn', 'MazbeauBeau22', 'ccdd_pnw', 'JJDJ1187', 'Mc_Murcher44', 'Michael79972120', 'Another_Luvr', 'janninereid1', 'GabbysMomz']"
6,commaficionado,2570,47635,69359,32,"['JanecLG', 'alexbellars', 'autistinquisitr', 'diablosdarkness', 'amathist1998', 'astralsoul5', 'PiP_CIC', 'andrewmorrisuk', 'MishHimeChan', 'CandiceDionysus', 'philodygmn', 'EChickentender', 'eponinetaire', 'bongsoverboys', 'Emmelodica', 'CinnamonBunnyGr', 'mariojoseh555', 'ChaosCastleUK']"
7,TwistingDucks,4513,3346,1919,12,"['bemixUK', 'Leadthewaycald', 'TwistingDucks', 'riponmum', 'HWNland', 'ChrisShrubb1', 'MadeNewcastle', 'TheFreshNCL', 'FriendsAction', 'thetwistrocks', 'SpectrumNcl']"
8,stevesilberman,10673,137608,167919,18,"['rmathematicus', 'ChilliCrisp', 'Lau_Cob_', 'nettle_leaf', 'doclnghair', 'booft', 'CircleReader', 'HuldahGates', 'catmemesonly', 'andrewmorrisuk', 'ScorpioPisces9', 'stevesilberman', 'planetpatman', 'peterainbow', 'JohnWilkinspsyc', 'Ziltoidia', 'Jevremovic']"
9,BILD_tweets,2672,11256,8609,8,"['right2homeUK', 'andrewmorrisuk', 'jmw3cat', 'Leighpowers16', 'samdownie', 'lance_fogan', 'nwtdtlynn', 'VictoriaMWright']"
10,Paulc2nd,2592,665,35652,0,[]
11,johnnyprofane1,3405,7093,48478,13,"['andrewmorrisuk', 'CJRyallcom', 'isntJen', 'DrHlexia', 'JavierFFrankie1', 'Rootbrian_', '_webshareztv', 'raymondaprice', '_webshareztv', 'MPWeirdoPodcast', 'Pcast_ol', 'SoundOfCreat1on', 'richiew4ever']"
12,NeuroRebel,11316,36237,111020,14,"['TipsyJ3', 'sl_theebooks', 'aragon1500', 'antifamondiale', 'Sarenth', 'quietrebel1988', 'WhisperofPages', 'gsmoviefan', 'SwordNimi0', 'Hrath8', 'MxieSystem', 'AuroraMoonrise', 'GENDER_JELLY']"
13,ActuallyAutistc,15,5,43,6,"['Hejawol0602', 'DJ__Paint', 'dantelaw22', 'i_m_henry', 'andrewmorrisuk']"
14,code_ability,7,13,31,20,"['Discovertech3', 'codedailybot', 'iPythonistaBot', 'AdvanceML', 'CodeWithTwitchi', 'CoderRetweet', 'RpatoolsC', 'botfordev', 'periscopeislit', 'whopcod', 'NeilMilliken', '100DaysOf2020', 'TheCuriousLuke', 'andrewmorrisuk', 'morolswediu', 'xaelbot', 'BendevBot', 'Bills_Bot', 'opensource_orgs', '_FunBot']"
15,transhumancoin,373,1222,1754,51,"['chiagozie_emeka', 'Specialhyips', 'OlaDayo_419O', 'Crypto_Oke', 'BushraAli200', 'Fogghedgehog', 'Mostofa57412631', 'lo_videl', 'ChinChinnMae', 'AhiunL', 'Bzialashabit', '1RUBIE1', 'Promisekhan33', 'Luckysylva', 'quantumuq', 'andrewmorrisuk', 'MagnusS62469898', 'peterxing', 'transhumanismAU', 'nsofor_tochukwu']"
16,disabilityscoop,0,40546,5535,11,"['20fthigh', 'RichardButon', 'v8giraffe', 'DrTempleGrandin', 'autismbulletin', 'PathwayOR', 'JESPYHouse', 'Joshua_Greer', 'DE_SCPD', 'SpeechTherapist', 'SamhainNight']"
17,kevharrison_,4377,10486,27803,20208,"['DonPBickerdike', 'birdwriter7', 'dichondrablue', 'mrvolpess', 'mneurodivergent', 'slappi17', 'nypapajoe', 'keeshiabrie', 'MalikSed60', 'TinDogPodcast', 'bless151', 'WillsonSherrie', 'Vanwestern1', 'birdwriter7', 'DaveCol08591776', 'NiamhCourtney5', 'ladyseakayaker', 'TamaraW86146879']"
18,shwaboy99,408,405,7745,15,"['MacDonaldWalk', 'divergentTea', 'djcarrollmagic', 'HKPF_Esther', 'wbcrow1', 'lunamadd', 'bigfanofoprah', 'Gopirai13', 'nlo_mph_mom_to3', 'aaa_vma', 'jj_bonin', 'DanieleBergstra', 'AmandaB_strong', 'Vote4Tony2022']"
19,RamsAutiMom,801,840,1395,903,"['MarkMarkpginge', 'JESchultz1952', 'ekimnannah', 'pcrod', 'progressenjoyer', 'sweettooth49', 'andy999shawca', 'BlueHulk859', 'Sashelly', 'getamop', 'evolv67', 'GemayelHampton', 'GOPNoMor', 'PaulDereume', 'BrubakerWeston', 'MRSAGOSTINIOCT', 'QuilliganAaron', 'cheriecherieboo', 'Bains1A']"
20,Geetika_kpr,137,98,87,7,"['soodstuti17', 'dr_samirparikh', 'fortis_mhbs', 'nishtha_narula', 'Tizard_ABAPBS', 'ThanosGR', 'kamna_chhibber']"
21,LEAD_Coalition,37878,49292,44975,33,"['MentalHealthBo5', 'Enzofratel', 'Desiree_Ahgudo', 'WVUTRICIA', 'Pierre018', 'edynathan1', 'DeviantTruMasta', 'MiguelHilargiak', 'Sam_ivzir', 'MissFlowerPixie', 'MartinG8177', 'ManjitK6987', 'Rosario_Strano', 'PennyTindall', 'HamzaRoberto', 'maxnmoll1', 'FizaPathan', 'barbiesway', 'DeeJayKent1', 'KirkhamRaine']"
22,PaSpEdTeacher,1730,1517,3646,4,"['laura_goodner', 'MrHistory9', 'Doucevie7777', 'Teacherscare101']"
23,BCLiberalCaucus,2131,9686,28290,24,"['Frbkirby', 'Mike_A_Bernier', 'LLLwry', 'NancyChadbourne', 'Teresa_Wat', 'BruceBanman', 'TrevHal', 'JohnRustad4BC', 'rmttn', 'Clovechok', 'Tigerlily874', 'IanPatonDelta', 'moose8chocolate', 'shirleybond', 'AShoutAbout', 'PamNoblePaton', 'JMcanerin', '_jaclyns', 'CriticBC']"
24,Autismdad67,1263,1724,805,26,"['andrewmorrisuk', 'blklblallykat', 'AutismSpectrum4', 'FazliuBlerta', 'colm_1981', 'gjdoc75', 'MccloreyMicky', 'NeilLogan20', 'NedbrennanEb', 'NaiWales', 'DavaDave1884', 'MagaMommy_N', 'StirlingWullie', 'ravens2007fc', 'RossesRover', 'stef18881']"
25,WargarW,1257,27285,14593,156,"['RickyPasket', 'HWehrwulf', 'CoreyDanger15', 'AngeryTreeGuy', 'schedelcollect1', 'dassturmsoldat1', 'Kptfantastic', 'Koneshnowhite', 'schoolidolwife', 'JFKQUICKSCOPE', 'WargarW', 'Dionysi48848443', 'archiv333d_', 'skrimp_farmer', 'del0ser']"
26,steppingfwduk,957,367,2823,5,"['StevieL46504317', 'autismberkshire', 'dearjeremydear', 'metfilmprod', 'ReasonIJumpFilm']"
27,Josh_Merritt1,1536,3241,24644,10,"['JackSilver', 'DisabledInTV', 'alyswhitehead', 'evlyneoyedokun', 'Aut2W', 'meledgerwood', 'BooksinMaze', '131Jj', 'twoshadesofhope', 'justinhayward']"
28,SwainITV,1963,22446,6886,89,"['Allandv1', 'izcullen', 'stanleyblagg', 'swaddorset', 'SR_444444', 'jakeandrew96', 'JamieMoughton', 'lance_fogan', 'rybonator3000', 'joskivington', 'Chris_dabayleaf', 'glen_sue', 'JillHood8', 'TaylordFitLife', 'PaulMarchant11', 'PalmaRecto', 'RachelEmmettPR', 'onfaitavec']"
29,beautys_legacy,2189,1162,1100,39,"['Bonzo1805', 'MentalHealthBo5', 'Puffin77Puffin', 'NadineHarris12', 'SueSun25', 'carlachrisellis', 'MynardAnn', 'PurplePansy56', 'SEALMacsgirl', 'jaspertina', 'Ig3rr', 'KiwiFe71', 'SandyDerby2', 'TraceyJ1813', 'SteelCherry', 'IM84333247', 'sandssims', 'Jadesjazzy16', 'Privilegedcand1']"
30,hollyrpeete,4024,652918,126731,21,"['sherisa7', 'BeccaTwoPoint0', 'piperhuguley', 'julesofwriting', 'sheepthusiast', 'hallmarkchannel', 'FrankelPatti', 'amadisaurus', 'HighHeelEsquire', 'Rosemariek48', 'hallmarkmovie', 'Mrspencil94', 'mrcdesigner', 'Thai88888', 'AMarya86', 'ThomasWisteria', 'brandonmscales', 'Alllwftopic']"
31,LucilleCollard,2199,3492,4296,19,"['redwhiteprinces', 'DavidMosseyLIB', 'bqpla', 'Lisa83087613', 'flatt99', 'mikewalker2361', 'KeithWDonally', 'bill29896935', 'MEEKSVS', 'JustWatchMe14', 'bowman_beverly', 'PennyPo54201061', 'progdogjazzcat', 'JrSamplesBR549', 'OntLiberal', 'paryamirjani', 'MeAdnanSiddiqui', 'CraigReed5', 'KyleHarrietha']"
32,PaulaMc007,10434,24881,70218,27,"['ninichan2b', 'NeoLunaticus', 'NeuroRebel', 'Jones8science', 'jane_nickels', 'JGjanegreen', 'PaulaMc007', 'AutismPeterboro', 'HeatherHalsall', 'Darrentigerlion', 'were_first', 'Ruth75387076', 'sweetsare', 'seenandheard22', 'Tenbatsu13', 'Richard_Autism', 'sentient_water', 'mamajasper', 'ExistentialAut1', 'Saraheboon']"
33,ReloadedDreams,1130,1005,9787,29,"['BeardedChrisP', 'rahxrahster', 'DuskaEverything', 'SashaWhite', 'NatchaStark', 'PxPerfectionist', 'ADHDing_', 'MentalHealthBo5', 'noellevivante', 'island_ko', 'cheesecrisis', 'MentalHealthBo5', 'quagsire4smash', 'SpectrumInSpace', 'SaimaMinhas3', 'MarvelousCloud', 'oliviawhitman3', 'PantherAlyxx']"
34,DeritisKristin,704,859,346,77,"['MentalHealthBo5', 'Tolkienfangirl1', 'Genava02', 'MrsSJHanna', 'Urfavnupe', 'Eaglestream1', 'andrewmorrisuk', 'MentalHealthBo5', 'johngacinski', 'FrankCoulson7', 'xu0WkS01WjtWfRc', 'Islamsa27747363', '363636Elle', 'atyrau72556970', 'KKnOR7hm8xY2puE', 'KarpovaOlezka', 'Nonna62310041', 'aenterprises66', 'DiptoKu330', 'andrewmorrisuk']"
35,scienceofpets,3447,2280,3898,45,"['londoner_007', 'HelperStream', 'SusieBSchnauzer', 'AlisonShanahan1', 'LiesbethTip', 'weejockmaley', 'andrewmorrisuk', 'laithdruim', 'SMRCResearch', 'DrNRoberts', 'HelperStream', 'catiaxfaria', 'NicolaGuthrie', 'Abbie_McGuire13', 'BestWorstOnline', 'lizpsychology', 'GrainneAOConnor', 'BiancaHatin', 'kathrynpapp', 'jwapplebaum']"
36,jojoandspoons,1073,957,5761,22,"['BurghamGail', 'gingertedwards', 'esmesstuff', 'autismbucks1', 'Feehlo', 'roolbg', 'CountrySkills', 'AusomeCharlie', 'andrewmorrisuk', 'autisticgpshh', 'ActualKatyjean', 'Alouema2', 'Beth_Tastic', 'Benishere8', 'mockingdumbanti', 'XplodedSynapses', 'purrrmeowpurrr']"
37,MAbsoud,874,3526,4750,16,"['antov2401', 'FellLindafell', 'artworksplus', 'Ros02305305', 'SheriCopelandUK', 'JoeSmit05465144', 'UsforThemUK', 'BrandedDragon', 'andrewmorrisuk', 'SelfHarmRes', 'GerryBridgett', 'hassaanhch', 'jadenozzz', 'ElleMandell', 'lensiseethrough', 'shahrakhee']"
38,omasoncharles,11975,18689,197623,3894,"['SimonVdVwriter', 'cherrymischivus', 'molina_elorza', 'nina_vad_holtum', 'Dab10ten', 'DerekRKing2', 'andrewmorrisuk', 'NicolaYeager', 'andrewmorrisuk', 'cherrymischivus', 'SusanneLeist', 'dramacjc', 'sukeji_handa', 'andrewmorrisuk', 'cherrymischivus', 'TS19912', 'richard_cezar', 'ebooklingo', 'ebooklingo', 'NicolaYeager']"
39,DavidMorris_TO,598,1184,917,34,"['agirlnamedjojo1', 'tonycatso', 'andrewmorrisuk', 'sharonatees', 'ChantalChartran', 'lisarose1308', 'burnham_leanne', 'AutismNorthern', 'hughes_kun', 'altmary', 'JayJayHumble', 'AutismMomMisha', 'carteciel', 'Sioflynn', 'sue_murchie1', 'jj_bonin', 'DaleRose111', 'Olivier_Bianchi']"
