,or_id
0,1456624813506707458
1,1456687486453919756
2,1456876776009998341
3,1456859376564776962
4,1456876776009998341
5,1456871853897703424
6,1456716233412329486
7,1456716233412329486
8,1456871853897703424
9,1456869434358910978
10,1456647633896943620
11,1456647633896943620
12,1456634495382298635
13,1456687486453919756
14,1456869434358910978
15,1456243528204496896
16,1456282132121272324
17,1456680592699920386
18,1456726564385837062
19,1456634495382298635
20,1456687486453919756
21,1456726564385837062
22,1456626219412299777
23,1456865915564445699
24,1456803663058456581
25,1456819403887087616
26,1456624845119164416
27,1456645766269837316
28,1456555422060589060
29,1456746592749326337
30,1456687486453919756
31,1456687486453919756
32,1452979614125592581
33,1456626219412299777
34,1456634495382298635
35,1456680592699920386
36,1456730005648691206
37,1456626219412299777
38,1452979614125592581
39,1456847765825150976
40,1456634495382298635
41,1456859376564776962
42,1456859376564776962
43,1456687486453919756
44,1456634495382298635
45,1456680592699920386
46,1456680592699920386
47,1456687486453919756
48,1456680592699920386
49,1456680592699920386
50,1456687486453919756
51,1456687486453919756
52,1456687486453919756
53,1455282767097331713
54,1456852921245741058
55,1456642150389719041
56,1456687486453919756
57,1456687486453919756
58,1456680592699920386
59,1456642150389719041
60,1456852921245741058
61,1456852586141683716
62,1456680592699920386
63,1456852439466975236
64,1456377419552669699
65,1456680592699920386
66,1456849102294114304
67,1456680592699920386
68,1456837691295813634
69,1456377419552669699
70,1456243526891671554
71,1456243522647085062
72,1456687486453919756
73,1456748989148172289
74,1456680592699920386
75,1456849102294114304
76,1456683203033550851
77,1456687486453919756
78,1456847765825150976
79,1456706937429520386
80,1456847765825150976
81,1456847765825150976
82,1456844336398733312
83,1456687486453919756
84,1456243518482038790
85,1433040412638392325
86,1456748989148172289
87,1456748989148172289
88,1456687486453919756
89,1456687486453919756
90,1456846447626883075
91,1454999230171553803
92,1456687486453919756
93,1456634495382298635
94,1456837691295813634
95,1443062146510860289
96,1456842907193905153
97,1456844336398733312
98,1456842907193905153
99,1456843762567581704
100,1456687486453919756
101,1456843580451049475
102,1456843306097201154
103,1456842907193905153
104,1456687486453919756
105,1456837691295813634
106,1456687486453919756
107,1456687486453919756
108,1456687486453919756
109,1456687486453919756
110,1456687486453919756
111,1456841769954553859
112,1456687486453919756
113,1456687486453919756
114,1456687486453919756
115,1456687486453919756
116,1456837691295813634
117,1455426186058903554
118,1456612353190072320
119,1456634495382298635
120,1456624021655654405
121,1456634495382298635
122,1456691078174707719
123,1456813871210004482
124,1456759897178116097
125,1456837691295813634
126,1456634495382298635
127,1456837172137316356
128,1455569555913429001
129,1456657545259479045
130,1456687486453919756
131,1456605774931767304
132,1456673162314321921
133,1456833222264901632
134,1456677329380548612
135,1456677329380548612
136,1456829243049091072
137,1456758150464516098
138,1456634495382298635
139,1433040412638392325
140,1456829243049091072
141,1456825632793546755
142,1456618815601655811
143,1455569555913429001
144,1456377419552669699
145,1456718211181912069
146,1456829243049091072
147,1455569555913429001
148,1456828469686513666
149,1456827278114140165
150,1456810999537876993
151,1456813871210004482
152,1456825632793546755
153,1456766585461432322
154,1456822464449851396
155,1456634495382298635
156,1456677683492839425
157,1456822285424287746
158,1456822464449851396
159,1456811078776619011
160,1456822285424287746
161,1456818314446053376
162,1456818314446053376
163,1456612353190072320
164,1456243518482038790
165,1456819403887087616
166,1456818314446053376
167,1456612353190072320
168,1456612353190072320
169,1456818314446053376
170,1456759897178116097
171,1456687486453919756
172,1456816457329819648
173,1456764892288069633
174,1456815874757693442
175,1456399795795501064
176,1456810940306006018
177,1456810999537876993
178,1456243518482038790
179,1456813871210004482
180,1456730005648691206
181,1456687486453919756
182,1456810940306006018
183,1456810940306006018
184,1456810999537876993
185,1456810999537876993
186,1456713129841373193
187,1456811078776619011
188,1456657545259479045
189,1456657545259479045
190,1456657545259479045
191,1456811078776619011
192,1456810999537876993
193,1456810940306006018
194,1454366714595061765
195,1455949716651397125
196,1454366714595061765
197,1456748989148172289
198,1456809236390842371
199,1456748989148172289
200,1456256686277103617
201,1456766585461432322
202,1455608365795594242
203,1456808759741800448
204,1456243518482038790
205,1456805481998012416
206,1456657250555150336
207,1456634495382298635
208,1456759897178116097
209,1456605774931767304
210,1456804067821428742
211,1456803663058456581
212,1456605774931767304
213,1456673162314321921
214,1456802964908265474
215,1456730005648691206
216,1456802964908265474
217,1456687486453919756
218,1456788620497588226
219,1456793618786648067
220,1456800475869765633
221,1456612353190072320
222,1456607003183362055
223,1456634495382298635
224,1456799250239705089
225,1456798424406237186
226,1456730005648691206
227,1430166792677232649
228,1456243518482038790
229,1456795137003204612
230,1456605774931767304
231,1456673162314321921
232,1456570629092560902
233,1456634495382298635
234,1456607505380003841
235,1456793618786648067
236,1456657250555150336
237,1455169585120890882
238,1456792006240444424
239,1456690835286802439
240,1456377419552669699
241,1456788673664405506
242,1456788620497588226
243,1456788480722415617
244,1456634495382298635
245,1456787173303279619
246,1456634495382298635
247,1456786881815871488
248,1456786797049090050
249,1456759897178116097
250,1456759897178116097
251,1456784765030256642
252,1456567214220328966
253,1456687486453919756
254,1456512409284354048
255,1456687486453919756
256,1456687486453919756
257,1456758150464516098
258,1456782609124663299
259,1456634495382298635
260,1456634495382298635
261,1456634495382298635
262,1455569555913429001
263,1456611745313734656
264,1456779686974038028
265,1456759897178116097
266,1456243518482038790
267,1455569555913429001
268,1456377419552669699
269,1456730005648691206
270,1456236292954595328
271,1456243518482038790
272,1456759897178116097
273,1456518768490782721
274,1456777497987543043
275,1456634495382298635
276,1456777333768138752
277,1456759897178116097
278,1456759897178116097
279,1455476032098689024
280,1456690492050231297
281,1456633882598690817
282,1455476032098689024
283,1455569555913429001
284,1456759897178116097
285,1456776022498680832
286,1456512409284354048
287,1456377419552669699
288,1455476032098689024
289,1437343045632942081
290,1437343045632942081
291,1437343045632942081
292,1437343045632942081
293,1455569555913429001
294,1456626219412299777
295,1456758150464516098
296,1455569555913429001
297,1456762390918402053
298,1456773904337354761
299,1456758150464516098
300,1455569555913429001
301,1456773539059666944
302,1456243518482038790
303,1425260846255689731
304,1455569555913429001
305,1455569555913429001
306,1456243518482038790
307,1456657250555150336
308,1455569555913429001
309,1456612353190072320
310,1456771747466956804
311,1455569555913429001
312,1456634495382298635
313,1456612353190072320
314,1455569555913429001
315,1456758150464516098
316,1456758150464516098
317,1456770499824918532
318,1456769936802648078
319,1456243518482038790
320,1455962656624369665
321,1456766585461432322
322,1456758150464516098
323,1455569555913429001
324,1456759897178116097
325,1456759897178116097
326,1456766585461432322
327,1456607003183362055
328,1456766043355975686
329,1456757970570817536
330,1456765895821479938
331,1456470892221980673
332,1456764892288069633
333,1456764659793596417
334,1456764522786705409
335,1456000727889940488
336,1456763882203197445
337,1456758150464516098
338,1456634495382298635
339,1456762390918402053
340,1456762313827143687
341,1456761909261258756
342,1456761624124141568
343,1456730005648691206
344,1456761550719619072
345,1456609323883368462
346,1456713129841373193
347,1456761029199814663
348,1456759374295281666
349,1456687486453919756
350,1456243518482038790
351,1456760638664056845
352,1456687486453919756
353,1456605774931767304
354,1456758150464516098
355,1456759966619025408
356,1456759897178116097
357,1456758150464516098
358,1456634495382298635
359,1456759374295281666
360,1456758150464516098
361,1456647633896943620
362,1456713039831605256
363,1456758150464516098
364,1456758978222776322
365,1456758083078733828
366,1456758150464516098
367,1456758083078733828
368,1456757970570817536
369,1456757970570817536
370,1456690492050231297
371,1456687486453919756
372,1456757198344830982
373,1456756954274177028
374,1455569555913429001
375,1456690492050231297
376,1456687486453919756
377,1455918479291281414
378,1455918479291281414
379,1456687486453919756
380,1456605774931767304
381,1456690492050231297
382,1456634495382298635
383,1456748989148172289
384,1456748989148172289
385,1456634495382298635
386,1456753549615017986
387,1456634495382298635
388,1455873973460238338
389,1456752610246004746
390,1456267556566695948
391,1456752610246004746
392,1456752184360677379
393,1456243518482038790
394,1456634495382298635
395,1456607003183362055
396,1456605774931767304
397,1456607505380003841
398,1456750712604536839
399,1456243522647085062
400,1456748989148172289
401,1456463927894814757
402,1456626219412299777
403,1456748989148172289
404,1456748989148172289
405,1456748989148172289
406,1456748989148172289
407,1456683203033550851
408,1453571603552477187
409,1456748989148172289
410,1456748989148172289
411,1456748989148172289
412,1456748989148172289
413,1456748989148172289
414,1455109831816327172
415,1456512409284354048
416,1456607505380003841
417,1456747904929079307
418,1456673162314321921
419,1456747493694320640
420,1456747312961654791
421,1456714143751458819
422,1456484785329774593
423,1456512409284354048
424,1456746623749525507
425,1456746592749326337
426,1415889176923451403
427,1455569555913429001
428,1456730005648691206
429,1404513905670385666
430,1432872894640578562
431,1456745604189589507
432,1456730005648691206
433,1456690492050231297
434,1456605774931767304
435,1456745094502047751
436,1456728024561356800
437,1456289709865541637
438,1456236292954595328
439,1456714143751458819
440,1456634495382298635
441,1456690492050231297
442,1456743453547659265
443,1328835586493386753
444,1456727568581906437
445,1456743124886245380
446,1456677683492839425
447,1456261198932938752
448,1456628365096534025
449,1456712971007270917
450,1456465996995309584
451,1456634495382298635
452,1456634495382298635
453,1456634495382298635
454,1455569555913429001
455,1456243518482038790
456,1433040412638392325
457,1456698310362763266
458,1456677683492839425
459,1456739631756677124
460,1456010632558530560
461,1456739029706289163
462,1456712971007270917
463,1456568102473412609
464,1456738725946445825
465,1456634495382298635
466,1456590081532342282
467,1456626219412299777
468,1456738098826653702
469,1456634495382298635
470,1455881175357173770
471,1455929780897992708
472,1456605331472125961
473,1456246717431656448
474,1456243518482038790
475,1456596953161158662
476,1456736884080717825
477,1424075653704560641
478,1456730005648691206
479,1456652778747662339
480,1456736096675450880
481,1456730005648691206
482,1456735854198763527
483,1456512409284354048
484,1456735041262850053
485,1456634495382298635
486,1456734911331774474
487,1456406322275049473
488,1456734152527683586
489,1456683203033550851
490,1456572653339283464
491,1456730005648691206
492,1456732565159677957
493,1456731952560680970
494,1456730005648691206
495,1433040412638392325
496,1456731092384456710
497,1456634495382298635
498,1456713129841373193
499,1456730005648691206
500,1447280727880519688
501,1456730005648691206
502,1456634495382298635
503,1456729918616780807
504,1456729882139021321
505,1455873973460238338
506,1456708310107820035
507,1454999230171553803
508,1456728957374582785
509,1456236292954595328
510,1456605774931767304
511,1455873973460238338
512,1456728294318039040
513,1456553030862639105
514,1456728024561356800
515,1456634495382298635
516,1455849598073835521
517,1456626219412299777
518,1456690835286802439
519,1456727568581906437
520,1456727456275107840
521,1456375863386193923
522,1456289709865541637
523,1454999230171553803
524,1456713129841373193
525,1456726564385837062
526,1456570629092560902
527,1456512409284354048
528,1454999230171553803
529,1456634495382298635
530,1456657250555150336
531,1456704513952268292
532,1456724964950806533
533,1456657545259479045
534,1456626219412299777
535,1456724404818296841
536,1456724404818296841
537,1454217451592462339
538,1456504388806225920
539,1456512409284354048
540,1456715265606103048
541,1456713039831605256
542,1456661232367374340
543,1456722649003008003
544,1456722576508653575
545,1456722439686299657
546,1456673162314321921
547,1456722255002566657
548,1404513905670385666
549,1456721838059442185
550,1456673162314321921
551,1456690492050231297
552,1456706370166824962
553,1456657250555150336
554,1456375863386193923
555,1456609323883368462
556,1456701870085328896
557,1456605774931767304
558,1456718379570823168
559,1456430485144485896
560,1456719217101836299
561,1456719043017203715
562,1455949716651397125
563,1456680592699920386
564,1456718379570823168
565,1456718227074125828
566,1456718211181912069
567,1456243518482038790
568,1456714592898355202
569,1456673162314321921
570,1456716233412329486
571,1456634495382298635
572,1456717466013417473
573,1456716706810929153
574,1456629971598839812
575,1456690492050231297
576,1456717100060454915
577,1456673162314321921
578,1456590081532342282
579,1456628365096534025
580,1456716706810929153
581,1456706568465100801
582,1456712971007270917
583,1456712932755132416
584,1456716760183361536
585,1456716748116344835
586,1456716706810929153
587,1456716706542325760
588,1456701870085328896
589,1456716450585104391
590,1456716233412329486
591,1456710135150170118
592,1456715671195291654
593,1456715265606103048
594,1456715434955268099
595,1456715265606103048
596,1456634495382298635
597,1456714592898355202
598,1456243518482038790
599,1456701870085328896
600,1456714592898355202
601,1456713039831605256
602,1456707074499432453
603,1456714143751458819
604,1456634495382298635
605,1456634495382298635
606,1456713246988242945
607,1456657250555150336
608,1456713129841373193
609,1456713039831605256
610,1456712971007270917
611,1456712932755132416
612,1456712841331888136
613,1456712586616053765
614,1456289709865541637
615,1456512409284354048
616,1456712442562613250
617,1456289709865541637
618,1455569555913429001
619,1456634495382298635
620,1456605774931767304
621,1456711332875710464
622,1456687486453919756
623,1456677683492839425
624,1456710135150170118
625,1456568102473412609
626,1456709457031929864
627,1456709425264271367
628,1456709339356581889
629,1454374690030555137
630,1456708919464800258
631,1456512409284354048
632,1456708840779497479
633,1456680592699920386
634,1456605774931767304
635,1456289709865541637
636,1456708310107820035
637,1456673162314321921
638,1456590081532342282
639,1456657545259479045
640,1456673162314321921
641,1456707497603977216
642,1456706937429520386
643,1456243518482038790
644,1456707074499432453
645,1456634495382298635
646,1456707074499432453
647,1456706568465100801
648,1456706937429520386
649,1456399795795501064
650,1456289709865541637
651,1456706568465100801
652,1456605774931767304
653,1456557885819863047
654,1456706370166824962
655,1456634495382298635
656,1456243518482038790
657,1456706016255610883
658,1456551423294988297
659,1456704221793816577
660,1456705948462972928
661,1451517311412805638
662,1456605774931767304
663,1456557885819863047
664,1456605774931767304
665,1456634495382298635
666,1455569555913429001
667,1456673162314321921
668,1456704513952268292
669,1456704653693968389
670,1456704513952268292
671,1455949716651397125
672,1456704221793816577
673,1456677683492839425
674,1456690835286802439
675,1456703850434469889
676,1456677683492839425
677,1456243518482038790
678,1456243519790649349
679,1456243528204496896
680,1456243526891671554
681,1456243525406887939
682,1456703325815164941
683,1456243522647085062
684,1456634495382298635
685,1456243521384587269
686,1456634495382298635
687,1456703186501210112
688,1456664716194025476
689,1455569555913429001
690,1456607003183362055
691,1456630219738161164
692,1450019021903048707
693,1456634495382298635
694,1456683169772670985
695,1456701870085328896
696,1456564159332691969
697,1456701605202497543
698,1456677683492839425
699,1453807059967819781
700,1456700635861159946
701,1454235909474373647
702,1454534003327909888
703,1454503838887591938
704,1454907136878710784
705,1456700274446372873
706,1455437485996232708
707,1455849598073835521
708,1455994633331388419
709,1456699104512315395
710,1456213607633596417
711,1456687486453919756
712,1456209058642464772
713,1456677683492839425
714,1456699104512315395
715,1456518923159998485
716,1456634495382298635
717,1456698585882537994
718,1456698519981633538
719,1456698310362763266
720,1456673162314321921
721,1456690492050231297
722,1456634495382298635
723,1456687486453919756
724,1456697914382749702
725,1456697833428455429
726,1456687486453919756
727,1456618550588854275
728,1456697506654560257
729,1456697498295275527
730,1456236292954595328
731,1456630219738161164
732,1455949716651397125
733,1456683169772670985
734,1456634495382298635
735,1456690450648207367
736,1456696383034040329
737,1456687486453919756
738,1456607505380003841
739,1456695749303930882
740,1455476029796012041
741,1456695424581001232
742,1456177118321201153
743,1456568102473412609
744,1456695157403815937
745,1456683169772670985
746,1456677683492839425
747,1456694799080337414
748,1456694792159744010
749,1456694036581031941
750,1456694672219414531
751,1456683169772670985
752,1455918479291281414
753,1456568102473412609
754,1456694234413666310
755,1456690492050231297
756,1456694036581031941
757,1455949716651397125
758,1456693887637016577
759,1456693732682747906
760,1456634495382298635
761,1456690492050231297
762,1456673162314321921
763,1456693371628625920
764,1456693153537343492
765,1456657545259479045
766,1456692825773461507
767,1455949716651397125
768,1456692764410712064
769,1456634495382298635
770,1456687486453919756
771,1456692705434603520
772,1456690492050231297
773,1456687486453919756
774,1456634495382298635
775,1456692321278435332
776,1456512409284354048
777,1456612353190072320
778,1456568102473412609
779,1456680592699920386
780,1456691992331685893
781,1456691952888418305
782,1443062146510860289
783,1456612353190072320
784,1444728856284442626
785,1456673872561033220
786,1456568102473412609
787,1456605331472125961
788,1456677683492839425
789,1456691078174707719
790,1456691078174707719
791,1433040412638392325
792,1456690492050231297
793,1456690835286802439
794,1455452297329143811
795,1456690862579126282
796,1456690835286802439
797,1456605331472125961
798,1456687486453919756
799,1456690492050231297
800,1456690450648207367
801,1456673162314321921
802,1456243518482038790
803,1456677683492839425
804,1456690160779898884
805,1456677683492839425
806,1456689775906377728
807,1455250648904216591
808,1456689867342106626
809,1456687486453919756
810,1456689775906377728
811,1456689684390858771
812,1456689580866949120
813,1456687486453919756
814,1456689398339276803
815,1456348050092294145
816,1456597270154002432
817,1456688815834292228
818,1456609323883368462
819,1456686952615452679
820,1456634495382298635
821,1456687486453919756
822,1456609323883368462
823,1456688432676151296
824,1456688415337062414
825,1456687486453919756
826,1456687884933738504
827,1456687486453919756
828,1456243525406887939
829,1456243522647085062
830,1456243521384587269
831,1456243519790649349
832,1456243518482038790
833,1456236292954595328
834,1456677683492839425
835,1456687486453919756
836,1456661232367374340
837,1456687194517786631
838,1456687007036493824
839,1456686952615452679
840,1456661232367374340
841,1456686514381991941
842,1456567214220328966
843,1456686257069821953
844,1456518923159998485
845,1456677683492839425
846,1456685263955038214
847,1456677683492839425
848,1456673162314321921
849,1456680592699920386
850,1456684645181952004
851,1456683169772670985
852,1456677683492839425
853,1456684499849318409
854,1456663075445149696
855,1456663075445149696
856,1456684107702935554
857,1456652778747662339
858,1456683895295025162
859,1456683798683389965
860,1456243518482038790
861,1456677683492839425
862,1456683479966625792
863,1456683296260300803
864,1456683203033550851
865,1456683169772670985
866,1456682813672022018
867,1456673162314321921
868,1456682616825032711
869,1456463927894814757
870,1455949716651397125
871,1455949716651397125
872,1456677683492839425
873,1456681776592695298
874,1456681605876142083
875,1456533258292895754
876,1456681513353891849
877,1456463927894814757
878,1456673162314321921
879,1456634495382298635
880,1456681173787234306
881,1456634495382298635
882,1456673162314321921
883,1456681004291268614
884,1456680592699920386
885,1456680622185984001
