,username,following,followers,totaltweets,retweetcount,retweeters
0,rigwell80,410,75,247,1,['JFSebastian146']
1,emmadentcoad,2491,20969,17401,11,"['rcsalgado1', 'jaxd38', 'JFSebastian146', 'KensingtonCLP', 'ClareCummins5', 'JFSebastian146', 'EdenhamResident', 'gkjowett', 'Clarice007', 'RBKCLF', 'Purple2Lavender']"
2,NavJB,702,2298,2735,119,"['NavJB', 'more9wui', 'buckleynmyclem', 'pareya9j', 'Casau99lTerres', 'pparast2_p', 'kandyzkjx', 'maryamram152', 'yurikolopezors8', 'mirthanaito71', 'EunEunvelmer8', 'Enti3Klein', 'matthew74829703', 'cordeliamathie8', 'felicidadvane12', 'camillaware15', 'graceborntraeg7', 'leibovitzaxgk']"
3,say_the_names,329,189,19875,0,[]
4,woke_supremacy,0,0,11,2,"['JFSebastian146', 'SBBExpo']"
5,jphoganorg,3583,1489,83611,1,['jphoganorg']
6,darrenash13,181,13,993,0,[]
7,woke_supremacy,0,0,11,3,"['cherylo517', 'JFSebastian146', 'SBBExpo']"
8,woke_supremacy,0,0,11,2,"['JFSebastian146', 'SBBExpo']"
9,ShechangesE,66,38,2729,3,"['MarcusJLuckMG', 'JFSebastian146', 'MTink21401']"
10,NottingHillNerd,3104,3154,17885,1,['JFSebastian146']
11,ClareKuehn,444,760,65156,5,"['v8ader', 'Brother54799903', 'JFSebastian146', 'Zstreets', 'mRNA_Death_Toll']"
12,NottingHillNerd,3104,3154,17885,1,['JFSebastian146']
13,woke_supremacy,0,0,11,2,"['JFSebastian146', 'SBBExpo']"
14,woke_supremacy,0,0,11,3,"['cherylo517', 'JFSebastian146', 'SBBExpo']"
15,woke_supremacy,0,0,11,2,"['JFSebastian146', 'SBBExpo']"
16,emmadentcoad,2491,20969,17401,11,"['rcsalgado1', 'jaxd38', 'JFSebastian146', 'KensingtonCLP', 'ClareCummins5', 'JFSebastian146', 'EdenhamResident', 'gkjowett', 'Clarice007', 'RBKCLF', 'Purple2Lavender']"
17,rigwell80,410,75,247,1,['JFSebastian146']
