,or_id
0,1455556211064156167
1,1455862040086601730
2,1455501417268056068
3,1455798740837707779
4,1455862836845064192
5,1455853647204585479
6,1455862680464633857
7,1455862628090146821
8,1455853506729029635
9,1455853208350470148
10,1455798245721001984
11,1455862309931323400
12,1455857947611783175
13,1455862309931323400
14,1455853208350470148
15,1455853506729029635
16,1455853647204585479
17,1455501417268056068
18,1455862040086601730
19,1451631711247376385
20,1455857947611783175
21,1455861381228544003
22,1455861021030162439
23,1455798740837707779
24,1455860319792795652
25,1455860588379348996
26,1455860506888073218
27,1455860343096369158
28,1455860319792795652
29,1455859987624996872
30,1455798740837707779
31,1455859505913372678
32,1451631711247376385
33,1455670035213586439
34,1455556211064156167
35,1455859087133007881
36,1455556211064156167
37,1455645813942759428
38,1455858963329822725
39,1455734799184896005
40,1455556211064156167
41,1455556211064156167
42,1455858604670689285
43,1455856598606389249
44,1455556211064156167
45,1455490395291492355
46,1455856598606389249
47,1455856203716648969
48,1455857947611783175
49,1455606124388958213
50,1455857231547744263
51,1455857231547744263
52,1455856598606389249
53,1455856117817487361
54,1455856203716648969
55,1455856117817487361
56,1455857231547744263
57,1455798740837707779
58,1455798740837707779
59,1455856203716648969
60,1455490395291492355
61,1451631711247376385
62,1455798740837707779
63,1455856598606389249
64,1455645813942759428
65,1455856217524514823
66,1455856203716648969
67,1455856117817487361
68,1447513744632958976
69,1455790848466055176
70,1455855060991217667
71,1455854947514388480
72,1455854792048144385
73,1455549654146469890
74,1455798740837707779
75,1455848069639987200
76,1455798740837707779
77,1451631711247376385
78,1455798740837707779
79,1455853647204585479
80,1451631711247376385
81,1455853506729029635
82,1276118325219770371
83,1455853409890979842
84,1455853208350470148
85,1454496002380115970
86,1455853171813851139
87,1453759982990671873
88,1455852065247346692
89,1455852764177870858
90,1455852652651241476
91,1455848069639987200
92,1455852283602903059
93,1455567230486388736
94,1455852260152414212
95,1455556211064156167
96,1455852322064670723
97,1455850141672484868
98,1455852283602903059
99,1455852260152414212
100,1455608611770552321
101,1455798740837707779
102,1455852065247346692
103,1455798740837707779
104,1454496002380115970
105,1455798740837707779
106,1455798740837707779
107,1455848069639987200
108,1455370104900923397
109,1455556211064156167
110,1455421252684980224
111,1455850141672484868
112,1455848069639987200
113,1455849646706810882
114,1455848069639987200
115,1455848069639987200
116,1455848069639987200
117,1455848077902843905
118,1455848069639987200
119,1455848009003012102
120,1455790848466055176
121,1455847736234987522
122,1455798740837707779
123,1455798740837707779
124,1269642123835564034
125,1455846744957272064
126,1451631711247376385
127,1455847341261475848
128,1455847070745649152
129,1455847070745649152
130,1455846744957272064
131,1455798740837707779
132,1455846227862503428
133,1455798740837707779
134,1455556211064156167
135,1455845699954823175
136,1451631711247376385
137,1455845246097674245
138,1455790848466055176
139,1455844877221105667
140,1455844739211796481
141,1455556211064156167
142,1455840652273455107
143,1455841108924108805
144,1455556211064156167
145,1455842832560922624
146,1455798740837707779
147,1455837359929450499
148,1455752803054391296
149,1455841108924108805
150,1455842275322433539
151,1455839622974615553
152,1455837777191481345
153,1455837359929450499
154,1455790848466055176
155,1455798740837707779
156,1455790848466055176
157,1455830506055086110
158,1455790848466055176
159,1455556211064156167
160,1455841108924108805
161,1455556211064156167
162,1455790848466055176
163,1455840652273455107
164,1455798740837707779
165,1451631711247376385
166,1455840069173010436
167,1455839622974615553
168,1455798740837707779
169,1451631711247376385
170,1455556211064156167
171,1455730718412316672
172,1455837990014627844
173,1455556211064156167
174,1455837777191481345
175,1455836667122753537
176,1455836864691286024
177,1455837359929450499
178,1455837159592632324
179,1455836864691286024
180,1455837251624001543
181,1455835448799121408
182,1455606124388958213
183,1455835181504360450
184,1455834342475829250
185,1455659288672735233
186,1455837159592632324
187,1455697880442880005
188,1455836864691286024
189,1455836667122753537
190,1455798740837707779
191,1455798740837707779
192,1451631711247376385
193,1455808299375362051
194,1455595054806994950
195,1455595054806994950
196,1455227388497960960
197,1455798740837707779
198,1455835448799121408
199,1455835181504360450
200,1455833344206200839
201,1455595054806994950
202,1455834342475829250
203,1455556211064156167
204,1455830147593080833
205,1455798740837707779
206,1455830147593080833
207,1455556211064156167
208,1455833344206200839
209,1455556211064156167
210,1455830506055086110
211,1455832855716646919
212,1455831481499140098
213,1455556211064156167
214,1455831489334108165
215,1455798245721001984
216,1455798740837707779
217,1455798740837707779
218,1455798740837707779
219,1455798245721001984
220,1455831489334108165
221,1455831481499140098
222,1455798740837707779
223,1455830506055086110
224,1455780553257406464
225,1455830519791464448
226,1455830506055086110
227,1455830147593080833
228,1455830018551160849
229,1455703616065441792
230,1455829350356381698
231,1451631711247376385
232,1455606124388958213
233,1455798740837707779
234,1449976755448602633
235,1455826551086456834
236,1455665276767379457
237,1455790848466055176
238,1455826730279596033
239,1455826772046462979
240,1455569755809714185
241,1455827914772074499
242,1455798740837707779
243,1424658346481569795
244,1455823402753609728
245,1455826772046462979
246,1455798740837707779
247,1455826551086456834
248,1455825096656900098
249,1455823402753609728
250,1455608611770552321
251,1455798740837707779
252,1455826772046462979
253,1455826730279596033
254,1455826730279596033
255,1455826551086456834
256,1455556211064156167
257,1451631711247376385
258,1451631711247376385
259,1455825096656900098
260,1451631711247376385
261,1449976755448602633
262,1455825096656900098
263,1455161472137453570
264,1455556211064156167
265,1451631711247376385
266,1455798740837707779
267,1455821542848405504
268,1455556211064156167
269,1440333506849038339
270,1455823402753609728
271,1455608611770552321
272,1455823152274104327
273,1455606124388958213
274,1455707810742751234
275,1455798740837707779
276,1455556211064156167
277,1455821980171710466
278,1455759055947972612
279,1455798740837707779
280,1455822059271905284
281,1455822251228635139
282,1455822059271905284
283,1455822180290289665
284,1455821980171710466
285,1455820397530660873
286,1455820122959003650
287,1455822059271905284
288,1455759055947972612
289,1455821980171710466
290,1455798740837707779
291,1455798740837707779
292,1455608611770552321
293,1455821542848405504
294,1455780553257406464
295,1455780553257406464
296,1454126717174525959
297,1455535753581285393
298,1455707508098490373
299,1455820397530660873
300,1455814421192720384
301,1455820122959003650
302,1455815049579204609
303,1451631711247376385
304,1455818671218122755
305,1455798740837707779
306,1455818200407437315
307,1455817536558227456
308,1455817404446085120
309,1455811105679417350
310,1455798740837707779
311,1455798740837707779
312,1455811527810818050
313,1455798740837707779
314,1455790848466055176
315,1455815049579204609
316,1454467516798017536
317,1455535753581285393
318,1455798740837707779
319,1455814421192720384
320,1282773124132610049
321,1455798740837707779
322,1455798740837707779
323,1455813206153203723
324,1455813097168330756
325,1455811105679417350
326,1455811519556558850
327,1451631711247376385
328,1455811527810818050
329,1452626356148203520
330,1446610666719256583
331,1455801068751888390
332,1455798740837707779
333,1455798740837707779
334,1455811527810818050
335,1455811105679417350
336,1455810318874161152
337,1455801068751888390
338,1446610666719256583
339,1455811527810818050
340,1455811519556558850
341,1455811105679417350
342,1455798740837707779
343,1451631711247376385
344,1449976755448602633
345,1455810318874161152
346,1455535753581285393
347,1451631711247376385
348,1455790848466055176
349,1452536079597322245
350,1451631711247376385
351,1455798740837707779
352,1455798740837707779
353,1455806353222475784
354,1455808299375362051
355,1455808269260316673
356,1455535753581285393
357,1451631711247376385
358,1455798740837707779
359,1455806581380026373
360,1455807673539067908
361,1121030399289958403
362,1455798740837707779
363,1455798740837707779
364,1455798740837707779
365,1455790848466055176
366,1455806958909280256
367,1455798740837707779
368,1455806581380026373
369,1455806353222475784
370,1455806353222475784
371,1455806353222475784
