,username,following,followers,totaltweets,retweetcount,retweeters
0,StevenKyleAdair,430,617,1023,0,[]
1,SatanistSubtly,178,38,1588,0,[]
2,newmalevichart,5,546,22,136,"['Kankim2', 'annadavydenko25', '6TCoiIxi2Ohx9ZE', 'IgmaryPlacencia', 'KristinaMaiina1', 'hhhhhhhhjj111', 'Demnel_', 'LolitaRomena', 'Tommyhi54649600', 'kimo69874755', 'MirzaToheed14', 'Israrktk18', 'maria20142152', 'Z9erfDrdAVylUqK', 'nickvv14', 'motivationhist1', 'PJJP3316', 'AsmusJelena', 'Poryashon', 'Camel49480052']"
3,Crow31Darkness,238,761,139144,0,[]
4,barbendavid,4848,3298,139789,0,[]
5,smallslivinlife,27,16,84,2,"['jimmyroybloom', 'JFSebastian146']"
6,TracyWesterman,1470,15577,12162,245,"['Yurrandaali1956', 'LizGiuffre', 'rogerwilkinson3', 'SimonBurns4', 'ChristineFern4', 'ChloeLouQ', 'KyYaYa1970', 'Luluflower2020', 'CaSSiSiA', 'awambmrgw', 'DocWSJames', 'kimmyonadimmy', 'wired_we', 'scotiaforever5', 'Shez1Shez', 'rulelawsuspend', 'pm12_88', 'WindsorBeaver']"
7,HammerTime_419,147,311,102505,0,[]
8,GlendaleUMC,866,914,1554,1,['trueblonde27']
9,TheDerpyMuffins,675,1729,4163,4,"['HoovesQueen', 'DerpyIsBestPone', 'ThePoniesMemes', 'DavidUdale']"
10,ColorOfChange,3393,252717,43248,5,"['mila_bowen', 'JFSebastian146', 'XavierOMack1', 'Sam52160989', 'SharonCullars']"
11,rosesbloom24,28530,30005,35201,9,"['HopeInTheUSA', 'JFSebastian146', 'daddyisthatyou', 'tammy_marchand', 'AvaBanton', 'charliebubsdem', 'RinaRay37211037', 'Zee207702', 'olfashdeb']"
12,SenClayDavisx4,9470,8937,10201,4,"['JFSebastian146', 'hamiltond97', 'Annamaria2427', 'fire__girl']"
13,MrYjNe75,1295,813,34198,0,[]
14,AugustinaEliza,800,889,11101,0,[]
15,gods_of_africa,2,1,243,2,"['gods_of_africa', 'Blackbiz2020']"
