,or_id
0,1456681369388584965
1,1456681122386137089
2,1456355767095861249
3,1456680423157764098
4,1456680373082021888
5,1456676981706084352
6,1456179270137511946
7,1456680071905914881
8,1456679140594171910
9,1456565603385421828
10,1456670441641291777
11,1456631851116896269
12,1456675726330146816
13,1456679536175849482
14,1456679472447430659
15,1456678276898906113
16,1456676889070800897
17,1266884475268616197
18,1456679098806308864
19,1456678969361715205
20,1455556211064156167
21,1456614649860870145
22,1300510243793891329
23,1456678388949831686
24,1456678291243507716
25,1456671790248439808
26,1456678207856553997
27,1456677547089879041
28,1456471584311427072
29,1456677934337445891
30,1456677688995897344
31,1456582129933078528
32,1456637358057693194
33,1269253451340492801
34,1456606695245979648
35,1456619201519628291
36,1456675457722638352
37,1456675780809814016
38,1456675717496848387
39,1456675517650845698
40,1374866049007554561
41,1456675161940185089
42,1456674955135881220
43,1456627179094253568
44,1456667899905691657
45,1456674457011949573
46,1456674287184646144
47,1456671794501406720
48,1456671837786554368
49,1456672020066877453
50,1456289867743248388
51,1456293177783115777
52,1456300412412350472
53,1456673528317628418
54,1456672234253127680
55,1456278455260258305
56,1456673450123202566
57,1456656893515079682
58,1456641542454661125
59,1456671632450228225
60,1455941278290436099
61,1456671596161249285
62,1456671479874084872
63,1456670925294759937
64,1456637682403192836
65,1454364845726318592
66,1456670518300614675
67,1456237653402296333
68,1456670155895889926
69,1456670125050847232
70,1456669701531181068
71,1456669691301277697
72,1456669674045800450
73,1456669155483168770
74,1456666228131614735
75,1456669012809637891
76,1456668830680469509
77,1456666275292319748
78,1456666312982204428
79,1456666268631699458
80,1456668149038845954
81,1456667436711882759
82,1456667970810298383
83,1456667945271115778
84,1456667640693497859
85,1456667632904458242
86,1456667623844941833
87,1456667705826701320
88,1456666129389215745
89,1456275460988366855
90,1456634871493824515
91,1456665624839655429
92,1456665485811101696
93,1456665409378263043
94,1456664995761111041
95,1270825978902659072
96,1456661368808017922
97,1456252543818887180
98,1456664143432409088
99,1456663792264351750
100,1456663791052206087
101,1456331727627034631
102,1456663770621784065
103,1303439381445914629
104,1456663574370209794
105,1456299211838926849
106,1456443505992077316
107,1456662305027117064
108,1456656121406623746
109,1456655710641696774
110,1456400730672222208
111,1456614967483019273
112,1433395829621002242
113,1456660872793755655
114,1456660616928694272
115,1456660242188615684
116,1456362262743195652
117,1456660071245619208
118,1456617838228148224
119,1456660045425479681
120,1456656289476620290
121,1382038630215020544
122,1456658593135136777
123,1456656989103214594
124,1456657103146430469
125,1456062798488866818
126,1456657307253760001
127,1456538671893475329
128,1384662739176542209
129,1456657162311249929
130,1456647524840841224
131,1456655953957474313
132,1456656297886109704
133,1456506453250936874
134,1424815344091373584
135,1456655560179429381
136,1456297799985807368
137,1452575437620719618
138,1456642371467333645
139,1456654700862787593
140,1424467972387651587
141,1456651811964665860
142,1456653791693053957
143,1456651895313887233
144,1446545024687149060
145,1456651925802209282
146,1456652140580061192
147,1456653352553656326
148,1456653160420937735
149,1456652506155597824
150,1456652760825335826
151,1456622319842037769
152,1456652560446672901
153,1456652532487315458
154,1456651439464402948
155,1456651345776218116
156,1456651307507408898
157,1456651014673735682
158,1456650978422366211
159,1456650828937236483
160,1456650711282950147
161,1456644997038624782
162,1456636690307690499
163,1455227388497960960
164,1266486080334856192
165,1456633771743227908
166,1454496002380115970
167,1456650075728453637
168,1456649849370292230
169,1424469480898445320
170,1456646316969320450
171,1456648756330483712
172,1452423515655729153
173,1456648657051209739
174,1456648588189077505
175,1456625795095482373
176,1456646963898814468
177,1456648239365558277
178,1456648015196868609
179,1456182783185915905
180,1455798740837707779
181,1456556070021779458
182,1456480716754243589
183,1456646000546762754
184,1456645944984981508
185,1275104671422709763
186,1456645522681303044
187,1456645510979207170
188,1456639855958630408
189,1456645245911715840
190,1456644979808370689
191,1456543261481443337
192,1456644240159625222
193,1455491190237941762
194,1456644029739769859
195,1456610333053710343
196,1456641895589978119
197,1456635465944031244
198,1456642294023610371
199,1456642344137150471
200,1456643327961583619
201,1456637970946134021
202,1456640006035017730
203,1456641033186459654
204,1456632862246064130
205,1456259091752362002
206,1456632762929139712
207,1456638418071457800
208,1456631332713472005
209,1456640946834231300
210,1456633954447003658
211,1456627366348955654
212,1456627986371907586
213,1456635113945579521
214,1456628041350881285
215,1456629546854363146
216,1456638631725178888
217,1456641262023491588
218,1456642614967558162
219,1456642771142447112
220,1440940536345595905
221,1456642536450269187
222,1298050385614077952
223,1442613003434737664
224,1456641638881587202
225,1456637009221541894
226,1456634188996624395
