,username,following,followers,totaltweets,retweetcount,retweeters
0,suniketroy,1932,7020,145851,9,"['nishant_SSR', 'Justice4SSR_', 'matrixpreety', 'sushdishaTer', 'SandySR64457040', 'RajeshK49676278', 'Pratixa43236067', 'ritapanthi22', 'hema92163376']"
1,itsNitikaSingh,314,4654,14860,258,"['vinay8tiwari', 'ShyamaV1', 'hema92163376', '975Muskaan', 'ronee797', 'ManishK91071785', 'aviral_jha6', 'Navami888', 'shashis70135078', 'GroverVishan', 'ImVipVipSingh', 'Sunny_Rajput87', 'Saavi4SSR', 'TheWand81518737', 'peacock613', 'Sudipta25154593', 'Madhvi16522425', 'LAWANASUR', 'VISHALJ17021983']"
2,itsNitikaSingh,314,4654,14860,174,"['vinay8tiwari', 'ronee797', 'ManishK91071785', 'shashis70135078', 'kumarinamita17', 'Dhanash48885320', 'munishs01985749', 'MMmass9', 'SolaceBiersack', 'Priya25712459', 'Patriot22157072', 'RomanReigns_123', 'fighter_ssr', 'RohitTh52901029', 'TRufescent', 'poojaAg08021806', 'DrNMNahar', 'KashmiriCreed']"
3,nandini051,3445,2069,33765,5,"['AdnanMa47574375', 'SandySR64457040', 'GauriSh00526155', 'ShyamaV1', 'politicperfect']"
4,sushdishaTer,1428,1187,57689,44,"['keesain99', 'warrior_of_SSR', 'itsiram_02', 'SatyaWarrior27', 'AdityaC20727886', 'TomBhaiSSRian', 'Saavi4SSR', 'Sushant76121260', 'nuthan_ch', 'SelfmusingSSR7', 'Lawangeenzwanan', 'PreciseNature', 'Bakshi4ever', 'DIPIKA76375797', 'Satya91539128', 'Khushi4justice', 'sumi53983155', 'Abhishe85710311', 'Anshu_AMU', 'SushABelieber']"
5,RajeshKumar_TT,431,86,1608,0,[]
6,Abhishe50965999,702,1107,148214,71,"['SatyaWarrior27', 'ch_nuthan', 'nishant_SSR', 'SaffiyahKhan2', 'nennie1456789', 'BELLA4SSR', 'Satya91539128', 'prantiksarkar9', 'Amrita_W_S', 'sushdishaTer', 'hema92163376', 'BhartiyaNaariii', 'avinoddd', 'its_sush_fan', 'its_ssrwarrior', 'nuthan_ch', 'Bakshi4ever', 'Sush_2020', 'shashis70135078', 'keesain99']"
7,Sushantify,3608,8423,67683,309,"['saloni202020', 'SwatiRa99010741', '12naturebeauty', 'TomBhaiSSRian', 'Intesar05661425', 'EnterManny', 'LenoAndro', 'nehasondhi', 'indian_data', 'peacock613', 'Kinjalll3', 'SelfMusing_Sush', 'mayavi66', 'RomanReigns_123', 'Dolly18879655', 'chandu532', 'anuinc2010', 'TRufescent', 'poojaAg08021806']"
8,UmarLatif01,241,39,19,0,[]
9,TomBhaiSSRian,1931,3005,178123,30,"['ShyamaV1', 'MysticalIndia_', 'SushantLeague', 'ritapanthi22', 'its_sush_fan', 'Rajeshs09315524', 'SumitaBasuRoy2', 'Pramilajoshi20', 'nuthan_ch', 'RajeshK49676278', 'nona95903460', 'VRahogati', 'PureLove4SSR', 'Sushant67444910', 'MadhuRay_06', 'Vandana05715030', 'Mg96725166', 'ShinyDam', 'its_ssrwarrior']"
10,SsrHerefor,840,1196,22203,29,"['warrior_of_SSR', 'ManishK91071785', 'HeliPandya8', 'sushdishaTer', 'truth_wl_win', 'Abhishe85710311', 'RomanReigns_123', 'DuttaPd85', 'DrNMNahar', 'simmy65406472', 'ItzAshmi', 'Tan_Trums', 'I_For_India_', 'manishavak', 'Anuja70285', 'MysticalIndia_', 'BELLA4SSR', 'monu_m85', 'itssSSR___', 'BhagyavatiPand1']"
