,or_id
0,1456731553799704576
1,1456463328260231172
2,1456464443810869258
3,1456726665002819586
4,1456659032274518027
5,1456732346984669186
6,1456656889022861315
7,1456477480122929161
8,1456732061671333892
9,1456533175358873600
10,1456659713299517442
11,1456731884210114560
12,1456725910338428933
13,1456730036552155138
14,1456608992541560837
15,1456646955732389895
16,1456652687257260032
17,1456727409311424513
18,1456731597189701635
19,1456647547158769675
20,1456485078557626373
21,1456730871742877696
22,1456501167458947080
23,1456635763878096897
24,1456719337948127232
25,1456532384040452096
26,1456489240674455558
27,1456518508666253316
28,1456719321254694912
29,1456576946880405504
30,1456564615102402566
31,1456581070493716489
32,1455753973219139585
33,1456639295817601026
34,1456729158134996995
35,1456212913228685323
36,1456698225600040964
37,1456727991417978890
38,1456711047910346753
39,1456708979132796933
40,1456563689000112128
41,1456600322302902273
42,1456677895967948800
43,1456611581496676354
44,1456493557271855108
45,1456566707783290880
46,1456203075849318402
47,1455898912431083520
48,1456705223884484608
49,1456519639584870409
50,1456616440404971525
51,1456213142497742855
52,1456485091266289667
53,1456223652719046658
54,1456724413685063680
55,1456306199662501893
56,1456585686803533828
57,1455897217009545224
58,1456619074591641605
59,1455160779443826689
60,1456723464224714760
61,1455172561386442759
62,1456723055808421889
63,1456247217526693900
64,1456633486043926532
65,1456319739022635009
66,1456721259950186498
67,1456616077425659911
68,1456695628809981953
69,1456647332888551435
70,1456536776600797189
71,1456719682023694337
72,1456549214293401602
73,1456610968612507648
74,1456718993998372865
75,1455900858470727682
76,1456179811689193480
77,1456440008588476419
78,1456223691348463619
79,1456617027716587529
80,1456219928554442754
81,1455961416683319300
82,1456717932776640518
83,1454103651635671048
84,1456465339638636554
85,1456147047732572164
86,1456212568167444482
87,1456677851185307651
88,1456642028851265544
89,1456700672619925507
90,1456697520021643264
91,1456700403408531458
92,1456714861048598528
93,1456714825401204738
94,1456488418825834498
95,1456693816090501120
96,1456701037683773443
97,1456613075138777094
98,1454455297985101836
99,1456162464450547715
100,1456711386180898816
101,1455668679765413888
102,1456711289644871680
103,1456708359499833345
104,1456652908770910211
105,1456631718056583175
106,1456710015293607938
107,1456608205476298754
108,1456688116559855624
109,1456708644968484867
110,1456589413916499971
111,1456707389529395202
112,1456702062771662850
113,1456176410704318465
114,1456432743726804999
115,1456480586357370883
116,1456706688010969091
117,1456586969459343363
118,1456705420026806272
119,1455371579714674690
120,1456703771195555841
121,1456704402874519558
122,1456702912273469442
123,1456670964608114693
124,1456654281629601793
125,1456657992837832704
126,1455780652935049221
127,1456607323728662533
128,1456703409671729153
129,1456703264703979521
130,1456581068077899786
131,1456541223728992268
132,1456602602225946627
133,1456702880648417282
134,1456601736571850756
135,1456599392262049797
136,1456583265645744132
137,1456702537638182913
138,1456702382189027336
139,1456701609451274245
140,1456701454803095555
141,1456656857175494659
142,1456555847144849425
143,1454395510924582914
144,1454045182622461962
145,1456699264818561026
146,1456697814398824455
147,1456697522081042436
148,1456144201775788038
149,1456696979472355331
150,1456547104273301509
151,1456696553696079878
152,1456696367322058754
153,1456696174480539648
