,username,following,followers,totaltweets,retweetcount,retweeters
0,SadaaShree,288,2560,10619,3,"['docasom', 'chirusainikudu', 'mayank_tweets_']"
1,AmyKazmin,1006,20524,8625,599,"['Aakritty', 'BadmashJimmy', 'Simran_r', 'iampiyushvc', 'GhaziUnver', 'AbdulmalikSyed', 'Chote_mia', 'DS09111034', 'vijiology', 'SpartanHominine', 'dinipc', 'KJSingh12518759', 's_banchariya', 'chaiwala_motii', 'KarunaOnline', 'AurangAzadehind', 'que_razz']"
2,DessieAussie,161,443,11868,8,"['nylalsingh', 'r_pury', 'DayNobi', 'AdityaG2905', 'DharamPatel_79', 'iOmisOhm', 'GaikwadAnkur', 'BaawaliBaba']"
3,sanjukta,2258,43348,114615,17,"['AdvocateIndian', 'Jabberwocky4U', 'vishal_klc', 'javidshaikh89', 'BakBak2122', 'alamdar1961', 'UnknownKhiladi', 'Cardamo77920366', 'samanwaya_et', 'hearthacker41', 'surdeepbaid', 'VishuAdv', 'KiranPadmanabha', '18AKGOYAL', 'VijayanandINC', 'vikrantaa']"
4,HumorVala,4,0,13,0,[]
5,sankrant,1023,81092,75891,841,"['TruthCantHid', 'TheKafirTimes', 'Uday09792780', 'SKHUTWALKER', 'AnushreeTewari', 'PradzWorLd', 'baanaadi', 'LikeWaterMySon', 'amitkr12jan', 'HN_Global_Press', 'marwaditweeter', 'KuttsRaj', 'maneishc', 'KartikayMann', 'Matribhakt', 'bidesh_desh', 'vartika_14', 'amithattiholi', 'alpeshtwitting']"
6,sankrant,1023,81092,75891,65,"['TruthCantHid', 'MihirUj', 'HarishDhanyatha', 'deepaksnarky', 'arunsh171', 'Raksta2', 'abhijeet_kum', 'Ganga645', 'indian_data', 'terabaaapkabap', 'vks2911', 'BanarasibyBirth', 'namansh23516421', 'Navadeep_', 'akashkrshaw15', 'aagneya_rahul', 'shivakumar_rm', 'rahultr11020847', 'Sunder75265090']"
7,smitabarooah,305,47857,36811,189,"['ArvindT78662935', 'govindagopala', 'Kanchan09355780', 'awasth_amit', 'Rahul_Menon19', 'Ani_Majumdar07', 'SharmaM12415807', 'Anandmo42909576', 'NdSolanki', 'nmraval', 'bvrprasad', 'RobinKasana', 'Mrinmoy55326573', 'GaganOBhardwaj', 'shravankapoor1', 'kushwah_prakhar', 'pardeepramdas', 'vivekm6']"
8,smitabarooah,305,47857,36811,853,"['ArvindT78662935', 'govindagopala', 'itsgrapevine', 'Kanchan09355780', 'RakeshS46803555', 'MundaPahadKa', 'V_jaggi', 'ArunPra01638451', '05Chandan', 'malathik1129', 'Gobarbhakt69', 'ecominindia', 'sranjithreddy', 'Rana33346046', 'kailaje', 'kaminirupani', 'Fittey_muh']"
9,ssaratht,1446,624,14018,13,"['Dumbheades5', 'PogShe', 'pradsp', 'uma_sidd', 'vigyanAgrawal3', 'KhareManojkumar', 'Vibha77375517', 'sanatan_raksha', 'BharatPrem4', 'Raaj_Devarapu', 'crdodia', 'mishraamit26', 'ThunderGlobe']"
10,woko_haraam,37,904,2430,195,"['DeepikaPal', 'madhurlenka', 'TeluguHindu', 'AdipurushKiJai', 'ShilokumarMehta', 'brajesharma12', 'IbrahimKePapa', 'malpanyrk', 'manupatil5332', 'Panjanya3', 'SatenderSharmma', 'AshutoshPB11', 'rajesh447', 'Hrishi83706699', 'desh1st', 'Ira_medic', 'SivaRam18773016', 'akpamit87', 'Sri23Eri']"
11,RatanSharda55,325,78107,159222,82,"['cbirupatel', 'deepaksnarky', 'NITINJOSHI80', 'Vishwan86646827', 'Rana33346046', 'harvi_aurora', 'DrHarish139', 'indicrevivalist', 'GitaS2020', 'RahulKa71306268', 'spasan03', 'Ganga645', 'Pinkschandavar1', 'tweet2ssm', 'indian_data', 'Rsm46055521', 'vks2911', 'hang85out', 'RathodKh', 'PadmaSima']"
12,TruthCantHid,150,106,30000,1,['TruthCantHid']
13,kutta_bakchod,2916,1075,6270,15,"['Sahil00872799', 'Blessingashish1', 'south365', 'Pinkschandavar1', 'RameshBedi8', 'terabaaapkabap', 'Rsm46055521', 'Indrani64784609', 'namansh23516421', 'akashkrshaw15', 'Sarcasm61820404', 'SiddheshWagal', 'BapRafale', 'yadavajay02']"
14,SayyedE,107,65,634,0,[]
15,Karth1keyan,40,102,495,198,"['pankajv43701165', 'IArpitTiwari', 'Pradeep12k4', 'subhArt13', 'KshatriyaMonk', 'sachinaiml', 'arjunpawangeet', 'Ganga645', 'dhruv_874', 'YogeshPrem', 'raju27224878', 'Samanth86780160', 'AYUSHVISHWANAT1', 'Nishant20412995', 'sumit_saurav8', 'iamRahuldev3650', 'Sarcasm61820404', 'ShabazA37360245', 'kanojiya1999', 'KaifKhanalig1']"
16,Defence_360,3187,14425,38687,41,"['Raj4BJP', 'srinivasbala', 'Ashishgaur1234', 'swap_kamdi', 'Rama04814975', 'spanwar91', 'Vishal_banna_', 'SatyaAsur', 'BishnoiPars', 'khanna248', 'SamRupesh1', 'pravinsinh6666', 'RakeshS46803555', 'GO_CORONA_GO_1', 'humminglion', 'csri_india', 'Vishwaj30375895', 'RakeshHindu1990', 'BadmintonGeko']"
17,mmchinmay555,24,17,496,69,"['vikaskumardtu', 'tweetingsourav', 'jim_bheem', 'iyernbk', 'vks2911', 'sonimesh4u', 'MohdRag20073843', 'sandeepchamoli1', 'sanjaykharwar', 'KSparsh0001', 'VidesiBandhu', 'amanpatel86', 'Arpannnn', 'kaminirupani', 'thakurshubhu4', 'AmbrishDasari', 'TusharMitra786', 'cosmicblinker']"
18,maheshwarisr,17931,19629,27795,18,"['chetanrajchauh1', 'maheshwarisr', 'vasanthi9k', 'vikas1689', 'Ganga645', 'anil_a55', '1303karan', 'GIRIWARKUMAR5', 'DreamingNeha', 'Sunder75265090', 'kaminirupani', 'sonijkn2', 'cpmeena95', 'B_Elango', 'vish_lakhotiya', 'SeeTheAirBot', 'Rambir95056934', 'SakuraBTSUwU']"
19,Iam1Nationalist,562,428,94695,102,"['Shivraj15088168', 'SaffronSena1', 'AAdityaBharga20', 'Iam1Nationalist', 'south365', 'SahilYa96228930', 'Pinkschandavar1', 'indian_data', 'OogawayMaster', 'MananAwasthi8', '28sharma6', 'Rsm46055521', 'FromHerotoGOK', 'Jay56252645', 'Indrani64784609', 'RakeshS46803555', 'MIfansKarnataka', 'Hola_Humanity']"
20,d_lina2021,257,61,40,0,[]
21,MariaMCasey,2803,3196,65299,0,[]
22,SharmaKhemchand,6777,45516,28346,159,"['NareshJ32385278', 'KamlaJain18', 'Sonusonu0123', 'Soni_kudi1', 'RamjanYG', 'bhagwa_neelu', 'sanatanYG', 'RealThakurArjun', 'brand_abhiTPN', 'Yogeshgujjar5', 'avantika76842', 'reall_gopal', 'AghoriBhakt', '7Palaskar', 'rosly_sims', 'Kamal79948528', 'Ajaybhai9060', 'Saurabhji90', 'Himansh19677187', 'Shyamji90']"
23,NewIndianXpress,538,470868,655274,41,"['lakshmimanoj95', 'JogarishettarV', 'shine_azu', 'Priyans53355204', 'Gobarbhakt69', 'vigneshashired1', 'mokarramskh', 'FaizanA35788604', 'AmytKSingh', 'BidishaDeori', 'KKK43887505', 'NishantParulek2', 'Bhajanlalthaku1', 'Blaze63874834', 'MMalbari', '2AN3D', 'shuchayy', 'somen_poddar', 'Hope_1194']"
24,nrm17_lake,171,9,60,0,[]
25,mishras17,1275,159,7163,0,[]
26,BarnCosmos,7,18,2055,0,[]
27,BarnCosmos,7,18,2055,0,[]
28,RuchirPurohit,393,267,3369,0,[]
29,BarnCosmos,7,18,2055,0,[]
30,BarnCosmos,7,18,2055,0,[]
31,VinayakPande,410,1245,31600,7,"['SheriGreenwell', 'iabbykhokhar', 'heyhanshul', 'MaliniPittet', 'kakulprasher', 'kevin24davy', 'davidbodapati']"
32,BarnCosmos,7,18,2055,0,[]
33,Sataniserrr,47,40,311,229,"['ashlok__adarsh', 'Jay56252645', 'mehtaa05', 'Himansh92312116', 'Samanth86780160', 'akashkrshaw15', 'Sarcasm61820404', '197826FinOz', 'VISHWPIRYA93', 'namansh23516421', 'Vivek17697341', 'Jayraj2727', 'Rahul_Menon19', 'VastriNayan', 'Harsh9Gupta', 'TusharMitra786', 'Devansh50835761', 'Raj77859883', 'HarshKushwaha9']"
34,BarnCosmos,7,18,2055,0,[]
35,BarnCosmos,7,18,2055,0,[]
36,priyalisur,1927,6632,4181,7,"['dsouzamignonne', 'dakshinat', 'sallomani', 'KamranA76704597', 'BabuLohar123', 'Aamirsouba', 'mumbaiactor_']"
