,or_id
0,1456494592119881737
1,1456474221928861699
2,1456726546018832384
3,1456525034046906372
4,1456754119125860355
5,1060246586498957314
6,1456527979895394311
7,1456279672208035843
8,1456278041735303175
9,1456682958576881667
10,1456470718850355200
11,1456484652621787141
12,1456743839272738816
13,1456521192752418842
14,1456736152665436169
15,1456314294451118098
16,1456549556649222152
17,1456328809850933263
18,1456499675188449282
19,1456446282759692290
20,1456709798985015298
21,1456705762990952450
22,1456510750319538177
23,1456460008388845577
24,1456701256487997441
25,1456700100021944330
26,1456696186866319361
27,1456696057342021635
28,1456696041982423043
29,1456695806690410497
30,1456695337939189761
31,1456258877238829057
32,1456694068793147395
33,1456308581284782097
34,1456693813330677763
35,1456693554491772930
36,1456506029173182465
37,1454331975561449475
38,1456690295668559880
39,1456451072403324932
40,1456320777578442755
41,1456688347297030157
42,1328380780163211265
43,1456687371479445505
44,1456438339230334976
45,1456686016975319042
46,1456445423359430666
47,1456684721056870400
48,1456679535206756352
49,1456682111876820993
50,1456294060549836802
51,1456534182121795588
52,1456481036926283780
53,917563287641899009
54,1456677292512399365
55,1456480477225701376
56,1456510017511645188
57,1456327424728240134
58,1456674833203269633
59,1456674664374145027
60,1456673684521775111
61,1456673553441443843
62,1454685753032642560
63,1456672001691582474
64,1456477054170324998
65,1456671147810951173
66,1456669479354580996
67,1455356012496441349
68,1456668996309192708
69,1456668926926938118
70,1456647770215833603
71,1456598955903504385
72,1456470863969067012
73,1456589376113168392
74,1455970851153584130
75,1456663797951729666
76,1456663609753309187
77,1455961874911019014
78,1456435872195244036
79,1456334329324310544
80,1456662036843089924
81,1456659613042970624
82,1455932214156345357
83,1456659546097680389
84,1456657724968636417
85,1456657663186460673
86,1456648119974694918
87,1456655626881286147
88,1456496193958154243
89,1456486674452533252
90,1456500158489710594
91,1456651900091187205
92,1456650386987577352
93,1456648023124152327
94,1456479296818606080
95,1455196865725566982
96,1456648513308135427
97,1456647398155972608
98,1456646111641227267
99,1456645150411673600
100,1456515947154403328
101,1456467438162169858
102,1456644267934248963
103,1456644219435511812
104,1455745988644073474
105,1456533901384450048
106,1456642275941896193
107,1456642108551434253
108,1456642106227761153
109,1456640675240239107
110,1456640565563441152
111,1456639483361652739
112,1456639329766236165
113,1456511887483473957
114,1456599400105619462
115,1456314203501842432
116,1456637094994976780
117,1456635443198316549
118,1456380721556176922
119,1456635280337694725
120,1456469655615275010
121,1456338749990715394
122,1456631964858044425
123,1456631412065390600
124,1456624661777854464
125,1456329751337963521
126,1456630258392731653
127,1456626072322150401
128,1456629317736173569
129,1456628588996878337
130,1456628354866503683
131,1456627073557020675
132,1456626316707385354
133,1455930026151628803
134,1456455336563392527
135,1456516142248300544
136,1456621709054853120
137,1456621459829186570
138,1456620074928726029
139,1456620060856832002
140,1456619995153141760
141,1456499678959177728
142,1456618184237207552
143,1456617974408744964
144,1456615583483510787
145,1456613957318299655
146,1456611020730880002
147,1456610537098252288
148,1456609768701763724
149,1456608031790141445
150,1456509780034424836
151,1456607113094991876
152,1456553391308435457
153,1456457072057335814
154,1456604760878895111
155,1456604507840782340
156,1456604221533417472
157,1456569934348046341
158,1456599443612917760
159,1454425439124942849
160,1456585746576445449
161,1456396766236930057
162,1456461292739305477
163,1456602077627437057
164,1456601842700337153
165,1454264878353432579
166,1456317113618997274
167,1454377053193576451
168,1456520534749896705
169,1456600266187239435
170,1456598914946064388
171,1456599352562970624
172,1454364282494218243
173,1456598575865942018
174,1456574924567433222
175,1456598164429893636
176,1456459109583056896
177,1455075698859675648
178,1456587248728637442
179,1456470477543673856
180,1328684973113581568
181,1454337452663996417
182,1456496972131565568
183,1456594472863604741
184,1456594667781312517
185,1456557042936651783
186,1456594049750601734
187,1456594034663702533
188,1456576439042588683
189,1456592430086586374
190,1456590201300545546
191,1456589665977257988
192,1456589465955311616
193,1456588496265568267
194,1456588182238072842
195,1456588080815611908
196,1456587545756635142
197,1456586752219496450
198,1454333752943939587
199,1456528295109955584
200,1456585907339816964
201,1456585742201856008
202,1456546210412519425
203,1454272159476449280
204,1456435409232310289
205,1456582635313143808
206,1456525520590434311
207,1456569056740265984
208,1456583491236286470
209,1456575847696113666
210,1456225271825133576
211,1455827265833611264
212,1456582974531678208
213,1455121642921725954
214,1456582664886972418
215,1454381668643475461
216,1456582619957809153
217,1456306478432722979
218,1456497303791935490
219,1456316203945762831
220,1454046743356575748
221,1454316592053977091
222,1456307473271328771
223,1456580766599577601
224,1456561904663498756
225,1456579967186345990
226,1456580591831289859
227,1456580532276367364
228,1456552881599909893
229,1456580465461133317
230,1456532725398065157
231,1456530320207990801
232,1456571838222458882
233,1456532254650351620
234,1456579566399639563
235,1456579550725480449
236,1456465446958292995
237,1456331751467347968
238,1456534540604694532
239,1456500172289024003
240,1456577115147669506
241,1456512648586022916
242,1456468179169939459
243,1454009317615493121
244,1456574815238692865
245,1456459007699210244
246,1454772469223489540
247,1454516381802647552
248,1456126932790042627
249,1454355036872462336
250,1456573777068773382
251,1454356663163502594
252,1456573542607298561
253,1454358723137191937
254,1456571889271418882
