,or_id
0,1456092871669387265
1,1456225859375808512
2,1456250091283443716
3,1456286603652083715
4,1456268489564426246
5,1456279810913669128
6,1456171565398192132
7,1456270495360294926
8,1456273031102287889
9,1456279810913669128
10,1456291133114314754
11,1456273768389636099
12,1456241936797339658
13,1456269455772708882
14,1456153642612903939
15,1456290588446298118
16,1456244844179820552
17,1456056108297109509
18,1456116055944744961
19,1456274002930896916
20,1456278717257289735
21,1456291121072521227
22,1456153642612903939
23,1456290151076974594
24,1456183198342213633
25,1456198428048990209
26,1456290399253893129
27,1456291118581174282
28,1456268489564426246
29,1456289086373646340
30,1456199592924618758
31,1456279810913669128
32,1456185307376889861
33,1456291073458769923
34,1456290195683229703
35,1456273375471419399
36,1456272032853737486
37,1456249870189150212
38,1456209787872555015
39,1456223489875009549
40,1456182619041898501
41,1456237294352887823
42,1456139338807349250
43,1456153554398310405
44,1456290960996900872
45,1456268524205142024
46,1456269109100900356
47,1456188652581646340
48,1456291073458769923
49,1456279810913669128
50,1456269455772708882
51,1456291101728514050
52,1456291101107572739
53,1456291099362856970
54,1456230892452696068
55,1456273768389636099
56,1456291098247106564
57,1456279810913669128
58,1456124045255069703
59,1456279810913669128
60,1456272568390799365
61,1456246595402354697
62,1456289086373646340
63,1456291089074331651
64,1455895112379027463
65,1456250602489454593
66,1456284302388301827
67,1456290526513168389
68,1456279810913669128
69,1456237751213314049
70,1456273768389636099
71,1456272127707926542
72,1456249870189150212
73,1456279810913669128
74,1456230632976261124
75,1456215200076468225
76,1456277588674940952
77,1456250881742098436
78,1456269455772708882
79,1456153642612903939
80,1456279810913669128
81,1456264495509114889
82,1456254164128862220
83,1456152208240627714
84,1456290151076974594
85,1456284159085715459
86,1456272032853737486
87,1456279810913669128
88,1456205581350359042
89,1456289846125740034
90,1456151246063083522
91,1456286780462862340
92,1456273768389636099
93,1456269455772708882
94,1456291073458769923
95,1456261781131698183
96,1456159109481259016
97,1456289620396855309
98,1456164199227293698
99,1456284154815864832
100,1456232070326341633
101,1456273768389636099
102,1456289923191881728
103,1456272032853737486
104,1456273768389636099
105,1455836341808238597
106,1456287833296093188
107,1456134613366022154
108,1456290141740232705
109,1456291055326965764
110,1456209313257586700
111,1456290151076974594
112,1456279810913669128
113,1456151607175876611
114,1456279264517509124
115,1456273768389636099
116,1456283521803292684
117,1456273768389636099
118,1456162922707623938
119,1456287781647388679
120,1456279810913669128
121,1456241936797339658
122,1456279810913669128
123,1456262034211758095
124,1456150930395525120
125,1456256576809947145
126,1456279810913669128
127,1456291038855892997
128,1456272032853737486
129,1456273768389636099
130,1456291030874140690
131,1456176271382171653
132,1456273768389636099
133,1456210072204234759
134,1456290203753086982
135,1456277386513694724
136,1456291028848177154
137,1456280748718116875
138,1456289899775086593
139,1456137409083559939
140,1456268489564426246
141,1456273768389636099
142,1456286290698141696
143,1456269455772708882
144,1456273768389636099
145,1456273768389636099
146,1456284701937717254
147,1456191017800146945
148,1456281042407460882
149,1456072957298544644
150,1456276226511753222
151,1456268521898266641
152,1456129337636257792
153,1456245765945249795
154,1456111061602504711
155,1456135863994179584
156,1456289150223613957
157,1456286113061085192
158,1456283417180471300
159,1456275725439287303
160,1456291014092668931
161,1455964157816225796
162,1456275168901300229
163,1456253863845974016
164,1456291011697778690
165,1456107835054428170
166,1456127331454488580
167,1456291010674315265
168,1456182428150771720
169,1456278717257289735
170,1456290141740232705
171,1456291005188222982
172,1456205581350359042
173,1455970823341318153
174,1456132853456982020
175,1456279810913669128
176,1456279865636769800
177,1456279810913669128
178,1456287729503797248
179,1456273768389636099
180,1456214816784322565
181,1456237290959769603
182,1456289086373646340
183,1456286965523881985
184,1456153642612903939
185,1456289549194309639
186,1456100877329043461
187,1456273635786694665
188,1456282763984732165
