,username,following,followers,totaltweets,retweetcount,retweeters
0,GlobalLGBTNews,1797,854,14713,0,[]
1,itzluckybitch,737,799,8534,1,['ddlvotw']
2,helloleoseyij,482,343,894,0,[]
3,PFLAG,5441,87757,17038,7,"['Whatthemamasaw', 'TashaHeadrick', 'S4Equality', 'Astraea_Styx', 'holybullies', 'KristiJDMasfuck']"
4,jfinn6511,18999,17361,55331,40,"['tlily1024', 'jfinn6511', 'Judith72325714', 'WMCED', 'sinfullyfestyle', 'feistyoldlady', 'StitchWitch14', 'cheetah1961', 'JayHart909', 'PartyCd', 'RiskAlert', 'jmrbux2', 'JeanBland', 'cheetah1961', 'sar_oso', 'dancindoti', 'Foxmental_X', 'tahiti93', 'SideeyeSlant', 'smartandfit1910']"
5,PFLAG,5441,87757,17038,7,"['Whatthemamasaw', 'TashaHeadrick', 'S4Equality', 'Astraea_Styx', 'holybullies', 'KristiJDMasfuck']"
6,SmashlynMonroe,990,837,2313,0,[]
7,ChrisJepson,3555,7014,10498,3,"['Juvelad', 'Matthew_Hodson', 'kathycaton']"
8,JamesMartinSJ,446,303298,49373,26,"['pnoguesv', 'sourcreamgay', 'ValAlmon', 'GibsonWrites', 'buckly8992003', 'JrichardsonJoe', 'teachmethetruth', 'anmalaki', 'JunqueiraLiv', 'LAThinkz', 'debr3322', 'Hoosier47906', 'Overstweet', 'Godsaveusall5', 'fstarszy', 'theresamacc', 'mhustonwa', 'astaines', 'sohulme']"
9,lgbtqnation,1701,192623,69894,3,"['3woyce', 'kenn264', 'ColterMcCoy4']"
10,jfinn6511,18999,17361,55331,16,"['DjJetCityWoman', 'jfinn6511', 'peter_gillet', 'MadameEarlGrey', 'Gloucestergal2', 'MSilvercloud', 'shakeycrackers', 'bengin1003', 'bedini_i', 'LawnDivine582', 'CrawfishGay2Fay', 'male_taurean', 'CantoXIII', 'JimmyLeeMobley', 'holybullies', 'SixPersistsBlue']"
11,eqca,2079,34752,26940,0,[]
12,mudflapman,47,32,455,0,[]
13,MissAmerica1201,4686,3907,5846,2,"['bioko', 'MHolidayBooks']"
