,or_id
0,1456005608943980544
1,1456005600039608325
2,1456005596495351814
3,1455997459889487872
4,1451994313110478852
5,1455997459889487872
6,1456005361484324878
7,1455976906776629249
8,1455988338498973698
9,1456004316544729088
10,1455614391781675015
11,1456004872575209472
12,1456004858071244801
13,1455961442864173058
14,1454154121179766791
15,1456003253921931264
16,1451248399018246151
17,1447653162500960261
18,1452253288703963149
19,1451994313110478852
20,1440403250461609989
21,1455204086295547914
22,1456003249140502530
23,1456004316544729088
24,1456004319405346820
25,1456004316544729088
26,1455992482458701829
27,1455630647746301961
28,1455842465903226902
29,1456003969373900806
30,1453847936375279616
31,1456003705040482310
32,1456003249140502530
33,1456003688741359625
34,1456003597209153544
35,1456003521069862921
36,1456003261698166787
37,1456003420083474435
38,1456003419773284359
39,1456003316442337303
40,1456002306164539397
41,1456003292555849752
42,1456003273543110661
43,1456002306164539397
44,1456003261698166787
45,1456003255968874497
46,1456003253921931264
47,1456003249140502530
48,1456002843727392769
49,1455992482458701829
50,1456002632233848833
51,1455988338498973698
52,1455944515978764295
53,1455997459889487872
54,1456002306164539397
55,1400240610749992960
56,1456002068263620610
57,1456001969781313536
58,1455674684440260614
59,1456001424240742402
60,1455946608198172679
61,1456001258200911876
62,1456001230346625028
63,1456001101610700808
64,1455584181724094479
65,1456001067796271111
66,1456000731396259840
67,1455914526604410886
68,1456000701847547906
69,1455209322615611392
70,1455997459889487872
71,1455911854790742019
72,1456000163760201730
73,1456000126980444161
74,1455950300636930056
75,1455916181022515200
76,1455958491768700932
77,1455988338498973698
78,1455999496152834048
79,1455999277834985475
80,1455999226819788809
81,1455911854790742019
82,1455785174789070854
83,1455958491768700932
84,1455958491768700932
85,1455995256156033028
86,1455958491768700932
87,1455999053804838920
88,1455958491768700932
89,1455998958434611205
90,1455998938302066693
91,1450069013023891459
92,1455972092374044672
93,1455973056581541890
94,1455998458725212164
95,1455631371985043458
96,1454604634610356232
97,1455998221289988096
98,1455997459889487872
99,1455997459889487872
100,1455997915672072202
101,1455997870482542593
102,1455988338498973698
103,1455988338498973698
104,1455997459889487872
105,1455517417627602945
106,1455930587223580674
107,1455996084354830336
108,1455364546596573189
109,1455988338498973698
110,1455965362202288142
111,1455988338498973698
112,1455985970168438785
113,1455996084354830336
114,1455995860907544578
115,1455995850077913089
116,1455995718972416002
117,1455995701909987340
118,1455995256156033028
119,1455995256156033028
120,1455995256156033028
121,1455995256156033028
122,1455995256156033028
123,1455995129102315526
124,1455859471234764802
125,1455994945710473216
126,1455994924046901249
127,1455988338498973698
128,1455974314432294912
129,1455985402049826819
130,1455994632160964609
131,1455908366593757185
132,1455994545435385864
133,1455994451416035329
134,1455956911069831171
135,1455994131289985032
136,1455993722106269696
137,1455988338498973698
138,1455993539343659010
139,1455993389816688650
140,1455992482458701829
141,1455973056581541890
142,1455992881513107467
143,1455992827050070026
144,1455189900148424717
145,1455979002506645512
146,1455992482458701829
147,1455992484916572168
148,1455992482458701829
149,1455896493303402503
150,1455992357753692163
151,1455988338498973698
152,1455992277596360717
153,1455973056581541890
154,1455977474265739265
155,1455991942022582277
156,1455991821977407499
157,1455989416640483329
158,1455977474265739265
159,1455988338498973698
160,1455991171059261443
161,1455974314432294912
162,1455958478422515714
163,1455943099243450369
164,1455973056581541890
165,1455988338498973698
166,1455908248721231874
167,1455990748759871495
168,1455918872960421893
169,1455973134310465540
170,1455988338498973698
171,1455990307091267599
172,1455988338498973698
173,1455988338498973698
174,1455989960490708993
175,1455981849000382464
176,1455941412537708550
177,1455989960490708993
178,1455958967449006081
179,1455896493303402503
180,1455989416640483329
181,1455925495560802310
182,1455989416640483329
183,1455988338498973698
184,1455989416640483329
185,1455989410537918467
186,1455988338498973698
187,1455989344968351753
188,1455632986800488449
189,1455988338498973698
190,1455988338498973698
191,1455988338498973698
192,1455988793744379904
193,1455988338498973698
194,1455988338498973698
195,1455988793744379904
196,1455895603456757766
197,1455988338498973698
198,1455987236470550528
199,1455988338498973698
200,1455985368516411399
201,1455988335374123010
202,1455988310808141827
203,1455988172299591681
204,1066338961734266880
205,1455988000995823619
206,1455958733830324227
207,1455987834289074185
208,1455987635697115140
209,1278058346659053570
210,1455987236470550528
211,1455976320714878979
212,1455950183498461192
213,1455986657820295174
214,1455911854790742019
215,1455985682544009219
216,1455986226624933895
217,1455986153295908869
218,1455986142038405121
219,1455984376798449665
220,1455985970168438785
221,1455985970168438785
222,1455985682544009219
223,1455985682544009219
224,1455985589237518343
225,1455985579557019651
226,1455985402049826819
227,1455985368516411399
228,1455985256281030657
229,1455985227461840897
230,1455868365373943808
231,1455985014387056642
232,1455911854790742019
233,1455984449754177542
234,1455984396117450759
235,1455984389473685505
236,1455984376798449665
237,1455984144358551568
238,1455984048392658945
239,1455984046396350468
240,1455983891517526019
241,1455983768938991625
242,1455907587367526406
243,1455014474642038786
244,1455911854790742019
245,1455916181022515200
246,1455983124156932106
247,1448700406922551322
248,1453098378490007559
249,1455980744287965193
250,1455950300636930056
251,1455930276547215360
252,1455982603849420808
253,1455961342855327750
254,1455982179603918859
255,1455981866339680258
256,1455981863642845189
257,1455981849000382464
258,1455981848547504134
259,1455981818537205773
260,1455793909234388992
261,1455969278235131905
262,1455981369239220224
263,1455981309361274880
264,1455981117639729155
265,1455980744287965193
266,1455981084240490504
267,1455960551855693825
268,1455840502834769991
269,1455980775392825347
270,1455980744287965193
271,1455911854790742019
272,1455980621235372036
273,1455980611177488386
274,1455902046595473410
275,1455922479034159105
276,1455922479034159105
277,1455922479034159105
278,1455976906776629249
279,1455961342855327750
280,1455961342855327750
281,1455979574618050568
282,1455979515298127876
283,1455675215262986242
284,1455979115723456513
285,1455979115723456513
286,1455979053526261765
287,1455979002506645512
288,1455978606769868801
289,1306421486484324352
290,1455978208919228423
291,1277674107333677057
292,1455978082259537921
293,1455977928806879241
294,1455977713823588355
295,1455977691568500736
296,1450876414018953224
297,1455977474265739265
298,1455977382792282130
299,1455977325984731144
300,1455977166575972360
301,1455976906776629249
302,1455977075664310276
303,1455930587223580674
304,1455976906776629249
305,1455976842393882626
306,1455976841660018695
307,1455976833481052173
308,1455517917907456011
309,1455937362152853508
310,1454358037188206594
311,1455976320714878979
312,1455976152586129409
313,1455900498456940556
314,1455975990501552132
315,1455975445153861637
316,1455975395086376960
317,1455975213221482498
318,1455974314432294912
319,1455974722118864898
320,1455907587367526406
321,1455957951655542786
322,1455974314432294912
323,1455974314432294912
324,1446922026275454977
325,1455939385174761475
326,1455973929302908935
327,1455868365373943808
328,1455973750709555203
329,1455973580404047873
330,1455911854790742019
331,1455645091989622786
332,1455973160227008512
333,1455973134310465540
334,1455973067780407310
335,1455973056581541890
336,1455973053473591297
337,1455972820610125827
338,1455961342855327750
339,1455961342855327750
340,1455189900148424717
341,1455916181022515200
342,1455972092374044672
343,1455972091426050052
344,1455941412537708550
345,1455946608198172679
346,1455971898618228751
347,1455868365373943808
348,1455187282537984009
349,1455971595554545672
350,1455840703808933890
351,1455971384237174788
352,1455946608198172679
353,1455971060801802243
354,1455970900961112072
355,1455901034446921729
356,1401201459320954880
357,1455970549583257602
358,1455911854790742019
359,1455965362202288142
360,1454120019365924877
361,1455969294039277577
362,1455969278235131905
363,1455946608198172679
364,1455939614682849282
365,1455968930313302017
366,1455614391781675015
367,1455968598338379776
368,1455263590055923713
369,1455868365373943808
370,1455900498456940556
371,1455968250697695241
372,1455958845944176647
373,1455965362202288142
374,1455967860270977029
375,1455967749868556290
376,1450069013023891459
377,1455961442864173058
378,1455964098127089672
379,1455967535313063952
380,1455967446402224129
381,1455967299844837377
382,1455959720645181441
383,1398305707192168452
384,1455911854790742019
385,1444531155567579137
386,1444531171099021316
387,1455957958332878851
388,1444531186848747526
389,1444531203177058306
390,1454132819236515846
391,1455900498456940556
392,1455966664487473152
393,1455966640269668353
394,1455957958332878851
395,1455911854790742019
396,1455957958332878851
397,1455966158251823113
398,1455941412537708550
399,1455939385174761475
400,1455965858870796291
401,1455965821423943680
402,1455868365373943808
403,1455965729564418049
404,1455965522965762056
405,1455965516888219654
406,1455965411757936645
407,1455965362202288142
408,1455965111806529544
409,1455911854790742019
410,1455941412537708550
411,1455950300636930056
412,1455950300636930056
413,1455953126264131584
414,1455963396113829900
415,1455964098127089672
416,1455963396113829900
417,1455601123549605890
418,1455963868107354123
419,1455963506428235778
420,1455911854790742019
421,1455963396113829900
422,1455963371245694977
423,1306421486484324352
424,1455963245307703300
425,1432476979324915714
426,1454120019365924877
427,1455911854790742019
428,1455961939809423362
429,1455963006517399552
430,1455937362152853508
431,1455946608198172679
432,1455916181022515200
433,1446194120251297803
434,1455961939809423362
435,1455960717992079363
436,1455961796037148672
437,1455961796037148672
438,1455961342855327750
439,1455961342855327750
440,1455961746024325121
441,1455961735920328704
442,1453563023851986944
443,1455961640642482181
444,1455961492180938760
445,1455911854790742019
446,1455961442864173058
447,1455961248781135875
448,1455961342855327750
449,1455961248781135875
450,1455961221316943881
451,1455960970749120517
452,1455960732508442626
453,1455960732508442626
454,1455960717992079363
455,1455960551855693825
456,1455916181022515200
457,1454154121179766791
458,1455960234430767107
459,1455960010685550595
460,1455959890002862082
461,1455959720645181441
462,1455959692581113857
463,1455959692581113857
464,1455898819787313154
465,1455957468333449217
466,1455870291314450436
467,1455946119716884480
468,1455959067420147722
469,1455958733830324227
470,1455958991507501056
471,1455958967449006081
472,1455958954631065602
473,1455958845944176647
474,1455958733830324227
475,1455958652242759683
476,1455916181022515200
477,1455958491768700932
478,1455958478422515714
479,1455176820614057988
480,1455958368351293444
481,1455958158640402438
482,1455958089170042882
483,1455958084883468291
484,1455916181022515200
485,1455957468333449217
486,1455957972853698565
487,1455957972581036038
488,1455957958332878851
489,1455957951953313795
490,1455957951655542786
491,1455911854790742019
492,1455831384451424259
493,1439655373334630410
494,1455957468333449217
495,1454154121179766791
496,1455957324984721410
497,1455939385174761475
498,1455956911069831171
499,1455535208531431440
500,1455614391781675015
501,1455900498456940556
502,1455956543090958342
503,1455956540456853512
504,1455939385174761475
505,1455956178614226958
506,1455907606015381507
507,1455768264672530432
508,1455911854790742019
509,1455955953489268740
510,1455911854790742019
511,1455955650417135621
512,1455955650417135621
513,1455914864543772675
514,1453984985027731457
515,1455955194160820232
516,1455914864543772675
517,1455911854790742019
518,1455870291314450436
519,1455954195786387463
520,1455603500071620616
521,1455943906751926280
522,1455953790004170753
523,1455953571023835142
524,1455953571023835142
525,1455911854790742019
526,1455914864543772675
527,1455953444481679363
528,1455725237232750602
529,1455953155024379910
530,1455953126264131584
531,1455953031464464389
532,1455920284100440064
533,1455952987243778057
534,1455952916850757634
535,1455949913351593985
536,1455952739767291905
537,1455952701771206661
538,1455911854790742019
539,1455952292465762305
540,1455942574951354377
541,1455951935660601346
542,1450513873136668672
543,1455951705875615746
544,1455850651603423236
545,1455950300636930056
546,1455867363790835712
547,1455938347994546176
