,username,following,followers,totaltweets,retweetcount,retweeters
0,Karlyle_Tomms,7530,9389,428986,0,[]
1,sameepshastri,784,18192,105105,0,[]
2,BTS_BP_SFan,133,58,81592,0,[]
3,bee_papaya,86,150,10962,38,"['julietrosejames', 'MrsAngelMiller', 'anacgs6', 'Rose44537545', 'Gellert08956892', 'lara1574', 'Beeee51', 'Dedeehsz', 'aleeenicolini', 'Sarah05031966', 'donutlife98', 'u3065611', 'aviaum', 'TheBluntDagger', 'ByeSuccubus', 'CherylD59995761', 'LuizaSo68849728', 'PennywiseJulia']"
4,IvanCNN,380,96266,22619,6,"['RazvenHK', 'loveiseasyas123', 'jadynbsham', 'klustout', 'Kirk4Defiance']"
5,Khushi4justice,1818,7271,399385,28,"['nuthan_ch', 'PurnimaSengup11', '_ADITICHOURASIA', 'nisha_ukris', 'its_your_komal', 'SsriansUnited', 'Anjali_ssrian', 'Ssrdishajustice', 'its_Rishika_', 'Sush_Lov', 'Keerthi85728099', 'ChintuJainHS', 'LuvUSushant', 'FLIPKART_420', 'Cautious_Nature', 'SmyCraze', 'DIPIKA76375797', 'arpitaP18', 'SatyaSSRian1', 'SSRinmyheart']"
6,EmilyZFeng,1836,36816,4862,1203,"['rainplsdntgo', 'cathalemyr', 'David65102926', 'carnatang98', 'Smzerw', 'ChuQiao18', 'pearlescent48', 'XueEven', 'karna232332', 'casual_streamer', 'DCfanforever101', 'JasonSamfield', 'EUREKAaum', 'thenoir_97', 'chinaonthehill', 'Chloe_Qin3104']"
7,newsorb360,99,113,37844,0,[]
8,gottogetoutof,6227,11112,214715,21,"['BrianRule2', 'gottogetoutof', 'troyrjackson', 'Gatehouse_The', 'jachlinwilliams', 'CorOfTheSUN', 'DiCoach', 'Maahokgit', 'Cultiv8Hope', 'AFR365', 'JohnWillsuk', 'GaoledDaisy', 'livingwithabuse', 'rainiemainie', 'dlhampton', 'HarassNoMore', 'BarcelMar', 'dinah_indorato']"
9,RachelintheOC,23791,108030,247814,2,"['mischa_eliot', 'GrahamDowns']"
10,KaceyKells,12272,19473,473909,13681,"['annamagique', 'carlos_wilde', 'Anthony_OBrien_', 'tiffeejasso', 'MICHELL64959353', 'hotreads1', 'TommyNever1', 'TudorTweep', 'Joanna942', 'Car01am', 'lanalynneauthor', 'AnneBougret', 'AuthorJRose', 'peburns', 'ninsthewriter', 'vicky_whedbee', 'ElenaRu76305433', 'richard_cezar', 'masonmalonecom', 'AuthorEllie']"
11,SARSAS_uk,1066,3042,6296,0,[]
12,CNN,1101,55135636,356453,82,"['BeanChips11', 'Guiguy99850373', 'mu790970usman', 'fedeerr', 'TToliver80', 'BrunoRegno', 'Jianxch', 'JustinS1990', 'D6DablNlampu7lA', 'mavus15', 'paulasimensato', 'mushchan0913', 'victoriaozelle', 'PhilipB35122599', 'bauer_holmes', 'RitaRicou']"
13,Khushi4justice,1818,7271,399385,28,"['nuthan_ch', 'PurnimaSengup11', '_ADITICHOURASIA', 'nisha_ukris', 'its_your_komal', 'SsriansUnited', 'Anjali_ssrian', 'Ssrdishajustice', 'its_Rishika_', 'Sush_Lov', 'Keerthi85728099', 'ChintuJainHS', 'LuvUSushant', 'FLIPKART_420', 'Cautious_Nature', 'SmyCraze', 'DIPIKA76375797', 'arpitaP18', 'SatyaSSRian1', 'SSRinmyheart']"
14,Nina25A,24,7,20761,0,[]
15,Knewz_Currently,87,1444,2443583,0,[]
16,BTS_BP_SFan,133,58,81592,0,[]
17,allysdad,1715,516,57785,0,[]
18,cnni,367,12838720,263688,21,"['thinkermachine', 'filipin80673772', 'luvnotes69', 'pigeonjk', 'anamariagoldani', 'srubenfeld', 'LOL_Subu', 'brianlj', 'RuthLaCavaEvans', 'elisekim94', 'ihmcleancare', 'mspjmason', 'xLq1ia9zZl4RU9F', 'MLNY', 'afewhapiness', 'konstantinaBel3', 'soumitraroy', 'IvandariasA', 'CuriousCat212']"
19,IvanCNN,380,96266,22619,6,"['RazvenHK', 'loveiseasyas123', 'jadynbsham', 'klustout', 'Kirk4Defiance']"
20,HRjobca,2,198,9830,0,[]
21,loopnewscarib,14,592,9659,0,[]
22,RakheeDubey4,328,372,125155,2,"['ARPITIMSR', 'RD54799715']"
23,hannes_ullrich,410,869,4675,2,"['reinholdkesler', 'digitaleconorg']"
24,DeccanHerald,148,79872,308140,0,[]
25,gottogetoutof,6227,11112,214715,21,"['BrianRule2', 'gottogetoutof', 'troyrjackson', 'Gatehouse_The', 'jachlinwilliams', 'CorOfTheSUN', 'DiCoach', 'Maahokgit', 'Cultiv8Hope', 'AFR365', 'JohnWillsuk', 'GaoledDaisy', 'livingwithabuse', 'rainiemainie', 'dlhampton', 'HarassNoMore', 'BarcelMar', 'dinah_indorato']"
26,PolishNews1,99,166,42933,0,[]
