,or_id
0,1456221766590861322
1,1456221707761434626
2,1456221658935607299
3,1455937181260861443
4,1456063890396119042
5,1456106452997664769
6,1455558117190615053
7,1456220656870301702
8,1453810697696055304
9,1456185722562564096
10,1232689270961340416
11,1456219818739257353
12,1456194543146180613
13,1456106452997664769
14,1456219432544464901
15,1456219333051367431
16,1456219224095997962
17,1456219142013558787
18,1456199586297622531
19,1456063890396119042
20,1456218947510886402
21,1456218942440083457
22,1456133665621045251
23,1456215946612326400
24,1456218641771474947
25,1453810697696055304
26,1456218008653811717
27,1455851948146581513
28,1456217495942037508
29,1456217460827373572
30,1456217433262342154
31,1456217433149087744
32,1456217433081974789
33,1456217432364699651
34,1456216244470886401
35,1456216922152865797
36,1456216906004844547
37,1456216727528771589
38,1456216549635809282
39,1456194543146180613
40,1456194543146180613
41,1456216244470886401
42,1456199586297622531
43,1456215946612326400
44,1456215960424222721
45,1456215946612326400
46,1456215929717657603
47,1456194543146180613
48,1456215817348128771
49,1456215726566617091
50,1429423248001880068
51,1456194543146180613
52,1455851948146581513
53,1455851948146581513
54,1456215142316875778
55,1456215117557731329
56,1456213131059888131
57,1052897433401737217
58,1052833977403199489
59,1455806988596699139
60,1456214372620115971
61,1455937181260861443
62,1279823325624238082
63,1456214139576197124
64,1279823325624238082
65,1456213902291832834
66,1455851948146581513
67,1456213131059888131
68,1456199586297622531
69,1456213384492318723
70,1053256173082820608
71,1182728553202364416
72,1456213131059888131
73,1456213105810227205
74,1455851948146581513
75,1456194543146180613
76,1456194543146180613
77,1456111302485712897
78,1456199586297622531
79,1455937181260861443
80,1232689270961340416
81,1086286601808949248
82,1085559006901559301
83,1456199586297622531
84,1456106452997664769
85,1456209949072187392
86,1456194543146180613
87,1455806988596699139
88,1456209247897849856
89,1053322267420065792
90,1456208762507776000
91,1456194543146180613
92,1456208363352637440
93,1456194543146180613
94,1456208098167861257
95,1274499879281229830
96,1456207959512473603
97,1456207897956806661
98,1456207732009168899
99,1456207731669360642
100,1455922018201780227
101,1456028931778387976
102,1456199586297622531
103,1456207400919240704
104,1455997241890525185
105,1456106452997664769
106,1456207122794831878
107,1456207092151308296
108,1455314219054870530
109,1455861242749505540
110,1456206647286714372
111,1456206638466183170
112,1456106452997664769
113,1455558117190615053
114,1456194543146180613
115,1456199586297622531
116,1456106452997664769
117,1456171350960259073
118,1456205591068635142
119,1455997241890525185
120,1455997241890525185
121,1456199586297622531
122,1456204990498942983
123,1456194543146180613
124,1456204831807447043
125,1456194543146180613
126,1456199586297622531
127,1455993811537117188
128,1456204526374035460
129,1456194543146180613
130,1456194543146180613
131,1456181950222409733
132,1456199586297622531
133,1456199586297622531
134,1456090578148544513
135,1232689270961340416
136,1455558117190615053
137,1456203409472770054
138,1456203325104218115
139,1456194543146180613
140,1456181950222409733
141,1456066015444578311
142,1455805590991564804
143,1456199586297622531
144,1456202142629474312
145,1456194543146180613
146,1455558524470120448
147,1455558117190615053
148,1456194543146180613
149,1456185179437940736
150,1456199586297622531
151,1456201575156887556
152,1456201487516901378
153,1456201469095555072
154,1456199586297622531
155,1456201439261364227
156,1456201416272453638
157,1456194543146180613
158,1456201400258551814
159,1456201387142942723
160,1456201367501123587
161,1456201342704312320
162,1456201302229258245
163,1456201282193018882
164,1456201271745122306
165,1456201253122420739
166,1456201239356653569
167,1456201100642635776
168,1456199586297622531
169,1456201051556691972
170,1456201044740947971
171,1456194543146180613
172,1456194543146180613
173,1456194543146180613
174,1456194543146180613
175,1456194543146180613
176,1370550902784978949
177,1456199586297622531
178,1456200816856027136
179,1456194543146180613
180,1456200506955599878
181,1456200501901479941
182,1456199586297622531
183,1455558117190615053
184,1456199586297622531
185,1456194543146180613
186,1456200061189246981
187,1456194543146180613
188,1456199586297622531
189,1456194543146180613
190,1456199766497398787
191,1456194543146180613
192,1456194543146180613
193,1456199586297622531
194,1456194543146180613
195,1456199083320913927
196,1456194543146180613
197,1456194543146180613
198,1456198400454561794
199,1456194543146180613
200,1456194543146180613
201,1456198400454561794
202,1455922018201780227
203,1456028931778387976
204,1456181950222409733
205,1456194543146180613
206,1456197566333325313
207,1456194543146180613
208,1456185179437940736
209,1456194543146180613
210,1456194543146180613
211,1456194543146180613
212,1456194543146180613
213,1456197142377340928
214,1455997241890525185
215,1456194543146180613
216,1456194543146180613
217,1455997241890525185
218,1456194543146180613
219,1456194543146180613
220,1456194543146180613
221,1456194543146180613
222,1456194543146180613
223,1456194543146180613
224,1456194543146180613
225,1456194543146180613
226,1456194543146180613
227,1456196090680598532
228,1456194543146180613
229,1456194543146180613
230,1455460788261507072
231,1456194543146180613
232,1456195640493477889
233,1456194543146180613
234,1456195565113466881
235,1456194543146180613
236,1455937181260861443
237,1456194543146180613
238,1456194543146180613
239,1456194543146180613
240,1456194543146180613
241,1456194543146180613
242,1456194543146180613
243,1456194543146180613
244,1455806988596699139
245,1455937181260861443
246,1456194543146180613
247,1456194543146180613
248,1456194543146180613
249,1456194543146180613
250,1456185544954847239
251,1456194543146180613
252,1456194543146180613
253,1456194960420601860
254,1456194543146180613
255,1456194543146180613
256,1456194543146180613
257,1456194543146180613
258,1456181950222409733
259,1455937181260861443
260,1455997241890525185
261,1455997241890525185
262,1455920729510199296
263,1455975578008424453
264,1456190101759959043
265,1456185544954847239
266,1455558117190615053
267,1455838929157070851
268,1455747194414243840
269,1456185825943699463
270,1232689270961340416
271,1456188891099140098
272,1456181950222409733
273,1456185544954847239
274,1456188364697210889
275,1232689270961340416
276,1456181950222409733
277,1426830786028785669
278,1456185544954847239
279,1455558117190615053
280,1456181950222409733
281,1455997241890525185
282,1456183247281422338
283,1456181950222409733
284,1456185722562564096
285,1456186597943222273
286,1232689270961340416
287,1456185825943699463
288,1456185801549787138
289,1456185743416741888
290,1455916882704412677
291,1456185722562564096
292,1456181950222409733
293,1456185544954847239
294,1456185179437940736
295,1451174424703475713
296,1456185179437940736
297,1456181950222409733
298,1456181950222409733
299,1455937181260861443
300,1456184301419122690
301,1456184234671054855
302,1456058962474946562
303,1456181950222409733
304,1456181950222409733
305,1456183349450526725
306,1456183247281422338
307,1456106452997664769
308,1456181950222409733
309,1456038706721304588
310,1455814018770165761
311,1444864599430475780
312,1456180600818253825
313,1456007538466512902
314,1456179271450431491
315,1456179242052595716
316,1444864599430475780
317,1456179066931974147
318,1456178761364279301
319,1455922018201780227
320,1456028931778387976
321,1455912244672442375
322,1456177447146123274
323,1456177126097498113
324,1456177069126131712
325,1449411528365588483
326,1456176846580723714
327,1456028931778387976
328,1436383031078670339
329,1433453104008138761
330,1455806988596699139
331,1433453104008138761
332,1436383031078670339
333,1455558117190615053
334,1455912244672442375
335,1456174253930434564
336,1455997241890525185
337,1455692720891121664
338,1456171350960259073
339,1456173662852243457
340,1455970117511258115
341,1456173151411392512
342,1456172936713306123
343,1455747194414243840
344,1455806988596699139
345,1455558117190615053
346,1455558117190615053
347,1456171094067527681
348,1456171839516987398
349,1456171350960259073
350,1456171094067527681
351,1456170690525204480
352,1232689270961340416
353,1456170488166637569
354,1232689270961340416
355,1455997241890525185
356,1455997241890525185
357,1456051542792892420
358,1456169563498946564
359,1455747194414243840
360,1456169349429956614
361,1455970117511258115
362,1456168300480802820
363,1232689270961340416
364,1455988029403848719
365,1455460788261507072
366,1455975578008424453
367,1456164368895266816
368,1456168300480802820
369,1455937181260861443
370,1441634569120145410
371,1456140683249586182
372,1455191681012207616
373,1455806988596699139
374,1455983925768200193
375,1456166482962890752
376,1455997241890525185
377,1456166482962890752
378,1456166482962890752
379,1455806034006528002
380,1455997241890525185
381,1456051542792892420
382,1456028931778387976
383,1455922018201780227
384,1456164941178839041
385,1456051542792892420
386,1232689270961340416
387,1456106452997664769
388,1456162975350394880
389,1456164371483095040
390,1456164368895266816
391,1456106452997664769
392,1455851948146581513
393,1456163232356438016
394,1456162975350394880
395,1456051063153258498
396,1456162353465200642
397,1455997241890525185
398,1456106452997664769
399,1456161793341108227
400,1456106452997664769
401,1456160502946484224
402,1456160281114013696
403,1456160092168982529
404,1455747196423311360
405,1456158524766044166
406,1455851948146581513
407,1455851948146581513
408,1455975578008424453
409,1455558117190615053
410,1455982698762317827
411,1455915435271000064
412,1455993811537117188
413,1456155137408446466
414,1455806988596699139
