,username,following,followers,totaltweets,retweetcount,retweeters
0,ICC,600,13651063,98469,1030,"['MachiKarthik', 'surya11145', 'dongowthi0', 'Spidey_Jana', 'MogantiNageswa3', 'MdyasinSheikh16', 'RohitKu38034719', 'Shubham70713971', 'JohnEdw47296675', 'its_ham_xa', 'mohammed98riyas', 'poova_Offi', 'RanaTalhaKhan17', 'all_prabhas', 'i_mzohaibz', '_mr_prabhu_ODI_', 'PashtonYousafza', 'SubrahmanyamY11', 'Muhamma41877063', 'Mkhaliltweeting']"
1,ICC,600,13651063,98469,242,"['Indian_manda', 'SivasaiRajapu', 'SagarNaniJSPK', 'BharathNettem', 'chetangawan0001', 'criccrazy_MOHiT', 'iamnaveen05', 'karthic18722690', 'UppalaRishi', 'RahulSh71492231', 'no_yes_i', 'Manpreetss98', 'Vampire76656156', 'devuni2302', 'srinusm36748766', 'Mohan38008211', 'Vimal_018', 'Shounak_WA', 'GantayatPrangya', 'RcRaghava777']"
2,BCCI,84,15809468,813253,2355,"['Rit7esh_', 'RohitKu38034719', 'VIN0DYADUVANSHI', 'Muruges51052046', '_imVsingh', 'Prakash19963690', 'Imshashiraina', 'Charanteja17_', 'Simtasharma014', 'Rohit71115210', 'Kingkoh21108792', 'anbu_in', 'MoinulHuda2', 'KINGKOH20767041', 'vijayku35761194', 'ManiBandaru18', 'ramkumar_45ind']"
3,sachin_rt,82,36264911,4071,1469,"['KPullai91886728', 'nagendran_offcl', 'Saurabh53492200', 'Charanteja17_', 'sharanjoe1', 'Dipakoffical', 'Venkate99313129', 'AjjjuVarma', 'KumarAbhisheik', 'MukeshC50621593', 'wwwanilkprajap1', 'VIVEKPA45446802', 'SubrahmanyamY11', 'MangeshSugire', 'imvinayrr', 'WinnerManish', 'DURGESHKUMAR62', 'iamKSSaini', 'Azzu90499733', 'Thala_villan']"
4,BCCI,84,15809470,813253,1193,"['Spidey_Jana', 'Suresh55017093', 'BaluKiccha16', 'srinivasulu0028', 'Santhos33690051', 'RameshTNRamesh1', 'SatyamY23168562', 'all_prabhas', 'RanjitC18434383', 'nivaschem04', 'Nithin02613131', 'Shahnazsheikh99', 'MAHESH07371797', 'NTRabhimaanii', 'PamujulaSameer', 'shekharsanthap1', 'Godofmischeif_', 'kumarpi60900324', 'HarshithMannem']"
5,Maxiboi23,383,2183,981,73,"['shailudpol', 'Mahipankaj07', 'srinivas2112', 'maraiyon', 'abhishekroy168', 'IAmAnuragRatna', 'nboal', 'Dhamaka52874127', 'HarshSinghi9', 'ratedAMAN', 'blkingianj', 'tanwirr_1', 'Areyyaaaaaaaar', 'Baitho_Be', 'AadiSin28600239', 'KushSehgal7', 'paragfloyd', 'Amit94924907', 'Yuva_1234', 'MdZubairSaleem2']"
6,Cricketracker,763,217396,130463,722,"['GaniCharan1', 'Ustaadh_RC', 'LokeshK86033287', 'Iammadhu720', 'raghava421', 'CharanSmoki', 'Charanteja17_', 'jeevanrao14', 'janasainikblr', 'charan_viraaj', 'NiruPavan', 'vamsi14aug', 'Chittibabuy2k', 'jaganrajntr', 'NTRKingdom9999', 'im_RCult', 't9999rakesh', 'Ravi50126195', 'Manjundhpspk', 'RsharathkumarS']"
7,akshayakash2636,62,14,3735,58,"['Raphazard007', 'baner_rahul', 'MuthyalaBola', 'VishalK05322529', 'Sahilsharma036', 'KlRahulmadhan', 'Fckoff59797834', 'AkashLa86908470', 'Ravinde95319286', 'nolimitshri', 'InvestmentVenom', 'spandan_chavan', 'Sandeep60603636', 'Vimlesh85614608', 'Arpitkoriya2', 'Nndhu8', 'VHUBOOM1', 'Anil82772836']"
8,ICC,600,13651068,98469,936,"['Spidey_Jana', 'all_prabhas', '_mr_prabhu_ODI_', 'Vjslv2', 'Sathish11167922', 'Iam_Praveen1995', 'PrakaPrakash9', 'FOREVER_VK_FAN', 'roysunnykumar5', 'Mohan38008211', 'Karthik58347795', 'DavidLi01797820', 'GanesanUttej', 'Jomani96368458', 'arbusheik', 'dspreddy12345', 'karthic18722690', 'varun24221', 'Ajaykumarmitra2', 'bubblyb20466145']"
9,ESPNcricinfo,207,6329437,180423,28,"['Arslaan________', 'surya11145', 'waqi_khann', 'AsadAliAwan57', 'ain_quotes', 'umairali56', 'GondalChoudhary', 'shah__akash', 'nivaschem04', 'jUtt_SAAB1', 'RoohUll62725263', 'Junaidtweets98', 'hassan_aqeeb', 'ShahidRaahim', 'izaidshafiq', 'ismailqadri1997', 'AidenAR3', 'M_Shafique_G']"
10,BCCI,84,15809475,813253,827,"['sandeepsharanu', 'fan_mysore', 'Vimal_018', 'vamshireddy9182', 'NTRdevotee999', 'nitin_sharma76', 'MogantiNageswa3', 'footballazzler', 'YogeshB09114918', 'TharaneeshThala', 'RaviSwami01', 'CHANDRA37132330', 'mrtlogu1', 'all_prabhas', '_mr_prabhu_ODI_', 'Suthaka40410750', 'isumonghosh', 'Venkate14937230', 'Suresh55017093', 'KavinVijay_S']"
11,mipaltan,171,6981478,70335,102,"['ARAVINT48798445', 'amir_iqubal', 'Gauthamsundarr1', 'MayuriP91450237', 'MonuKum98145964', 'Gopi238243385', '7lionsvignesh7', 'SaqibKh913728', 'bubblyb20466145', 'venkat_reddy__', 'AbdulRa20955971', 'RuhiSha24307662', 'KhanAfzalahmad', 'AamirKh08079863', 'Strange69304388', 'farman_pasha', 'RazatKu', 'SRD85926808', 'iquebal_arshad']"
12,1Vishwajitrao,4284,13261,5430,31,"['isumonghosh', 'Aaliya_Zain5', 'Prakash60163526', 'MohithKrishna47', 'riturahulmishra', 'abhirocky590', 'professor9_', 'Dineshmalakpury', 'MUJAHID26220676', 'Lucky14746993', 'SagarRanjan10', 'SahilKumarDas17', 'Avni_7_2005', 'Vishu93459033', 'YugandharThota9', 'iamkeshyan', 'Flower46961449']"
13,ANI,0,6203319,516551,67,"['newschauraha', 'nemityadav1', 'Namita67793491', 'IndianCitizenK', 'GOTVETICETAN', 'alok_020', 'CricBollyBuzz', 'IamPushpendra18', 'Abhishe87860842', 'BabupspkFan', 'iamshivamyogi', 'SonuJin55598967', 'GodIsGr82148817', 'ListenAkhter26', 'ViveksVoice', 'likhilkavalekar', 'WhiteCoat_no_48', 'PiyuNair']"
14,Cricketracker,763,217396,130463,59,"['k82838978', 'Tarunsai1817', 'pacypoorna', 'NKapisetti', 'iam_tharun007', 'TharaneeshThala', 'M_Ahmad07', 'Antara071', '12ykp12', 'MHDHAFEEZ17', 'nofilter_telugu', 'Iamsaeedumar', 'Rizwanrehman8', 'barath_sarvesh', 'niz_offl', 'im_amoghak', 'UniverseBos', 'Imgokums7', 'Sridhar45835729']"
15,KLRislove,1,33,8,51,"['Mohan38008211', 'isumonghosh', 'Rakesh29230959', 'adore_asim', 'Sinsterrr', 'MuskanK56610314', 'Abd00069', 'sidnaazlovelove', 'Jahnavi_118', 'ShamshadMirza94', 'KLassy_elegance', 'Gunu1803', 'Aaliya_Zain5', 'GulshanDharne', 'PrasanthRoy143', 'bmurugan578gma1', 'adnanazmi05', 'ganeshmudiraj_1']"
16,anusha_srini,4313,5195,132955,0,[]
17,T20WorldCup,1099,432682,5968,32,"['karthic18722690', 'surya11145', '_mr_prabhu_ODI_', 'jaikirankohli18', 'NPrudhviTweetz', 'perarivalan333', 'IndrajithTweets', 'RambabSurisetty', 'ugendhergoud143', 'MuhammedFatheeh', 'sami_kachila', 'FINALGAMERS3', 'Nawijn06', 'Karann82692848', 'smollboy_abby', 'ede_ganesh', 'NameisNani94', 'dankumar_', 'hkthalafan', 'Karansoren24']"
18,RVCJ_FB,445,304912,108753,129,"['itsmahya45', 'mrtlogu1', 'SidduNyk', 'RahulSh71492231', 'DarlingAfreed', 'ViswaW', 'Chupkarnayaar', 'apurb_a', 'KadagaManoj', 'GhoshlyaLal', 'debajnai', 'Vijayofficial05', 'dineshjangir121', 'imSumon96', 'Mandeepds36', 'MISHRA1097', 'iamKSSaini', 'Fenolinxavier']"
19,T20WorldCup,1099,432682,5968,12,"['karthic18722690', 'i_mzohaibz', 'isumonghosh', 'RahulSh71492231', 'FINALGAMERS3', 'ede_ganesh', 'Karansoren24', 'SharfSays', 'smollboy_abby', 'VIPER_Quote', 'CricketMatches9', 'Junior_Uzzy']"
20,SajSadiqCricket,228,345922,46112,472,"['Mkhaliltweeting', 'PTInottingham', 'AkKi284', 'ausafliaquat', 'nimrafication', 'Maham59051014', 'Memes_By_King', 'awais52870192', 'Raja54183714', 'hadiqa_rajput', 'thisrabia', 'AqeelViews', 'fsaqi101', 'XaddiMalik', 'TabishMahtab', 'Neutral786', 'Towqeermadni09', 'Rose7043', 'Concern73138794']"
21,RCBTweets,570,5151858,51401,110,"['MR360AA', 'Zayn261', 'VikasBh08557720', 'karthic18722690', 'AadiSin28600239', 'RuhiSha24307662', 'MVRRRR', 'Sanjay63759', 'RiyaSahil2', 'Aishuai40083175', 'ShivaaySarvjeet', 'SachinC49585301', 'Imankit6908', 'ImViratNavvy', 'mb___tharun', 'SanthuK10544678', 'SuttaBoss', 'Mohankrishna_19', 'ursrajareddy', 'puttu481']"
22,T20WorldCup,1099,432683,5968,11,"['surya11145', 'sivalakshman778', 'karthic18722690', 'RIKIDEKA20', 'Lasantha_NP', 'tjtex26', 'jaikirankohli18', 'Itz_ishanvj', 'ShaikhA96786891', 'IndrajithTweets']"
23,ICC,600,13651071,98469,77,"['senakaweeraman', 'chintakaprazad', 'Sandun_R', 'RuckyR', 'Nadeez__', 'ranukad', 'hashhotrebz', 'AzharUd15300902', 'Saurabhneha07', 'vidulaj', 'Bee_Hi123', 'SarathB58952958', 'RajankmSingh1', 'gdhanushkraja', 'ksbraveenan', 'JanjuaKhurram19', 'faheem_official']"
24,chakrichejarla0,178,25,38,0,[]
25,BCCI,84,15809477,813253,624,"['all_prabhas', 'Charan47225522', 'isumonghosh', 'Pavan01031', 'ThippeshaDarsh1', 'Phoenixtweezzz', 'sarath_2277', 'SAIRAMNANDAMURI', 'shuvamseal', 'Thalakannan98_', 'ViswaW', 'i_8955', 'nivaschem04', 'SamBrar93032889', 'Guhan_576', 'Pachamannu_', 'Akkik27', 'sudeshsudhi', 'Sathish11167922']"
26,Khan_Junaid83,300,150,8161,12,"['CodeInfosys', 'anwer_afzaal', 'ishtiaq_jabbar', 'Muhamma46487874', 'WasifJa44312458', 'AliAwan51756965', 't_sohaila', 'Engr_UmarKhalil', 'afzaliqbalKumbo', 'RaheelK40502881', 'h51MeB12k6nsSVl']"
27,ESPNcricinfo,207,6329438,180423,36,"['Prajwalrai1820', 'roh77777', 'SriniSrins', 'Chandan30400311', 'Gopi238243385', 'VijayDurgaRao2', 'ayaz_khan007', 'arshadko', 'rohitsmannan', 'GamingLearning', 'Udayviratian18', 'Senthil__VJ', 'Ghilliajay', 'vandana64816004', 'imAnkitShar', 'Chandan67518213', 'TejasKu64833148', 'imranvk0018', 'RomanRajnish']"
28,shubh_ind,2945,7623,93648,2,"['jeena203', 'GuPta____']"
29,BCCI,84,15809478,813253,379,"['nivaschem04', 'Jafar74427378', 'NehaDub86934974', 'minnumatthews', 'SuryaPr48678206', 'rishabhsaxena12', 'barathas140', 'SKLM_MB_Fan', 'Mohankrishna_19', 'Raja28O394', 'Tweet2Scotland', 'Tapanjt2', 'cric8holic', 'Vijaidas3', 'NaveenKiccha100', 'Bunny32799424', 'imarpit23', 'Aishuai40083175', 'SivaSwarna2', 'Gayaz_Official']"
30,RCBTweets,570,5151859,51401,346,"['Spidey_Jana', '_Cyborg_Offl3', 'Zayn261', 'ViratBoji', 'Ravi_rubi1', 'bubblyb20466145', 'MISHRA1097', 'DKgaaru', 'Deejaysaikumar', 'MVRRRR', 'SriniSrins', 'Aravind070292', 'ThotaSaikiran4', 'RaxRaksh', 'Vin_Phenomenal', 'Sanjay63759', 'Saloni05007919', 'ajay32__ajay__', 'SK_Fan_Of_PK']"
31,OfficialSLC,349,1052834,17080,11,"['A_S_345', 'KumarNiros', 'kannar852', 'surya11145', 'NehanShanuka', 'Lasantha_NP', 'Ashandulakshana', 'cyed512', 'nethmaransara', 'ClassySha1', 'Yk_taekook']"
32,saberhc,405,348541,3369,114,"['DMAZIZ27', 'Nahid66577', 'AlomHai', 'alamshaiful1978', 'nasimulGaniKha2', 'jubaett', 'SomratOfficial', 'benasbd', 'i_m_durjoy', 'walihaque', 'bddreamer_101', 'KhandakerRed', 'DjBHOOT', 'RayhanChowdur12', 'navid182', 'Rahman_Rakib10', 'Ahafiz1', 'DinMoha61943667']"
33,tv9gujarati,152,686631,320624,0,[]
34,shareef_vyakti_,314,268,894,0,[]
35,RCBTweets,570,5151859,51401,429,"['Charan47225522', 'Zayn261', 'maddy_vinith', 'DeepaG92572930', 'RamaVelivel', 'roysunnykumar5', 'Prasanth32400', 'VikasBh08557720', 'UppalapuSrinu', 'shaandarsri', 'mohanfrancis2', 'PavanReddyN777', 'Anil_Pawanist', 'spooky_DQ', 'Santhos43789497', 'ViratVicky6', 'UshaVer57739992', 'Pavan01031', 'SanthuK10544678', 'Hariom45752750']"
36,StraightDrive_,912,708,3134,1,['ThurunuJ']
