,or_id
0,1456661246913101827
1,1456785282964017156
2,1456715230533206018
3,1456649671825313801
4,1456656305901367296
5,1456643764014002184
6,1456695917650735105
7,1456798074588725253
8,1456662423109189637
9,1456658377489018880
10,1456796773322616832
11,1456681737367408643
12,1456643697026633729
13,1456656735284781062
14,1456657087979614208
15,1456644821615984645
16,1456658968651075590
17,1456797904966860810
18,1456781392025632770
19,1456676218816778242
20,1456755408010313731
21,1456543089171046418
22,1456653628576452609
23,1456795971409567744
24,1456618811726172166
25,1456797773857099780
26,1456665425073164290
27,1456434963914661891
28,1456655329643548673
29,1456666985325072393
30,1456611622319915011
31,1456659235773706240
32,1456797337859198982
33,1456391051858653187
34,1456797636338454529
35,1456797622904127488
36,1456614941419446285
37,1456688313264324608
38,1456656229565009924
39,1456768176025260037
40,1456645050734039041
41,1456712927625433093
42,1456659389692121092
43,1456658959801016321
44,1456657193764368388
45,1456698604488298498
46,1456731812890218501
47,1456657799971176452
48,1456721210457399303
49,1456662554575523848
50,1456663599997390848
51,1456797186298048513
52,1456645067075031041
53,1456657546048012295
54,1456642451515469834
55,1456691116867088384
56,1456794565365547011
57,1456658774798716933
58,1456678735688519684
59,1456659122430955520
60,1456796950376824835
61,1456796921809408011
62,1456213048889389058
63,1456796850934063107
64,1456676705238618117
65,1456579263306551297
66,1456466047448592404
67,1456661396104511488
68,1456796763134824452
69,1456618422809214978
70,1456703808982114310
71,1456667667293786123
72,1456677692187688963
73,1456644132508631041
74,1456664111312297988
75,1456669141046284301
76,1456659108476506112
77,1456640116630310916
78,1456795971501780997
79,1456676670493003776
80,1456657218040827912
81,1456656896962621440
82,1456652198570463241
83,1456657187791511552
84,1456756148539781127
85,1456796255003111425
86,1456207458683158529
87,1456661171843461123
88,1456664442079383555
89,1456795998949347333
90,1456680755589877763
91,1456662421431459841
92,1456795973078880258
93,1456795971753439234
94,1456666116919529478
95,1456795867453734917
96,1456671467408543751
97,1456645481170292736
98,1456670816972656640
99,1456788291802435584
100,1455797134867980289
101,1456660312434876419
102,1456795600960294916
103,1456677165647335427
104,1456659009461579776
105,1456680272586444802
106,1456795274098069506
107,1456685297505296394
108,1456608416755900419
109,1456474888177393670
110,1456614101380182019
111,1456794827450814471
112,1455590749886730243
113,1456656067169898505
114,1456793455074631684
115,1456666476245512199
116,1456662800743366662
117,1456660363609456641
118,1456645466087559172
119,1456666703559942148
120,1456633368100040709
121,1456259945108758528
122,1456630444061958151
123,1456794008529690626
124,1456656094072172547
125,1456793977554886662
126,1455116477313527812
127,1456658231053504512
128,1456664861354512388
129,1456793811888193539
130,1456609543732056070
131,1456636501794582539
132,1456664686770876417
133,1456793716899737602
134,1456609890777145344
135,1456640499008393226
136,1456660278003867651
137,1456566831607476230
138,1456614615106924550
139,1456663034940706820
140,1456793269220818945
141,1456644308803538946
142,1456650156066050048
143,1456674238178332673
144,1454382334271131656
145,1456656753873997825
146,1456655407821180935
147,1456657382625320964
148,1456686900605972485
149,1456617191722283010
150,1456554506385178624
151,1456658226334732292
152,1456669793587589127
153,1456690427831234560
154,1456631320726044676
155,1456668278663774213
156,1456792880874352642
157,1456792787601563653
158,1456625434888585217
159,1456576928790556673
160,1453715682869211142
161,1456673413255159808
162,1456792426127904772
163,1456522397415186435
164,1456792226743390211
165,1456646972249493512
166,1456640578565730305
167,1456651032746815490
168,1456779018573910028
169,1455617816988684293
170,1456649595853803527
171,1456791850820509696
172,1456667635702247430
173,1456791810936696834
174,1456654541479309316
175,1456653945368047618
176,1456656589667012612
177,1456678264311664648
178,1456683911161937921
179,1456791640555855876
180,1456658687410401287
181,1456633718026559497
182,1456516632185016325
183,1456662293639401478
184,1456791438675546116
185,1456791320551309314
186,1456658140267786240
187,1456670081404968966
188,1455647499075604483
189,1456619012645867522
190,1456684557898379265
191,1456687937005883392
192,1456790990404997123
193,1456622252057792513
194,1456790938617925636
195,1456359239857827854
196,1456649804436570116
197,1456697055989096452
198,1456613641856303109
199,1456790576544813057
200,1452302101057609736
201,1456675974569869313
202,1452330839799472137
203,1452346016175251456
204,1452488909674500096
205,1452519110445871105
206,1452547795294973952
207,1456658659170127877
208,1456790235283660805
209,1456660466650927109
210,1456653540575768577
211,1456790121542344706
212,1453053044858494981
213,1456649050560688129
214,1456661218509295617
215,1456784495294627841
216,1454141956565635078
217,1456638848100757505
218,1454240404530995201
219,1456650889851191307
220,1456789671938297859
221,1456664941151330314
222,1456658059275681792
223,1455587710308134922
224,1456647376672739332
225,1455597422873300992
226,1456789343792664583
227,1456778064826970113
228,1456778814030221316
229,1456785784066002953
230,1456740400866238476
231,1455814788714487808
232,1456788468521058309
233,1456681744179081225
234,1456789015349301252
235,1456682727768354819
236,1456656432514748422
237,1456788437990838272
238,1456644122882756614
239,1456788234797678593
240,1456651548801388551
241,1456644334762147844
242,1456647464245673990
243,1456658738522169352
244,1456787338122694661
245,1456787315875930114
246,1456785316207988740
247,1456787178747478020
248,1456787150897238017
249,1456626724972777480
250,1456625122698137602
251,1456712023987798020
252,1456786786013761537
253,1456786740321009665
254,1456520455234392076
255,1456644219469119503
256,1456767979073327107
257,1456764176710324224
258,1456501483856302080
259,1456487705005547523
260,1456616824435449856
261,1456648100639092739
262,1456663201404178433
263,1456785310491107329
264,1456658697455759360
265,1456317538850148359
266,1456657005146517512
267,1456660455326322692
268,1456656947810377728
269,1456547976478924805
270,1456616649990176776
271,1456625309189431301
272,1456784659610808326
273,1456653250627653632
274,1456662679637028866
275,1456722306110197767
276,1456783979474927617
277,1456288939090722818
278,1456783417765285889
279,1456783307144896521
280,1456332676424601611
281,1456603126799077388
282,1456782597661495298
283,1456670460272254977
284,1456649157700165635
285,1456672227793985539
286,1456669090269970434
287,1456730310599708674
288,1456642820672876548
289,1456493884305907728
290,1456780906853646347
291,1456780892253392896
292,1456777330530029574
293,1456780048170557445
294,1456660089050316803
295,1456613330391601158
296,1456485781191733249
297,1454910333299134465
298,1456658185243152390
299,1456646661875412998
300,1456645647491211264
301,1456642255649837056
302,1456774383607840768
303,1456778735072395268
304,1456778717619843074
305,1456684091802259462
306,1456778452313546761
307,1456654038175526913
308,1456660737439371266
309,1456778017439563777
310,1456662054408970245
311,1456777918260994052
312,1456777831090954253
313,1456657415454138371
314,1456535523804258305
315,1456684495361482753
316,1456687435820244998
317,1456777108303319048
318,1456684669769064453
319,1456589634838962184
320,1456616248427618304
321,1456776052194390019
322,1456661085868548096
323,1456648282524897282
324,1456661425125040135
325,1456775551922806786
326,1456775307550248968
327,1456660979882725379
328,1456610297934798853
329,1456773876147445763
330,1456773768743776256
331,1456677761985044485
332,1456665481201344515
333,1456773398663778307
334,1456772096789413892
335,1456773328627134468
336,1456674466570768386
337,1456653899574616068
338,1456772316160053248
339,1456772225982365696
340,1456672951839772677
341,1456771889821470720
342,1456771845219364864
343,1456771829494845450
344,1456555757256720386
345,1456587092461510656
346,1456546484556427265
347,1456603672696090627
348,1456771387306225666
349,1456672200551981062
350,1456657788726390791
351,1456770790381207560
352,1456604950226620419
353,1455143825626714117
354,1456770381042393091
355,1456638771039019020
356,1456769906767241218
357,1456769724398936068
358,1456769612096446468
359,1456769402708365315
360,1454433844652769297
361,1456769225515798528
362,1456769067952476161
363,1456622713972350976
364,1456768192169213954
365,1456768029493276674
366,1456320993522245632
367,1456598438125113346
368,1456767701070737412
369,1456152412377387011
370,1456767391879270404
371,1456767026962313219
372,1456767018812665856
373,1456766981806362630
374,1456766964442009600
