,username,following,followers,totaltweets,retweetcount,retweeters
0,AjazRubz,301,644,1209,4,"['aaron_maralit', 'Sivasunil11', 'Hafiz09351398']"
1,zerosimms,685,1237,11060,1,['BitrichInfo']
2,zerosimms,685,1237,11060,1,['BitrichInfo']
3,gate_io,2303,411273,12120,33,"['BCxqSrzopY2tU1b', 'polemicbrain', 'BurakBaysal01', 'Atikxmer', 'DanialHBB', 'Kinlesen1', 'TobiB1976', 'parabolicpups', 'SILIH6', 'madhub8', 'stockgazer3', 'darulnaeam', 'Proofofgoblin', 'NorRooster1', 'LorettaMavros', 'Selcukk007', 'PtrVRA', 'inamoonmission', 'sven2478']"
4,rook_h8,455,43,832,0,[]
5,SteHodl,154,3999,5585,8,"['polemicbrain', 'Carla_Parrish', 'mdhengy', 'Glekisobran', 'JohnnyCrypto51', 'besukt', 'Innes51089048', 'Mikhai74861336']"
6,MinhTung273,100,10,60,0,[]
7,Car01am,132255,181667,1583732,36,"['Car01am', 'robert_suret', '971Dark', 'CWOFM', 'ulybrath', 'penny_hampson', 'ThaddeusArjuna', 'roylmurry425', 'roylmurry425', 'Sonia4Him', 'luciagrey2', 'TudorTweep', 'FrostGigi', 'MravikPal', 'MravikPal', 'paul_cude', 'CristofaloC', 'FrostGigi', 'ThaddeusArjuna', 'roylmurry425']"
8,UfoStudy,245,5054,5555,53,"['Alien_Gray', 'Jshan00', 'ErnestArtigas', 'Thorodinson76', 'GreggFlinn', 'ufoman1214', 'studyofUAPs', 'MarkDavis8919', 'nosleinad7', 'orel94934645', 'Chachalina55', 's0ul555', 'Rogjoles56', 'junbangu', 'dance_cosmic', 'FreegroveSuttor', 'un4givinn']"
9,OfficialMBTM,2208,10059,9133,1,['GlobalSedition']
10,UfoStudy,245,5054,5555,9,"['AlertUfo', 'lmblair', 'RobertAdner1', 'thebusiness7', 'chrisfrench83', 'Deeizzie', 'ajeetkcs', 'mpit2008']"
11,updatesgalactic,1911,1023,8169,0,[]
12,updatesgalactic,1911,1023,8169,0,[]
13,WSG_OG,2,9,20,4,"['Schepenss', 'Jack50527586', 'DD22000', 'hossinkh1']"
14,gate_io,2303,411275,12120,33,"['BCxqSrzopY2tU1b', 'polemicbrain', 'BurakBaysal01', 'Atikxmer', 'DanialHBB', 'Kinlesen1', 'TobiB1976', 'parabolicpups', 'SILIH6', 'madhub8', 'stockgazer3', 'darulnaeam', 'Proofofgoblin', 'NorRooster1', 'LorettaMavros', 'Selcukk007', 'PtrVRA', 'inamoonmission', 'sven2478']"
15,gate_io,2303,411275,12120,33,"['BCxqSrzopY2tU1b', 'polemicbrain', 'BurakBaysal01', 'Atikxmer', 'DanialHBB', 'Kinlesen1', 'TobiB1976', 'parabolicpups', 'SILIH6', 'madhub8', 'stockgazer3', 'darulnaeam', 'Proofofgoblin', 'NorRooster1', 'LorettaMavros', 'Selcukk007', 'PtrVRA', 'inamoonmission', 'sven2478']"
16,area51org,947,52403,193943,1,['DomDiaz13']
17,OrlamboMoon,424,21322,514,62,"['BilalBi77304788', 'syco7214', 'MirzaToheed14', 'Mohamma71035654', 'rilodi7854', 'Bxbc65266201', 'RGetlike', 'Israrktk18', 'waheedrat', 'ItzHridoy2', 'Anaya74682877', 'Vgy68456184', 'farhannotwin46', 'adeensiraj306', 'farhaninstagram', 'Nomi86952672', 'raoshahzard', 'sabbir_hasain', 'Kali92543568', 'Ggg64440609']"
18,wefullnow,1277,623,5348,0,[]
19,zerosimms,685,1237,11060,4,"['Star_Side141', 'BitrichInfo', 'DevMicrocosm', 'Discovertech3']"
20,SteHodl,154,3999,5585,8,"['polemicbrain', 'Carla_Parrish', 'mdhengy', 'Glekisobran', 'JohnnyCrypto51', 'besukt', 'Innes51089048', 'Mikhai74861336']"
21,Proxy_90,68,20,41,2,"['mrventuresnft', 'ryenc00l']"
22,BbrDeborah,180,97,154,0,[]
23,pod115show,301,100,91,3,"['DeanNancyUscher', 'JVaughanPR', 'cakeradios']"
24,area51org,947,52403,193943,1,['DomDiaz13']
25,zerosimms,685,1237,11060,4,"['Star_Side141', 'BitrichInfo', 'DevMicrocosm', 'Discovertech3']"
26,Proxy_90,68,20,41,2,"['mrventuresnft', 'ryenc00l']"
27,zerosimms,685,1237,11060,4,"['Star_Side141', 'BitrichInfo', 'DevMicrocosm', 'Discovertech3']"
28,pod115show,301,100,91,3,"['DeanNancyUscher', 'JVaughanPR', 'cakeradios']"
29,ObserversFilm,142,176,42,0,[]
30,zerosimms,685,1237,11060,4,"['Star_Side141', 'BitrichInfo', 'DevMicrocosm', 'Discovertech3']"
31,Car01am,132255,181667,1583732,41,"['Car01am', 'HollowManSeries', 'Callie_Carmen', 'roylmurry425', 'MarcosFizzotti', 'Jilly66408011', 'MartinG8177', 'Rjrhotmailcom2', 'CatherineMesick', 'lawrence_wray', 'judehaste_write', 'roylmurry425', 'colbenjamin', 'CAASBREY', 'EvaFarohi', 'paul_cude', 'JoshuaScribner3', 'colbenjamin', 'roylmurry425', 'Brettmagnusmazz']"
32,gate_io,2303,411276,12120,33,"['BCxqSrzopY2tU1b', 'polemicbrain', 'BurakBaysal01', 'Atikxmer', 'DanialHBB', 'Kinlesen1', 'TobiB1976', 'parabolicpups', 'SILIH6', 'madhub8', 'stockgazer3', 'darulnaeam', 'Proofofgoblin', 'NorRooster1', 'LorettaMavros', 'Selcukk007', 'PtrVRA', 'inamoonmission', 'sven2478']"
33,ONEch_01,7,194,32777,0,[]
34,DanDayRadio,50,1179,8046,2,"['lockhart_jesse', 'Swptoydolfan']"
35,skinnyb0b,182,728,5953,9,"['real_cryptids', 'opal_vigilante', 'Tyler46628552', 'AR_tie_Dreadful', 'moon01293722', '68vinnyo', 'Ste69477056', 'encatwoman']"
36,UfoStudy,245,5054,5555,9,"['AlertUfo', 'lmblair', 'RobertAdner1', 'thebusiness7', 'chrisfrench83', 'Deeizzie', 'ajeetkcs', 'mpit2008']"
37,DanDayRadio,50,1179,8046,2,"['lockhart_jesse', 'Swptoydolfan']"
38,beaztbeatz,1412,1054,14316,1,['MartinezAyren']
39,gate_io,2303,411276,12120,33,"['BCxqSrzopY2tU1b', 'polemicbrain', 'BurakBaysal01', 'Atikxmer', 'DanialHBB', 'Kinlesen1', 'TobiB1976', 'parabolicpups', 'SILIH6', 'madhub8', 'stockgazer3', 'darulnaeam', 'Proofofgoblin', 'NorRooster1', 'LorettaMavros', 'Selcukk007', 'PtrVRA', 'inamoonmission', 'sven2478']"
40,AjayDaGreat,571,850,7363,0,[]
41,UfoHuntersCom,146,23029,68040,0,[]
42,Munook,139,470,12972,1,['mpit2008']
43,zerosimms,685,1237,11060,4,"['Star_Side141', 'BitrichInfo', 'DevMicrocosm', 'Discovertech3']"
44,gate_io,2303,411277,12120,33,"['BCxqSrzopY2tU1b', 'polemicbrain', 'BurakBaysal01', 'Atikxmer', 'DanialHBB', 'Kinlesen1', 'TobiB1976', 'parabolicpups', 'SILIH6', 'madhub8', 'stockgazer3', 'darulnaeam', 'Proofofgoblin', 'NorRooster1', 'LorettaMavros', 'Selcukk007', 'PtrVRA', 'inamoonmission', 'sven2478']"
45,gate_io,2303,411277,12120,33,"['BCxqSrzopY2tU1b', 'polemicbrain', 'BurakBaysal01', 'Atikxmer', 'DanialHBB', 'Kinlesen1', 'TobiB1976', 'parabolicpups', 'SILIH6', 'madhub8', 'stockgazer3', 'darulnaeam', 'Proofofgoblin', 'NorRooster1', 'LorettaMavros', 'Selcukk007', 'PtrVRA', 'inamoonmission', 'sven2478']"
