,or_id
0,1455750620191752194
1,1456614232556978190
2,1456614232556978190
3,1456588373980848131
4,1456613873218428929
5,1456550118614765571
6,1456613560063168513
7,1367144451240509445
8,1454176233172848640
9,1456540607543975965
10,1456462862055059467
11,1456612295656853506
12,1456612284294385668
13,1456009390696411137
14,1456588373980848131
15,1456588373980848131
16,1456610907728003074
17,1455231095566323713
18,1456610060113690633
19,1456604493253066752
20,1456550118614765571
21,1456608152301056006
22,1456608842129739782
23,1456423124052889606
24,1456608312561131521
25,1456604493253066752
26,1456608152301056006
27,1456604493253066752
28,1456423124052889606
29,1456607657901629443
30,1456604493253066752
31,1367521687894446080
32,1456588373980848131
33,1456606990793273352
34,1456602429001277442
35,1415777991238500356
36,1456462862055059467
37,1456602429001277442
38,1456592773826678785
39,1456588373980848131
40,1456605018203754496
41,1456604860414054408
42,1456604814662676484
43,1456604493253066752
44,1456588373980848131
45,1456588373980848131
46,1456500293554802690
47,1456588373980848131
48,1456602429001277442
49,1456575746135240708
50,1456570644259291138
51,1456601281573892096
52,1456601943049060361
53,1456419351662268436
54,1456601281573892096
55,1456601281573892096
56,1456550118614765571
57,1456588373980848131
58,1456599032348954624
59,1456598304347856897
60,1456597734824321026
61,1456588373980848131
62,1456249365136302082
63,1456599057552625671
64,1456599055602171904
65,1456599032348954624
66,1456598304347856897
67,1456597734824321026
68,1456596124236660746
69,1456589135720890375
70,1456592743577395200
71,1456273049423024129
72,1456588373980848131
73,1456588373980848131
74,1456594970337554432
75,1456550118614765571
76,1456588373980848131
77,1456594536659042306
78,1456588373980848131
79,1456593933111382024
80,1456593807470891012
81,1456588373980848131
82,1456588373980848131
83,1456488906371878913
84,1456419351662268436
85,1456588373980848131
86,1456588373980848131
87,1456588373980848131
88,1456592773826678785
89,1456592743577395200
90,1456592705526566916
91,1456588373980848131
92,1456588373980848131
93,1456588373980848131
94,1456592297609601026
95,1456380761615974416
96,1456588373980848131
97,1456591523181735938
98,1456588373980848131
99,1456590937501614080
100,1456590648530771972
101,1456590602431303687
102,1455980800252387333
103,1456588373980848131
104,1456589891874217986
105,1456589832818413577
106,1456589782386192390
107,1456588373980848131
108,1456589527154372610
109,1456588373980848131
110,1456577871300923399
111,1456589135720890375
112,1456588373980848131
113,1456319825488146432
114,1456588373980848131
115,1456588373980848131
116,1456588373980848131
117,1456588326715150342
118,1456588146896945159
119,1456587649565798402
120,1456578873395720197
121,1456567927071809537
122,1456301788534083603
123,1456534373151514624
124,1456584291975061510
125,1456584517553168384
126,1456584490822905860
127,1456584291975061510
128,1456157514777575424
129,1456583523251458048
130,1456582835326832646
131,1456570644259291138
132,1456157514777575424
133,1456534373151514624
134,1456575746135240708
135,1456578873395720197
136,1456425501593980929
137,1456244956700499978
138,1456577890506711042
139,1456577871300923399
140,1456577715038035974
141,1451594682174148615
142,1456519615878664213
143,1456462862055059467
144,1456575746135240708
145,1268651511166513152
146,1456565845061156884
147,1456574646539665409
148,1456565845061156884
149,1456565845061156884
150,1456519615878664213
151,1456170447935053827
152,1456572341383794693
153,1456570644259291138
154,1456567927071809537
155,1456569874550075394
156,1456157514777575424
157,1456568859230625793
158,1456568672705785862
159,1456568234346434566
160,1456567927071809537
