,username,following,followers,totaltweets,retweetcount,retweeters
0,ImRitika45,10,73999,3103,452,"['RSSatheesh2', 'Krystal_AVY5', 'GAURAVR29935018', 'Thala_Virat18', 'Amluppa', 'ARSHCREATION1', 'RastrawadiHima1', 'Gulshan47109182', 'saikuma23797023', 'SrikanthBommat2', 'Mukesh00555', 'KunvarPavan', 'Princejayasury1', '_MrChaudhary', 'ramraj_sevada', 'SahilSk84275177', 'Alandeva1045555', 'hossain_nawaj', 'hanichnal']"
1,Nikitajamwal22,402,177,162,0,[]
2,chaatmasaala,650,459,1607,19,"['umair_shaikh3', 'amir_iqubal', 'teekamverma97', 'RaazSingh333', 'fariha__13', 'bhushan_maind', 'Riya_0104', 'Shruti_here_', 'bhati_abhishek_', 'RohitKa25177791', 'Shubham26735899', 'NaveenC81445277', 'shreyastic', 'AKFC_WB', 'PaaniPuree', 'Shivampatel7103', 'GaramMassaala', 'chaatmasaala']"
3,dna,21,2243136,633833,27,"['kSunit9892', 'umair_shaikh3', 'Chaitu22020672', 'smurfie_yt', '635Shivam', 'Siddhar29180487', 'Mohan38008211', 'ravi_rathore108', 'isumonghosh', 'Gopi238243385', 'kannan76723092', 'THE_ASHU_JATAV', 'adore_asim', 'TejasPujare7', 'RameshXpatel1', 'Utkarshdwived29', 'rahman_waleed', 'Sathi97839931', 'Nirea7nirea', 'musmade_gayatri']"
4,RahulxMahirat,715,808,1297,7,"['TECH8836', 'Arjun_pandit___', 'DikshaMaurya14', 'Narayan54782844', 'Dhruvsingh1511', 'Adityakohlifan', 'RahulxMahirat']"
5,MammoottyFC369,54,22713,8957,193,"['ABINKRISHNATK1', 'mr__devil___', 'BOSS36903020345', 'TsManesh', 'Godwin__369', 'hunter000369', 'fa000369', '369AlbinG7', 'itskaran2k', 'akhilrajr003', 'Adithyan3690', 'AbinDev23', 'Ashiq_Faiz_369', 'IMfwai', 'DerickAbhraham6', 'PavanPkfollower', 'Kiran76025100', 'BittuKu65208954']"
6,poojabishnoi36,393,29252,762,203,"['SRINATH1012', 'KohliAdore_', 'im_Vijay7', '0029Sunty', 'PawanBi86779616', 'AnkitViratholic', 'Pythonfamily', 'Manohar10618654', 'Nikitaa17047764', 'Parthap10794688', 'ShamsiHaidri', 'Kumarva60997785', 'DarkPhantom18_', 'AshokBi92899633', 'Maheshbabu_cult', 'Bubbles__9', 'ohyesnik', 'anand_VK_18', 'Jasminxtwinkle', 'Narayan54782844']"
7,RahulEaswar,5386,69511,65267,172,"['saaho18vk', 'VijayDurgaRao2', 'ruthless_MBfan', 'kingufanikkada', 'SKSHABBER', 'SiwaJilakara', 'alweysramcharan', 'imViratVK18', 'JustinOffcl', 'January14th2022', 'kautilya_49', 'GaneshKohliOffi', 'M_G9999', 'AyushSh76985635', 'SnehaReddy36', 'onlineD4u', 'ViratKohli___18', 'SSVV_csk_9999', 'faisalspeaking']"
8,srcsmic_enginer,324,3907,57334,104,"['KattarTigerian', 'Sushs07', 'RandhirRaut6', 'Jitendra7Jitu', 'Naughty_or_wot', 'ChinmoyBouri3', 'ILoveYouJanu134', 'BabuMoshaaii', 'being_alcoholic', 'Sourabh___patel', 'BeiNg_FeisTy', 'Absaini40', 'TheSoberphobic', 'Memes_Raj', 'amaan1518', 'Am_essss', 'imgovinddd', '_kabiraSpeaking']"
9,VForU_,252,744,1172,0,[]
10,KLRlifeline,7,65,186,68,"['ankit87899', 'DhanaDRowdy2', 'VedantistPrince', 'Rudresh13956627', 'Darling7723', 'TravellerChotu', 'Mohan38008211', 'Karthik87895464', 'PawanKu18415109', 'sarcastic4ucker', 'bmurugan578gma1', 'ARYANSI66755140', 'SuryaKuppili1', 'Ankit_patel_AP', 'Abd00069', 'rohithrediee', 'ExSecular04', 'sidnaazlovelove', 'rohithrediee07']"
11,SUBODH_DAS_,1797,2179,14204,34,"['gHxYITGnQO8xh9w', 'MeghRaj85974821', 'RajvirS59080437', 'OmParka36839984', 'Shivamofficiala', 'JCVerma15', 'rana_manisa', 'Priyank39234631', 'Godavarikapoor1', 'Bintuladwal1', 'ShyamaPkl', 'CharanS73934356', 'Nagendr64251085', 'SRDas306346', 'VinodKu10057178', 'butterflows', 'mala_dasi', 'NaveenD57271279', 'Shyam812663']"
12,Many_Faced_Guy,175,9,713,0,[]
13,imyadav_anurag,158,189,195,0,[]
14,president_kisan,1365,1081,2396,0,[]
