,or_id
0,1456540765262286854
1,1456823119155322883
2,1456643975901712389
3,1456667689976406023
4,1456581223216734211
5,1456539820042326016
6,1456478702020153346
7,1456536880619552775
8,1456524805755203584
9,1456821237255049221
10,1456661714003324937
11,1456486650976952320
12,1456820344505782272
13,1456820125575700482
14,1456819942527963139
15,1456819591598968832
16,1456467869634478090
17,1456546481456906245
18,1456819297863364610
19,1456684885440147463
20,1456818773718024194
21,1456818519056674818
22,1456818498424823811
23,1456818481509265410
24,1456710876124356618
25,1456475016619454466
26,1456471121214148615
27,1456507047206260742
28,1456808967556911113
29,1456499818897940483
30,1456815192357048326
31,1456814323716734978
32,1456659403323555841
33,1456808398599557122
34,1456813955020640257
35,1456813524194250759
36,1456585207369326602
37,1456539085116346370
38,1456561464983044096
39,1456811145654771717
40,1456811036653211648
41,1456810246416961543
42,1456670910493069317
43,1456643151918108681
44,1456808163261489157
45,1456808153857748992
46,1456537604053110784
47,1456807618375204871
48,1456807550993666052
49,1456489021060771844
50,1456806944077799425
51,1456490716784254977
52,1456806466447413250
53,1456449730569854978
54,1456440408486002689
55,1456803166700257282
56,1456462655892328449
57,1456800707474984969
58,1456494189303136263
59,1456480581408067585
60,1456800939466133505
61,1456557932758192133
62,1456487375371071494
63,1456800912811384834
64,1456724960110645258
65,1456799766759841793
66,1456461357612769280
67,1456487897691930632
68,1456779144180781060
69,1456434963914661891
70,1456542931574267932
71,1456614074611949587
72,1456794775282094081
73,1456794745636737028
74,1456496323620868105
75,1456562075023540226
76,1456446634603126785
77,1456531669985345542
78,1456448770757967875
79,1456782942487908356
80,1456678749693431817
81,1456780680671764484
82,1456779443700076547
83,1456776052194390019
84,1456774429246038036
85,1456556874606673920
86,1456767221313720329
87,1456764873522569223
88,1456604277191888901
89,1456531354020052993
90,1447715947968598016
91,1456756451523788801
92,1456657123505438720
93,1455954215843500038
94,1456749894052495360
95,1455568424231481346
96,1456744065953931264
97,1452529260384686083
98,1456735334415278084
99,1456734409629962241
100,1456733563844382721
101,1456732121427492869
102,1456731836625788928
103,1456731766316670977
104,1456729227642900482
105,1456477985830178821
106,1456661303376760832
107,1456723178781175808
108,1456722935671046149
109,1456480341707812867
110,1456721820284067840
111,1456718360830349315
112,1456717223439921156
113,1456659247358304256
114,1456714918145761286
115,1456492006239318018
116,1456584581558124544
117,1455786192981561350
118,1456326703932919815
