,username,following,followers,totaltweets,retweetcount,retweeters
0,phillyprince1,8581,18260,33294,0,[]
1,Dexitsofort,8,437,1786,0,[]
2,Dexitsofort,8,437,1786,0,[]
3,marrianna_shea,22,27,376,0,[]
4,Wlmmarch,2,91,206,0,[]
5,NipperPB,428,229,10189,2,"['Kevintyrrellcp', 'JollyRedRum']"
6,Kevintyrrellcp,2042,2287,4940,0,[]
7,swtforlife,237,231,2592,0,[]
8,8igSky,14,0,161,0,[]
9,EuropaFlower,78,537,137,2,"['OluwapelumiAng3', 'reveal321_truth']"
10,EuropaFlower,78,537,137,15,"['OluwapelumiAng3', 'Disside98657542', 'SmallGermanBoy1', 'BbcIntent', 'Xm9L6XPuMItEqgC', 'apple_gine', 'EuropaInvicta3', 'emmasanders_96', 'saturn8148', 'Europa_sam', 'reveal321_truth', 'bejn565']"
11,MatizRIGCZ,234,224,6303,0,[]
12,NipperPB,428,229,10189,2,"['Kevintyrrellcp', 'JollyRedRum']"
13,NipperPB,428,229,10189,2,"['Kevintyrrellcp', 'JollyRedRum']"
14,RPEddy,3493,41424,4750,0,[]
15,BrendaBstl,4863,2977,2652,5,"['Rich_Kruse', 'WarriorAngel84', '777_Shredder', 'TerriB45160111', 'ivory319']"
16,JesseWBasedKing,588,138,904,0,[]
17,JesseWBasedKing,588,138,904,0,[]
18,JesseWBasedKing,588,138,904,0,[]
19,JesseWBasedKing,588,138,904,0,[]
20,elanacurl,4852,4239,22686,0,[]
21,rolland_1996,9,2,22,0,[]
22,rolland_1996,9,2,22,0,[]
23,JesseWBasedKing,588,138,904,0,[]
24,BrendaBstl,4863,2977,2652,5,"['Rich_Kruse', 'WarriorAngel84', '777_Shredder', 'TerriB45160111', 'ivory319']"
25,BrendaBstl,4863,2977,2652,5,"['Rich_Kruse', 'WarriorAngel84', '777_Shredder', 'TerriB45160111', 'ivory319']"
26,BrendaBstl,4863,2977,2652,5,"['Rich_Kruse', 'WarriorAngel84', '777_Shredder', 'TerriB45160111', 'ivory319']"
27,Racy1Eva,20412,20037,83149,8,"['azmaga123', 'Raven5215', 'TnNationalist', 'FirstBrn1953', 'AngelaRK888', 'wierddeer', 'LoveHerMo', 'NormBourque']"
28,Dexitsofort,8,437,1786,2,"['hilde_knef', 'DieWeltUnter']"
29,QueenJidah,2725,467,36650,0,[]
30,Racy1Eva,20412,20037,83149,8,"['azmaga123', 'Raven5215', 'TnNationalist', 'FirstBrn1953', 'AngelaRK888', 'wierddeer', 'LoveHerMo', 'NormBourque']"
31,Racy1Eva,20412,20037,83149,8,"['azmaga123', 'Raven5215', 'TnNationalist', 'FirstBrn1953', 'AngelaRK888', 'wierddeer', 'LoveHerMo', 'NormBourque']"
32,Racy1Eva,20412,20037,83149,8,"['azmaga123', 'Raven5215', 'TnNationalist', 'FirstBrn1953', 'AngelaRK888', 'wierddeer', 'LoveHerMo', 'NormBourque']"
33,Racy1Eva,20412,20038,83149,8,"['azmaga123', 'Raven5215', 'TnNationalist', 'FirstBrn1953', 'AngelaRK888', 'wierddeer', 'LoveHerMo', 'NormBourque']"
34,Racy1Eva,20412,20038,83149,8,"['azmaga123', 'Raven5215', 'TnNationalist', 'FirstBrn1953', 'AngelaRK888', 'wierddeer', 'LoveHerMo', 'NormBourque']"
35,Racy1Eva,20412,20038,83149,8,"['azmaga123', 'Raven5215', 'TnNationalist', 'FirstBrn1953', 'AngelaRK888', 'wierddeer', 'LoveHerMo', 'NormBourque']"
36,Racy1Eva,20412,20038,83149,8,"['azmaga123', 'Raven5215', 'TnNationalist', 'FirstBrn1953', 'AngelaRK888', 'wierddeer', 'LoveHerMo', 'NormBourque']"
37,Dani47858427,28,12,500,0,[]
38,Dexitsofort,8,437,1786,0,[]
39,Dexitsofort,8,437,1786,0,[]
40,Dexitsofort,8,437,1786,2,"['hilde_knef', 'DieWeltUnter']"
41,Dexitsofort,8,437,1786,2,"['hilde_knef', 'DieWeltUnter']"
42,VotingBlueInTX,15999,16640,92413,0,[]
43,JesseWBasedKing,588,138,904,0,[]
44,OpinadorProfes4,6830,6424,24763,7,"['omareivaj', 'LeBlasE1', 'carenero12', 'Sufero1', 'MiguelGomezdel6', 'AgoizS', 'GeorgesBrasse11']"
45,AmorFat03965761,182,60,1510,0,[]
46,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
47,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
48,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
49,Wlmmarch,2,91,206,2,"['Mister_Carolus', 'EuphemiaSigne']"
50,JOSEPHazalea,154,30,132,0,[]
51,WildlifeFan81,139,14,149,2,"['JFSebastian146', 'idek3339']"
52,WildlifeFan81,139,14,149,2,"['JFSebastian146', 'idek3339']"
53,WildlifeFan81,139,14,149,2,"['JFSebastian146', 'idek3339']"
