,or_id
0,1456236111299325962
1,1456188113257107456
2,1456184916962693120
3,1456088072253108229
4,1456065499473879043
5,1455979087684673537
6,1456049779725815816
7,1456038075721822210
8,1456035133157478404
9,1425046149350793217
10,1427158442058342403
11,1455998018973491202
12,1455979087684673537
13,1455979087684673537
14,1455945306751836161
15,1455642495057080320
16,1455915321999740931
17,1455915128084389893
18,1455913473058250755
19,1455912093144727563
20,1455790204246134784
21,1455715534511742981
22,1455710690916933637
23,1455700531415068672
24,1455642495057080320
25,1455642495057080320
26,1455642495057080320
27,1455546702589353986
28,1455501513929932805
29,1455576776713908231
30,1455546702589353986
31,1455546702589353986
32,1455546702589353986
33,1455546702589353986
34,1455546702589353986
35,1455546702589353986
36,1455546702589353986
37,1455544070370168836
38,1455510985918271491
39,1455508209532379141
40,1455501513929932805
41,1455501513929932805
42,1455375185482330112
43,1455260548396892172
44,1454894590033600512
45,1455175782372884490
46,1454793687905546243
47,1454793687905546243
48,1454793687905546243
49,1391132172044718082
50,1455071068570390529
51,1455067036393017349
52,1455067036393017349
53,1455067036393017349
54,1454793687905546243
55,1454894590033600512
56,1454894590033600512
57,1454894590033600512
58,1454894590033600512
59,1454894590033600512
60,1454895200539664385
61,1454894590033600512
62,1454793687905546243
63,1454793687905546243
64,1454871059270799362
65,1454793687905546243
66,1454849634031919109
67,1454793687905546243
68,1454843666921574400
69,1454793687905546243
70,1454793687905546243
71,1454793687905546243
72,1454793687905546243
73,1454793687905546243
74,1454793687905546243
75,1454793687905546243
76,1454793687905546243
77,1454793687905546243
78,1454793687905546243
79,1454793687905546243
80,1454793687905546243
81,1454793687905546243
82,1454758015576465416
83,1454494942169083912
84,1454477947536957442
85,1454477947536957442
86,1454477947536957442
87,1454403708939165707
88,1454334325260967936
89,1454333138411433985
90,1454327485072613380
91,1454291408018415617
92,1454243789862850560
93,1453725690830807045
94,1454163589653319681
95,1454160081856208902
96,1453161998544523265
97,1454139484694581248
98,1453433094585917440
99,1454127062042783753
100,1454092961248071686
101,1454091648179347461
102,1454090021842083847
103,1454053497884880897
104,1454034424337739778
105,1453991319358033920
106,1453433094585917440
107,1453906144704008194
108,1453851330032939034
109,1453433094585917440
110,1453823120557608961
111,1453805069086994438
112,1453784161974734855
113,1453778960916127744
114,1453678661970890752
115,1453433094585917440
116,1453725690830807045
117,1453725690830807045
118,1453433094585917440
119,1453687817540972546
120,1453433094585917440
121,1453678661970890752
122,1453665008500498434
123,1453433094585917440
124,1453433094585917440
125,1453433094585917440
126,1453433094585917440
127,1453433094585917440
128,1453433094585917440
129,1453433094585917440
130,1453433094585917440
131,1453433094585917440
132,1453588980876775432
133,1453433094585917440
134,1453433094585917440
135,1453485729212874754
136,1453433094585917440
137,1453433094585917440
138,1453433094585917440
139,1453433094585917440
140,1453433094585917440
141,1453433094585917440
142,1453433094585917440
143,1453433094585917440
144,1453433094585917440
145,1453424939403337728
146,1453193617414270982
147,1453416344179908613
148,1370045389953499138
149,1381889842674606080
150,1453376952807550986
151,1453354107666841600
152,1453263927291355143
153,1453247914223050760
154,1453247914223050760
155,1453247914223050760
156,1453247914223050760
157,1453242403368935431
158,1453193617414270982
159,1453161998544523265
