,username,date,content,likes,hashtags,rekoo_users
0,@astrologymagic,04-11-2021,"Do not give up your #traditions just because few people say so!

Environment is saving you. You cannot save the #environment. Instead, ask people to start being kind and #honest with everyone rather than them teaching you lessons on #pollution or environment!

Happy Diwali!

#Diwali #Deepavali #Deepawali #HappyDiwali #HappyDeepavali #HappyDeepawali #Culture #Hindu #Hinduism #AstrologyMagic",2,"['#traditions', '#environment.', '#honest', '#pollution', '#Diwali', '#Deepavali', '#Deepawali', '#HappyDiwali', '#HappyDeepavali', '#HappyDeepawali', '#Culture', '#Hindu', '#Hinduism', '#AstrologyMagic']",
1,@vineetkhare2000,04-11-2021,"#Pollution in #DelhiNCR is so bad, it’s causing a headache!! #India ",,"['#Pollution', '#DelhiNCR', '#India']",
2,@ayush_anandG9T05,04-11-2021,"Delhi’s air quality a day before Diwali best in 5 years: Environment Minister Gopal Rai.
#Delhi #Pollution #airpollution #NewDelhi #gopalrai",,"['#Delhi', '#Pollution', '#airpollution', '#NewDelhi', '#gopalrai']",
3,@newsupdates,03-11-2021,"Delhi’s overall air quality dips to ’very poor’ category ahead of Diwali.

#Delhi #Diwali #Diwali2021 #airpollution #pollution #gogreen #saveearth #alert",3,"['#Delhi', '#Diwali', '#Diwali2021', '#airpollution', '#pollution', '#gogreen', '#saveearth', '#alert']",
4,@ayush_anandG9T05,02-11-2021,"AQI in new delhi is very poor, People are struggling to see due to low visibility.
#Delhi #NewDelhi #pollution #ArvindKejriwal #Capitalofindia",,"['#Delhi', '#NewDelhi', '#pollution', '#ArvindKejriwal', '#Capitalofindia']",
5,@shrikantamaity1,02-11-2021,"Check this post from @thelosthindu on Koo App: 

”Bum buma bum bum … 
#Diwali #Cracker #Pollution #Hindu #fest...” 
https://www.kooapp.com/koo/thelosthindu/f650617f-1522-497a-bf70-8c54c54528a0
Download Koo App
https://www.kooapp.com/dnld",8,"['#Diwali', '#Cracker', '#Pollution', '#Hindu', '#fest...”']",
6,@newsupdates,01-11-2021,"Till 4th Nov, air quality is expected to be in ’poor’ category. It could dip to ’very poor’ category on 5-6 Nov due to northwesterly winds & bursting of crackers: VK Soni, IMD Scientist, Delhi.

#airpollution #pollution #gogreen #saveearth #Delhi",1,"['#airpollution', '#pollution', '#gogreen', '#saveearth', '#Delhi']","['@bk_sharma4LCQH', '@KRHMATH']"
7,@SwarajyaMag,01-11-2021,"Thermal Power Plants To Procure Over Two Million Tonnes Of Biomass Pellets To Decrease Stubble Burning By Farmers

#stubbleburning #thermalpower #pollution",8,"['#stubbleburning', '#thermalpower', '#pollution']","['@indian_guy5A1EB', '@GRSN', '@karkotaka']"
8,@thelosthindu,31-10-2021,"Bum buma bum bum … 
#Diwali #Cracker #Pollution #Hindu #festival",8,"['#Diwali', '#Cracker', '#Pollution', '#Hindu', '#festival']","['@kiran17', '@shrikantamaity1', '@Madhu_Krishna_V']"
9,@bharatvanshee,30-10-2021,"#Indian states bans #Diwali crackers in the name of pollution.

But the same Indian state #subsidizes beef business. #Beef causes 650 times more environmental #pollution than Diwali #crackers.

This is not #secularism.",2,"['#Indian', '#Diwali', '#subsidizes', '#Beef', '#pollution', '#crackers.', '#secularism.']","['@pankajkoo2021', '@immuneshsingh']"
10,@sathyanarayan,30-10-2021,"A big slap on @flyspicejet face by
the manufacturers of @Cockbrand_India crackers,who said ”No crackers, Lets celebrate a #Pollution free Deepavali”
Well done 👌👍
#Crackers",12,"['#Pollution', '#Crackers']",['@RPLUHACH']
11,@anand_vajapeyam8DKFS,30-10-2021,"#healthiswealth #pollution
https://www.nationalgeographic.com/magazine/graphics/see-how-polluted-air-attacks-our-bodies-feature?cmpid=org=ngp::mc=crm-email::src=ngp::cmp=editorial::add=SpecialEdition_20211029::rid=F60AAAD4DEE73B0E6E965BCAB2601B15",,"['#healthiswealth', '#pollution']",
12,@gangwal_dushyant,29-10-2021,"Day by day increase of pollution Level in India can effect India economy in future?
#narendramodi  #pollution #congress  #hindus  #ramayan  #bhrat #rahulgandhi  #t20worldcup  #enviroment #economy  #natureisthebest  #koooftheday  #kooindia
#kashmir  #yogi",6,"['#narendramodi', '#pollution', '#congress', '#hindus', '#ramayan', '#bhrat', '#rahulgandhi', '#t20worldcup', '#enviroment', '#economy', '#natureisthebest', '#koooftheday', '#kooindia', '#kashmir', '#yogi']","['@rambabu_jaiswal', '@seetharama_kotari']"
13,@MissionForEarth,29-10-2021,"Is bursting crackers in Diwali only responsible for rise in air pollution in India? Do other factors also play a major role? 

Watch the video to learn more.
 @UNEP @moefcc @byadavbjp

#environment #nature #Diwali #Diwali2021 #India #pollution #AirPollution #missionforearth #ME",6,"['#environment', '#nature', '#Diwali', '#Diwali2021', '#India', '#pollution', '#AirPollution', '#missionforearth', '#ME']","['@Pure_Desi', '@subhashdhawan', '@Prerna_Mahajan']"
14,@ptcnews,26-10-2021,"#Greenhousegas levels hit record high in 2020: Report

#pollution 
#GreenhouseGas 
#greenhouse 
https://www.ptcnews.tv/greenhouse-gas-levels-hit-record-high-in-2020-report/",,"['#Greenhousegas', '#pollution', '#GreenhouseGas', '#greenhouse']",
